Reservoir,Site,Site_EEM,DateTime,Depth_m,Temp_C,DO_mgL,DOSat_persat,SpCond_uScm,Notes
CCR,201,,5/4/2023 9:55,0.1,10.9,10.9,96.2,52.5,CCS in stream
CCR,500,,5/4/2023 10:31,0.1,10.8,11.04,98.4,105.6,CCT in stream at culvert
CCR,301,,5/4/2023 11:00,0.1,10.5,11.54,101.1,15.9,SMB at bridge
CCR,400 in tunnel,,5/4/2023 12:05,0.1,12.6,10.45,96.7,226,TCT in tunnel
CCR,400 AB,,5/4/2023 12:15,0.1,12.5,11.06,102.5,68.1,Angel Branch stream
CCR,400 in front of tunnel,,5/4/2023 15:30,0.1,15.3,9.95,97.8,84.2,"right outside of TCT tunnel, taken from cove site where water pooled"
CCR,400 in front of tunnel,,5/4/2023 15:30,0.5,13.6,10.76,100,84.6,"right outside of TCT tunnel, taken from cove site where water pooled"
CCR,400 in front of tunnel,,5/4/2023 15:30,0.75,13.2,10.28,95.9,121.5,"right outside of TCT tunnel, taken from cove site where water pooled"
CCR,50,50,6/1/2023 10:07,0.1,20.8,9.55,103.8,,
CCR,50,50,6/1/2023 10:08,1,20.6,9.61,103.9,,
CCR,50,50,6/1/2023 10:10,2,20.4,9.7,104.1,,
CCR,50,50,6/1/2023 10:12,3,20.3,9.64,104.5,,
CCR,50,50,6/1/2023 10:13,4,20.1,9.73,104.6,,
CCR,50,50,6/1/2023 10:14,5,19.6,9.81,105,,
CCR,50,50,6/1/2023 10:15,6,17.1,9.97,101.2,,
CCR,50,50,6/1/2023 10:16,7,14.8,8.63,83.2,,
CCR,50,50,6/1/2023 10:17,8,13,7.03,64.9,,
CCR,50,50,6/1/2023 10:19,9,11.7,7.11,63.6,,
CCR,50,50,6/1/2023 10:21,10,11.4,7.09,62.8,,
CCR,50,50,6/1/2023 10:22,11,11.2,7.01,62.5,,
CCR,50,50,6/1/2023 10:24,15,10.9,6.74,59,,
CCR,50,50,6/1/2023 10:25,19,10.8,6.34,56.1,,
CCR,101,1000,6/1/2023 11:15,0.1,15,10.17,98.6,32,HPB site
CCR,300,3000,6/1/2023 13:20,0.1,16.1,9.64,95.4,26.5,SMB site
CCR,300 pool,300,6/1/2023 13:44,0.1,17.4,9.25,94,38.3,"waded out with bucket to scoop bucket-full of sample, pool site"
CCR,100 cove,10,6/1/2023 11:45,0.1,21.2,,,,"37.3660392, -79.9707670, just sampling surface and bottom depth, ~1.0m, cove site"
CCR,100 cove,10,6/1/2023 11:45,0.3,21.2,,,,cove site
CCR,100 cove,10,6/1/2023 11:45,0.4,20.9,,,,cove site
CCR,100 cove,10,6/1/2023 11:45,0.8,20.9,,,,cove site
CCR,100 cove,10,6/1/2023 11:45,0.9,20.9,,,,cove site
CCR,100 cove,10,6/1/2023 11:45,1,20.9,,,,cove site
CCR,300 cove,30,6/1/2023 14:01,0.1,23.2,,,73.1,"37.4079, -79.9685, just sampling surface and bottom (~1.2m) sp. cond much lower at bottom, cove site"
CCR,300 cove,30,6/1/2023 14:01,0.5,22.2,,,73.4,cove site
CCR,300 cove,30,6/1/2023 14:01,1,21.4,,,74.6,cove site
CCR,300 cove,30,6/1/2023 14:01,1.2,21.2,,,52.7,cove site
CCR,300,3000,6/30/2023 10:05,0.1,18.4,8.75,90.8,33.5,SMB site
CCR,300 pool A,301,6/30/2023 10:17,0.1,18.5,8.8,90.9,34.2,SMB Pool A 37.4096;-79.9699 smaller down tree
CCR,300 pool B bottom,300,6/30/2023 10:30,1,18.7,8.58,89.9,34.6,SMB Pool B bottom
CCR,300 pool B surf/top,300,6/30/2023 10:31,0.1,20.2,7.7,82.4,58.5,SMB Pool B top 37.4094; -79.9695 large tree
CCR,300 between pool A and B,299,6/30/2023 10:45,0.4,18.8,,,34.2,SMB between pool A and B bottom
CCR,300 between pool A and B,299,6/30/2023 10:45,0.1,18.6,,,34.1,btw Pool A + B(top)
CCR,300 between pool B and res,298,6/30/2023 10:53,0.4,19.7,,,53,btw Pool B + Res (bottom)
CCR,300 between pool B and res,298,6/30/2023 10:53,0.1,23,,,70.3,btw Pool B + Res (top)
CCR,300 cove A,30,6/30/2023 11:10,0.1,24.4,8.61,100.5,75.4,SMB Cove A (top) 
CCR,300 cove A,30,6/30/2023 11:10,0.5,24.3,8.01,93.1,74.8,SMB Cove A (bottom)
