TIC Mean of 2 reps,TC Mean of 2 reps,TOC Mean of 2 reps,TNb Mean of 2 reps,Name  ,Sample_ID,Run_date
9.050410624,18.39836096,9.306285298,0.504861695,Sample 1,CC4_17feb25_BOTR1,3-Mar-25
9.298693252,19.45435898,10.15566573,0.545177915,Sample 2,C50_17feb25_20R1,3-Mar-25
9.214680148,19.22054776,10.00586761,0.555075037,Sample 3,CC4_17feb25_9R1,3-Mar-25
8.814764113,18.48123076,9.666466644,0.54357691,Sample 4,C50_17feb25_01R1,3-Mar-25
3.9116091,13.89616311,9.984554008,0.683300993,Sample 5,F50_19nov24_9,3-Mar-25
9.428469592,19.69941682,10.27094723,0.483684763,Sample 6,CC4_17dec24_9R1,3-Mar-25
1.41922035,5.16760546,3.74838511,0.342650766,Sample 7,CS2_17feb25_01R2,3-Mar-25
8.760121444,18.58067452,9.820553073,0.550417568,Sample 8,C50_17feb25_9R1,3-Mar-25
9.723540005,20.01254628,10.28900627,0.510246894,Sample 9,C50_17dec24_6R1,3-Mar-25
3.868577998,9.786412956,5.917834958,0.405162739,Sample 10,CP1_17feb25_BOTR2,3-Mar-25
9.057582474,18.71208234,9.654499868,0.450063655,Sample 11,CC3_17dec24_15R1,3-Mar-25
3.226868151,11.02531647,7.798448314,0.697273402,Sample 12,F50_27jan25_01R2,3-Mar-25
8.410749877,17.99525857,9.584508695,0.545541779,Sample 13,CP2_17feb25_BOTR1,3-Mar-25
9.358117155,19.63430483,10.27618768,0.559150323,Sample 14,CC4_17feb25_01R1,3-Mar-25
1.337597863,5.256986459,3.919388596,0.330716001,Sample 15,CS2_17feb25_01R1,3-Mar-25
9.203751614,19.15898734,9.955235721,0.539938262,Sample 16,CC4_17feb25_6R1,3-Mar-25
2.376491612,7.089000966,4.712509354,0.362372238,Sample 17,CP2_17feb25_01R2,3-Mar-25
1.679797579,5.923496422,4.243698843,0.380711024,Sample 18,CP2_17feb25_01R1,3-Mar-25
8.783003061,18.69254875,9.909545686,0.578289612,Sample 19,CC4_17feb25_9R2,3-Mar-25
2.179094969,8.077519295,5.898424325,0.426412443,Sample 20,CC2_17dec24_01R1,3-Mar-25
0.914117177,4.080827226,3.16671005,0.292000786,Sample 21,CP1_17feb25_01R1,3-Mar-25
9.460230643,19.53367722,10.07344657,0.491325924,Sample 22,C50_17dec24_9R1,3-Mar-25
3.820082629,9.121086847,5.301004218,0.371250539,Sample 23,CP1_17feb25_BOTR1,3-Mar-25
0.886112809,4.321149646,3.435036838,0.328387266,Sample 24,CS1_17feb25_01R1,3-Mar-25
9.866977012,20.37421376,10.50723675,0.583238173,Sample 25,C50_17dec24_20R1,3-Mar-25
9.18565123,19.47093294,10.28528171,0.636944618,Sample 26,CC4_17feb25_15R1,3-Mar-25
9.307231169,19.27678084,9.969549668,0.500349771,Sample 27,C50_17dec24_01R1,3-Mar-25
3.6082183,12.39071478,8.782496479,0.563991718,Sample 1,F50_3dec24_9,5-Mar-25
3.516665837,12.44221358,8.925547743,0.571924147,Sample 2,F50_19nov24_5,5-Mar-25
3.342197935,8.483828491,5.141630556,0.282205162,Sample 3,F100_19nov24_01,5-Mar-25
3.411639615,12.89516894,9.483529325,0.5826737,Sample 4,F50_3dec24_8,5-Mar-25
3.042320432,10.24063985,7.198319418,0.736948318,Sample 5,F50_27jan25_8,5-Mar-25
3.489372838,12.8764421,9.387069265,0.58971651,Sample 6,F50_3dec24_62,5-Mar-25
3.502846597,13.22522944,9.722382838,0.596685186,Sample 7,F50_19nov24_38,5-Mar-25
3.212642562,12.57915357,9.36651101,0.628192496,Sample 8,F50_19nov24_62,5-Mar-25
3.172566767,11.78560387,8.613037104,0.652805265,Sample 9,F20_12aug24_01,5-Mar-25
3.454133777,13.01396731,9.559833533,0.721898944,Sample 10,F50_3dec24_5,5-Mar-25
3.560541923,11.69548097,8.134939047,0.88195608,Sample 11,F50_4nov24_8,5-Mar-25
3.43098655,12.30234752,8.871360968,0.619963528,Sample 12,F50_3dec24_01,5-Mar-25
9.214683868,18.82923529,9.614551424,0.448489625,Sample 13,C50_17dec24_15R1,5-Mar-25
1.880122369,7.104479932,5.224357562,0.28783941,Sample 14,CS2_17dec24_01R1,5-Mar-25
2.621870063,9.297275456,6.699589063,0.631973373,Sample 15,F50_27jan25_01R1,5-Mar-25
3.35428977,11.77097353,8.41668376,0.566512303,Sample 16,F50_3dec24_16,5-Mar-25
2.51995317,9.588126637,7.068173468,0.767788414,Sample 17,B50_3dec24_9,5-Mar-25
2.543791358,9.596319628,7.05252827,0.783134328,Sample 18,B50_19nov24_6,5-Mar-25
3.008808776,9.534286982,6.525478206,1.027631056,Sample 19,F50_27jan25_9,5-Mar-25
2.585594559,9.652500138,7.06690558,0.796182061,Sample 20,B50_19nov24_01,5-Mar-25
2.603172121,9.788531283,7.185359162,0.599357317,Sample 1,B50_21oct24_3,6-Mar-25
2.560306214,10.25983707,7.699530855,0.641551276,Sample 2,B50_4nov24_3,6-Mar-25
4.316447555,10.09987874,5.823915653,2.024686353,Sample 3,F50_12aug24_8,6-Mar-25
9.631479746,19.35118287,9.719703122,0.489097091,Sample 4,CC4_17dec24_01R1,6-Mar-25
3.050202288,10.99107514,7.94087285,0.759580323,Sample 5,B50_3dec24_01,6-Mar-25
1.409730853,6.844726777,5.434995924,0.334219603,Sample 6,CS1_17dec24_01R2,6-Mar-25
2.69230599,10.01875702,7.326451029,0.764213106,Sample 7,B50_19nov24_10,6-Mar-25
3.883706024,9.340647966,5.456941942,1.364764284,Sample 8,F50_22jul24_8,6-Mar-25
4.474643162,10.94308764,6.468444477,1.782356184,Sample 9,F50_1oct24_62,6-Mar-25
9.49335627,19.16208927,9.668733004,0.494585156,Sample 10,CC4_17dec24_01R2,6-Mar-25
1.39135975,6.489962057,5.098602307,0.331154839,Sample 11,CS1_17dec24_01R1,6-Mar-25
1.294401152,6.531094199,5.236693047,0.321532906,Sample 12,CP1_17dec24_01R1,6-Mar-25
2.388162177,9.069861368,6.681699191,0.732710184,Sample 13,F100_27jan25_01,6-Mar-25
3.366933707,12.81802775,9.451094042,0.718027827,Sample 14,F50_19nov24_8,6-Mar-25
9.142264084,19.03869285,9.896428766,0.511548268,Sample 15,CC3_17feb25_BOTR1,6-Mar-25
3.814644286,12.93856777,9.123923489,0.627225287,Sample 16,F50_3dec24_38,6-Mar-25
2.811377952,9.924495861,7.113117909,0.611687647,Sample 17,F50_27jan25_38,6-Mar-25
8.336657208,17.40254767,9.065890464,0.477051856,Sample 18,CC3_17feb25_01R1,6-Mar-25
9.665160101,19.56198509,9.896824992,0.488027987,Sample 19,C50_17feb25_6R1,6-Mar-25
9.749531092,19.87276127,10.12323018,0.557662274,Sample 20,CC2_17feb25_BOTR1,6-Mar-25
3.564072824,12.69291755,9.128844723,0.606955857,Sample 1,F50_19nov24_01,7-Mar-25
2.886132039,6.923597001,4.037464962,0.272755472,Sample 2,F100_3dec24_01,7-Mar-25
2.769092288,9.919009145,7.149916857,0.836879095,Sample 3,B50_19nov24_8,7-Mar-25
9.346931669,18.8013092,9.454377536,0.437246665,Sample 4,CC4_17dec24_15R1,7-Mar-25
9.731930852,18.92455616,9.192625306,0.461017547,Sample 5,CC2_17feb25_01R1,7-Mar-25
9.080683344,18.47757297,9.396889621,0.419273559,Sample 6,CC3_17dec24_15R2,7-Mar-25
9.677517634,19.23238956,9.501827598,0.442216188,Sample 7,CC4_17dec24_BOTR1,7-Mar-25
10.01973913,19.70493088,9.68519175,0.473358528,Sample 8,CC3_17feb25_15R1,7-Mar-25
9.756228578,19.7128823,9.956653719,0.552208284,Sample 9,C50_17feb25_15R1,7-Mar-25
1.894716364,7.366604485,5.471888121,0.305968447,Sample 10,CP2_17dec24_01R1,7-Mar-25
2.99153626,9.271536668,6.280000407,0.617226203,Sample 11,F50_27jan25_62,7-Mar-25
3.489810759,14.00035758,10.51054682,0.655740002,Sample 12,F50_19nov24_16,7-Mar-25
1.911485218,7.562550103,5.651064885,0.344730722,Sample 13,CC2_17dec24_01R2,7-Mar-25
9.02011014,17.98742494,8.967314802,0.416788798,Sample 14,CC4_17dec24_6R1,7-Mar-25
9.052621182,18.22426356,9.171642376,0.43285692,Sample 15,CC3_17dec24_BOTR1,7-Mar-25
3.109602676,9.747485734,6.637883058,0.760845402,Sample 16,F50_27jan25_16,7-Mar-25
2.6530792,9.909353853,7.256274653,0.886408669,Sample 17,B50_3dec24_3,7-Mar-25
2.765670073,9.477137577,6.711467504,0.628573279,Sample 18,F50_27jan25_5,7-Mar-25
8.500617908,17.58587841,9.085260506,0.43732949,Sample 19,CC3_17dec24_01R1,7-Mar-25
1.932018508,7.349565736,5.417547228,0.31218035,Sample 20,CP1_17dec24_01R2,7-Mar-25
