,MilliQ,MilliQ2,F15Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F27May19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F03Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27May19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F03Jul19_0.1mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2a,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F15Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,MilliQ_Final
190,0.012,0.01,0.19,0.18,41.454,3.724584379,2.127776805,0.153,0.143,32.9329,3.494472158,1.947282014,0.18,0.17,39.151,3.667425965,2.145607518,0.189,0.179,41.2237,3.719013334,2.211662441,0.295,0.285,65.6355,4.184116708,2.441020507,0.147,0.137,63.1022,4.144755634,2.412649206,0.257,0.247,56.8841,4.041015864,2.13842422,0.136,0.126,58.0356,4.061056615,2.108971011,0.434,0.424,97.6472,4.581360983,2.667569922,0.14,0.13,59.878,4.092309159,2.141035037,0.369,0.359,82.6777,4.414949916,2.589382285,0.186,0.176,81.0656,4.395258703,2.578618184,0.263,0.253,58.2659,4.065017017,2.283472915,0.132,0.122,56.1932,4.028795753,2.32823233,0.182,0.172,39.6116,3.679122005,1.830903743,0.287,0.277,63.7931,4.155645034,2.251703746,0.146,0.136,62.6416,4.137429594,2.291061073,0
191,0.009,0.009,0.179,0.17,39.151,3.667425965,1.607787331,0.148,0.139,32.0117,3.466101461,1.103357321,0.174,0.165,37.9995,3.637573002,1.130453486,0.18,0.171,39.3813,3.673291084,1.679742499,0.282,0.273,62.8719,4.141099323,1.336049927,0.14,0.131,60.3386,4.099972032,1.33285489,0.243,0.234,53.8902,3.986948643,1.293876614,0.127,0.118,54.3508,3.995459333,1.217219577,0.41,0.401,92.3503,4.525588955,1.821928799,0.13,0.121,55.7326,4.020565254,1.362640171,0.352,0.343,78.9929,4.369357975,1.395465738,0.177,0.168,77.3808,4.348738688,1.353697128,0.247,0.238,54.8114,4.003898202,1.310000358,0.124,0.115,52.969,3.969706837,1.475415596,0.168,0.159,36.6177,3.60053173,0.760861544,0.269,0.26,59.878,4.092309159,1.256318492,0.136,0.127,58.4962,4.068961795,1.325542304,-0.001
192,0.01,0.01,0.168,0.158,36.3874,3.594222561,1.323419313,0.143,0.133,30.6299,3.421976656,1.7648698,0.169,0.159,36.6177,3.60053173,1.898006017,0.172,0.162,37.3086,3.619223863,1.31666755,0.271,0.261,60.1083,4.096147935,1.827042881,0.135,0.125,57.575,4.053088446,1.81013644,0.231,0.221,50.8963,3.929790229,1.65272654,0.12,0.11,50.666,3.925255074,1.732613451,0.388,0.378,87.0534,4.466521723,1.464146087,0.123,0.113,52.0478,3.952162527,1.571240216,0.336,0.326,75.0778,4.318524909,1.855568513,0.17,0.16,73.696,4.299948524,1.904870839,0.234,0.224,51.5872,3.94327358,1.743108619,0.117,0.107,49.2842,3.897603543,1.578017974,0.158,0.148,34.0844,3.528839802,2.406356002,0.252,0.242,55.7326,4.020565254,1.792303274,0.129,0.119,54.8114,4.003898202,1.728395289,0
193,0.011,0.01,0.156,0.146,33.6238,3.51523415,,0.135,0.125,28.7875,3.359941265,,0.163,0.153,35.2359,3.562065449,,0.162,0.152,35.0056,3.555508049,,0.259,0.249,57.3447,4.049080424,,0.129,0.119,54.8114,4.003898202,,0.216,0.206,47.4418,3.859503697,,0.113,0.103,47.4418,3.859503697,,0.363,0.353,81.2959,4.398095585,,0.115,0.105,48.363,3.878735059,,0.319,0.309,71.1627,4.264968805,,0.161,0.151,69.5506,4.242054545,,0.219,0.209,48.1327,3.87396178,,0.111,0.101,46.5206,3.839895225,,0.146,0.136,31.3208,3.444282414,,0.235,0.225,51.8175,3.94772793,,0.121,0.111,51.1266,3.93430491,,0.001
194,0.01,0.01,0.145,0.135,31.0905,3.436902306,,0.128,0.118,27.1754,3.302312152,,0.156,0.146,33.6238,3.51523415,,0.152,0.142,32.7026,3.487454585,,0.247,0.237,54.5811,3.999687669,,0.122,0.112,51.5872,3.94327358,,0.204,0.194,44.6782,3.799485687,,0.106,0.096,44.2176,3.7891229,,0.342,0.332,76.4596,4.336762497,,0.107,0.097,44.6782,3.799485687,,0.303,0.293,67.4779,4.211800137,,0.153,0.143,65.8658,4.187619339,,0.207,0.197,45.3691,3.814831257,,0.104,0.094,43.2964,3.768069491,,0.135,0.125,28.7875,3.359941265,,0.22,0.21,48.363,3.878735059,,0.114,0.104,47.9024,3.869165608,,0.001
195,0.011,0.011,0.136,0.125,28.7875,3.359941265,,0.121,0.11,25.333,3.232107894,,0.149,0.138,31.7814,3.458881213,,0.142,0.131,30.1693,3.406824851,,0.236,0.225,51.8175,3.94772793,,0.117,0.106,48.8236,3.888213803,,0.193,0.182,41.9146,3.735634215,,0.101,0.09,41.454,3.724584379,,0.321,0.31,71.393,4.268199825,,0.101,0.09,41.454,3.724584379,,0.289,0.278,64.0234,4.159248642,,0.146,0.135,62.181,4.130049487,,0.195,0.184,42.3752,3.746563285,,0.098,0.087,40.0722,3.690682827,,0.127,0.116,26.7148,3.285217719,,0.207,0.196,45.1388,3.809742187,,0.107,0.096,44.2176,3.7891229,,0.001
196,0.011,0.011,0.128,0.117,26.9451,3.293801463,,0.116,0.105,24.1815,3.185587878,,0.143,0.132,30.3996,3.41442945,,0.135,0.124,28.5572,3.351909093,,0.226,0.215,49.5145,3.902265556,,0.112,0.101,46.5206,3.839895225,,0.183,0.172,39.6116,3.679122005,,0.096,0.085,39.151,3.667425965,,0.302,0.291,67.0173,4.204950795,,0.097,0.086,39.6116,3.679122005,,0.276,0.265,61.0295,4.111357354,,0.139,0.128,58.9568,4.076804972,,0.184,0.173,39.8419,3.684919122,,0.093,0.082,37.7692,3.631493956,,0.119,0.108,24.8724,3.213758755,,0.196,0.185,42.6055,3.751983353,,0.102,0.091,41.9146,3.735634215,,0.002
197,0.011,0.011,0.121,0.11,25.333,3.232107894,,0.11,0.099,22.7997,3.126747378,,0.137,0.126,29.0178,3.367909435,,0.128,0.117,26.9451,3.293801463,,0.217,0.206,47.4418,3.859503697,,0.107,0.096,44.2176,3.7891229,,0.174,0.163,37.5389,3.625377729,,0.091,0.08,36.848,3.606801343,,0.285,0.274,63.1022,4.144755634,,0.091,0.08,36.848,3.606801343,,0.263,0.252,58.0356,4.061056615,,0.133,0.122,56.1932,4.028795753,,0.174,0.163,37.5389,3.625377729,,0.088,0.077,35.4662,3.56858013,,0.112,0.101,23.2603,3.146748045,,0.186,0.175,40.3025,3.696413502,,0.096,0.085,39.151,3.667425965,,0.002
198,0.011,0.01,0.114,0.104,23.9512,3.176018427,,0.105,0.095,21.8785,3.085504419,,0.132,0.122,28.0966,3.335648573,,0.122,0.112,25.7936,3.250126399,,0.208,0.198,45.5994,3.819894559,,0.102,0.092,42.3752,3.746563285,,0.166,0.156,35.9268,3.581483535,,0.087,0.077,35.4662,3.56858013,,0.269,0.259,59.6477,4.08845559,,0.087,0.077,35.4662,3.56858013,,0.251,0.241,55.5023,4.016424461,,0.127,0.117,53.8902,3.986948643,,0.165,0.155,35.6965,3.575052645,,0.084,0.074,34.0844,3.528839802,,0.106,0.096,22.1088,3.095975719,,0.176,0.166,38.2298,3.643615316,,0.091,0.081,37.3086,3.619223863,,0.002
199,0.011,0.01,0.109,0.099,22.7997,3.126747378,,0.102,0.092,21.1876,3.053416105,,0.127,0.117,26.9451,3.293801463,,0.116,0.106,24.4118,3.195066622,,0.199,0.189,43.5267,3.773374543,,0.098,0.088,40.5328,3.702111523,,0.159,0.149,34.3147,3.535573834,,0.083,0.073,33.6238,3.51523415,,0.255,0.245,56.4235,4.032885738,,0.083,0.073,33.6238,3.51523415,,0.24,0.23,52.969,3.969706837,,0.121,0.111,51.1266,3.93430491,,0.157,0.147,33.8541,3.522060115,,0.08,0.07,32.242,3.47326995,,0.101,0.091,20.9573,3.042487034,,0.167,0.157,36.1571,3.587873333,,0.087,0.077,35.4662,3.56858013,,0.002
