,MilliQ,F13Jun19_0.1R5,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_0.1R5_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_0.1R5_Dil1:2_ReRun,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_3.8R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_3.8R1_Dil1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F28Aug19_3.8R1_Dil1:8,A(CDOM),Dilution 1:8 a(CDOM),Dilution 1:8 ln(a),Sr,F28Aug19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_9mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep190.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
190,0.007,0.283,0.276,63.5628,4.152028394,2.166744112,0.244,0.237,109.1622,4.69283485,2.217004177,0.25,0.243,111.9258,4.717836152,2.165048516,0.791,0.784,180.5552,5.196036548,2.406799251,0.231,0.224,206.3488,5.329567941,2.285174014,0.104,0.097,178.7128,5.185780048,2.31600875,0.317,0.31,71.393,4.268199825,2.587279829,0.146,0.139,64.0234,4.159248642,2.600587654,0.363,0.356,81.9868,4.406558259,2.472495526,0.165,0.158,72.7748,4.287369741,2.438729562
191,0.001,0.271,0.27,62.181,4.130049487,1.137372656,0.248,0.247,113.7682,4.734163045,1.2147063,0.254,0.253,116.5318,4.758164197,1.189567822,0.791,0.79,181.937,5.203660473,1.60019609,0.234,0.233,214.6396,5.368960343,1.20141594,0.106,0.105,193.452,5.26502942,1.502973656,0.294,0.293,67.4779,4.211800137,1.900328623,0.134,0.133,61.2598,4.115123837,1.92192509,0.345,0.344,79.2232,4.372269185,1.271517832,0.157,0.156,71.8536,4.274630716,1.192539131
192,-0.002,0.262,0.264,60.7992,4.107576631,1.90504326,0.252,0.254,116.9924,4.762108975,1.825135983,0.258,0.26,119.756,4.785456339,1.82002949,0.795,0.797,183.5491,5.212482207,1.504065199,0.239,0.241,222.0092,5.402718822,1.902067334,0.109,0.111,204.5064,5.320599271,1.540950994,0.273,0.275,63.3325,4.148398626,1.361490743,0.126,0.128,58.9568,4.076804972,1.353116033,0.329,0.331,76.2293,4.333745903,1.944522887,0.152,0.154,70.9324,4.261727311,2.044989131
193,-0.003,0.252,0.255,58.7265,4.072891073,,0.255,0.258,118.8348,4.777734293,,0.261,0.264,121.5984,4.800723812,,0.799,0.802,184.7006,5.218736136,,0.243,0.246,226.6152,5.423253425,,0.112,0.115,211.876,5.356001198,,0.249,0.252,58.0356,4.061056615,,0.116,0.119,54.8114,4.003898202,,0.313,0.316,72.7748,4.287369741,,0.146,0.149,68.6294,4.228721014,
194,-0.005,0.243,0.248,57.1144,4.045056274,,0.254,0.259,119.2954,4.78160277,,0.26,0.265,122.059,4.804504534,,0.799,0.804,185.1612,5.221226797,,0.243,0.248,228.4576,5.431350635,,0.112,0.117,215.5608,5.373243004,,0.231,0.236,54.3508,3.995459333,,0.107,0.112,51.5872,3.94327358,,0.299,0.304,70.0112,4.248655229,,0.141,0.146,67.2476,4.20838133,
195,-0.005,0.235,0.24,55.272,4.012266451,,0.251,0.256,117.9136,4.769952153,,0.256,0.261,120.2166,4.789295116,,0.794,0.799,184.0097,5.214988474,,0.244,0.249,229.3788,5.435374785,,0.112,0.117,215.5608,5.373243004,,0.213,0.218,50.2054,3.916122591,,0.1,0.105,48.363,3.878735059,,0.285,0.29,66.787,4.201508451,,0.135,0.14,64.484,4.166417131,
196,-0.005,0.228,0.233,53.6599,3.982665981,,0.247,0.252,116.0712,4.754203796,,0.252,0.257,118.3742,4.773850793,,0.789,0.794,182.8582,5.208710989,,0.244,0.249,229.3788,5.435374785,,0.112,0.117,215.5608,5.373243004,,0.198,0.203,46.7509,3.844833507,,0.094,0.099,45.5994,3.819894559,,0.273,0.278,64.0234,4.159248642,,0.131,0.136,62.6416,4.137429594,
197,-0.006,0.22,0.226,52.0478,3.952162527,,0.242,0.248,114.2288,4.738203455,,0.246,0.252,116.0712,4.754203796,,0.782,0.788,181.4764,5.201125618,,0.242,0.248,228.4576,5.431350635,,0.112,0.118,217.4032,5.381753694,,0.185,0.191,43.9873,3.783900956,,0.088,0.094,43.2964,3.768069491,,0.261,0.267,61.4901,4.118876186,,0.125,0.131,60.3386,4.099972032,
198,-0.006,0.212,0.218,50.2054,3.916122591,,0.233,0.239,110.0834,4.70123826,,0.235,0.241,111.0046,4.709571642,,0.768,0.774,178.2522,5.183199401,,0.239,0.245,225.694,5.4191801,,0.11,0.116,213.7184,5.364659261,,0.173,0.179,41.2237,3.719013334,,0.083,0.089,40.9934,3.713411078,,0.248,0.254,58.4962,4.068961795,,0.12,0.126,58.0356,4.061056615,
199,-0.006,0.203,0.209,48.1327,3.87396178,,0.22,0.226,104.0956,4.645309708,,0.22,0.226,104.0956,4.645309708,,0.749,0.755,173.8765,5.158345277,,0.234,0.24,221.088,5.398560812,,0.108,0.114,210.0336,5.347267518,,0.164,0.17,39.151,3.667425965,,0.079,0.085,39.151,3.667425965,,0.237,0.243,55.9629,4.024688971,,0.116,0.122,56.1932,4.028795753,
200,-0.006,0.194,0.2,46.06,3.829944894,,0.205,0.211,97.1866,4.576632842,,0.204,0.21,96.726,4.571882239,,0.727,0.733,168.8099,5.12877323,,0.227,0.233,214.6396,5.368960343,,0.104,0.11,202.664,5.311549435,,0.156,0.162,37.3086,3.619223863,,0.075,0.081,37.3086,3.619223863,,0.226,0.232,53.4296,3.9783649,,0.111,0.117,53.8902,3.986948643,
201,-0.006,0.185,0.191,43.9873,3.783900956,,0.191,0.197,90.7382,4.507978437,,0.189,0.195,89.817,4.497774267,,0.704,0.71,163.513,5.096892498,,0.22,0.226,208.1912,5.338456888,,0.1,0.106,195.2944,5.274508164,,0.149,0.155,35.6965,3.575052645,,0.071,0.077,35.4662,3.56858013,,0.215,0.221,50.8963,3.929790229,,0.104,0.11,50.666,3.925255074,
202,-0.006,0.178,0.184,42.3752,3.746563285,,0.179,0.185,85.211,4.445130533,,0.178,0.184,84.7504,4.439710466,,0.684,0.69,158.907,5.068319125,,0.214,0.22,202.664,5.311549435,,0.097,0.103,189.7672,5.245798058,,0.142,0.148,34.0844,3.528839802,,0.068,0.074,34.0844,3.528839802,,0.204,0.21,48.363,3.878735059,,0.097,0.103,47.4418,3.859503697,
203,-0.006,0.173,0.179,41.2237,3.719013334,,0.172,0.178,81.9868,4.406558259,,0.171,0.177,81.5262,4.400924441,,0.668,0.674,155.2222,5.044857639,,0.21,0.216,198.9792,5.293200297,,0.095,0.101,186.0824,5.226189586,,0.137,0.143,32.9329,3.494472158,,0.066,0.072,33.1632,3.501440827,,0.195,0.201,46.2903,3.834932436,,0.092,0.098,45.1388,3.809742187,
204,-0.006,0.168,0.174,40.0722,3.690682827,,0.166,0.172,79.2232,4.372269185,,0.166,0.172,79.2232,4.372269185,,0.654,0.66,151.998,5.023867363,,0.206,0.212,195.2944,5.274508164,,0.093,0.099,182.3976,5.20618892,,0.132,0.138,31.7814,3.458881213,,0.064,0.07,32.242,3.47326995,,0.187,0.193,44.4479,3.794317717,,0.087,0.093,42.8358,3.757374202,
205,-0.006,0.164,0.17,39.151,3.667425965,,0.161,0.167,76.9202,4.342768521,,0.162,0.168,77.3808,4.348738688,,0.64,0.646,148.7738,5.002427032,,0.201,0.207,190.6884,5.250640682,,0.09,0.096,176.8704,5.175417261,,0.127,0.133,30.6299,3.421976656,,0.061,0.067,30.8602,3.429467328,,0.18,0.186,42.8358,3.757374202,,0.082,0.088,40.5328,3.702111523,
206,-0.006,0.16,0.166,38.2298,3.643615316,,0.157,0.163,75.0778,4.318524909,,0.158,0.164,75.5384,4.324641136,,0.625,0.631,145.3193,4.97893339,,0.196,0.202,186.0824,5.226189586,,0.088,0.094,173.1856,5.154363852,,0.124,0.13,29.939,3.399161978,,0.06,0.066,30.3996,3.41442945,,0.173,0.179,41.2237,3.719013334,,0.079,0.085,39.151,3.667425965,
207,-0.006,0.156,0.162,37.3086,3.619223863,,0.153,0.159,73.2354,4.293678911,,0.154,0.16,73.696,4.299948524,,0.609,0.615,141.6345,4.953249796,,0.191,0.197,181.4764,5.201125618,,0.086,0.092,169.5008,5.132857647,,0.121,0.127,29.2481,3.375814614,,0.058,0.064,29.4784,3.383657792,,0.167,0.173,39.8419,3.684919122,,0.077,0.083,38.2298,3.643615316,
208,-0.006,0.152,0.158,36.3874,3.594222561,,0.149,0.155,71.393,4.268199825,,0.151,0.157,72.3142,4.281020514,,0.592,0.598,137.7194,4.925218282,,0.186,0.192,176.8704,5.175417261,,0.083,0.089,163.9736,5.099705439,,0.118,0.124,28.5572,3.351909093,,0.057,0.063,29.0178,3.367909435,,0.162,0.168,38.6904,3.655591507,,0.074,0.08,36.848,3.606801343,
209,-0.006,0.147,0.153,35.2359,3.562065449,,0.145,0.151,69.5506,4.242054545,,0.146,0.152,70.0112,4.248655229,,0.573,0.579,133.3437,4.892930005,,0.179,0.185,170.422,5.138277714,,0.08,0.086,158.4464,5.065416366,,0.115,0.121,27.8663,3.327418073,,0.056,0.062,28.5572,3.351909093,,0.156,0.162,37.3086,3.619223863,,0.071,0.077,35.4662,3.56858013,
210,-0.006,0.143,0.149,34.3147,3.535573834,,0.141,0.147,67.7082,4.215207295,,0.142,0.148,68.1688,4.221986982,,0.552,0.558,128.5074,4.85598649,,0.173,0.179,164.8948,5.105307695,,0.077,0.083,152.9192,5.029909677,,0.113,0.119,27.4057,3.310751021,,0.054,0.06,27.636,3.319119271,,0.152,0.158,36.3874,3.594222561,,0.069,0.075,34.545,3.542262822,
211,-0.006,0.139,0.145,33.3935,3.50836127,,0.136,0.142,65.4052,4.180601766,,0.138,0.144,66.3264,4.194588008,,0.53,0.536,123.4408,4.815761689,,0.165,0.171,157.5252,5.059585445,,0.074,0.08,147.392,4.993095704,,0.11,0.116,26.7148,3.285217719,,0.053,0.059,27.1754,3.302312152,,0.147,0.153,35.2359,3.562065449,,0.067,0.073,33.6238,3.51523415,
212,-0.006,0.135,0.141,32.4723,3.480387418,,0.131,0.137,63.1022,4.144755634,,0.133,0.139,64.0234,4.159248642,,0.506,0.512,117.9136,4.769952153,,0.158,0.164,151.0768,5.017788317,,0.071,0.077,141.8648,4.954874491,,0.108,0.114,26.2542,3.267825976,,0.052,0.058,26.7148,3.285217719,,0.143,0.149,34.3147,3.535573834,,0.066,0.072,33.1632,3.501440827,
213,-0.006,0.13,0.136,31.3208,3.444282414,,0.127,0.133,61.2598,4.115123837,,0.128,0.134,61.7204,4.122614508,,0.481,0.487,112.1561,4.719891651,,0.15,0.156,143.7072,4.967777896,,0.067,0.073,134.4952,4.901528511,,0.106,0.112,25.7936,3.250126399,,0.051,0.057,26.2542,3.267825976,,0.139,0.145,33.3935,3.50836127,,0.064,0.07,32.242,3.47326995,
214,-0.006,0.126,0.132,30.3996,3.41442945,,0.121,0.127,58.4962,4.068961795,,0.123,0.129,59.4174,4.084587113,,0.456,0.462,106.3986,4.667192419,,0.141,0.147,135.4164,4.908354476,,0.063,0.069,127.1256,4.845175574,,0.104,0.11,25.333,3.232107894,,0.05,0.056,25.7936,3.250126399,,0.135,0.141,32.4723,3.480387418,,0.062,0.068,31.3208,3.444282414,
215,-0.006,0.122,0.128,29.4784,3.383657792,,0.117,0.123,56.6538,4.036959064,,0.118,0.124,57.1144,4.045056274,,0.431,0.437,100.6411,4.611560723,,0.133,0.139,128.0468,4.852395822,,0.059,0.065,119.756,4.785456339,,0.102,0.108,24.8724,3.213758755,,0.05,0.056,25.7936,3.250126399,,0.132,0.138,31.7814,3.458881213,,0.061,0.067,30.8602,3.429467328,
216,-0.006,0.118,0.124,28.5572,3.351909093,,0.112,0.118,54.3508,3.995459333,,0.113,0.119,54.8114,4.003898202,,0.406,0.412,94.8836,4.552650877,,0.124,0.13,119.756,4.785456339,,0.055,0.061,112.3864,4.721942934,,0.1,0.106,24.4118,3.195066622,,0.049,0.055,25.333,3.232107894,,0.128,0.134,30.8602,3.429467328,,0.059,0.065,29.939,3.399161978,
217,-0.006,0.113,0.119,27.4057,3.310751021,,0.107,0.113,52.0478,3.952162527,,0.109,0.115,52.969,3.969706837,,0.382,0.388,89.3564,4.492632867,,0.116,0.122,112.3864,4.721942934,,0.051,0.057,105.0168,4.654120337,,0.099,0.105,24.1815,3.185587878,,0.048,0.054,24.8724,3.213758755,,0.125,0.131,30.1693,3.406824851,,0.058,0.064,29.4784,3.383657792,
218,-0.006,0.11,0.116,26.7148,3.285217719,,0.103,0.109,50.2054,3.916122591,,0.105,0.111,51.1266,3.93430491,,0.359,0.365,84.0595,4.431524881,,0.108,0.114,105.0168,4.654120337,,0.048,0.054,99.4896,4.600053116,,0.097,0.103,23.7209,3.166356516,,0.047,0.053,24.4118,3.195066622,,0.122,0.128,29.4784,3.383657792,,0.056,0.062,28.5572,3.351909093,
