,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
190,-0.002,0.224,0.226,52.0478,3.952162527,2.407025163,0.428,0.43,99.029,4.595412737,2.829637291,0.223,0.225,103.635,4.640875111,2.956395002,0.335,0.337,77.6111,4.351710458,3.055234267,0.154,0.156,71.8536,4.274630716,2.808643094,0.391,0.393,90.5079,4.50543714,2.915674163,0.191,0.193,88.8958,4.487464897,2.924245341,0.277,0.279,64.2537,4.16283931,2.804694853,0.127,0.129,59.4174,4.084587113,2.754126138,0.237,0.239,55.0417,4.00809108,1.825299188
191,-0.004,0.213,0.217,49.9751,3.911524881,1.478740333,0.408,0.412,94.8836,4.552650877,1.70311477,0.214,0.218,100.4108,4.609269771,2.098176143,0.31,0.314,72.3142,4.281020514,2.597817538,0.144,0.148,68.1688,4.221986982,2.278632378,0.373,0.377,86.8231,4.463872715,1.927370523,0.184,0.188,86.5928,4.461216671,1.968801149,0.258,0.262,60.3386,4.099972032,2.150729022,0.118,0.122,56.1932,4.028795753,2.055165265,0.216,0.22,50.666,3.925255074,1.080239392
192,-0.004,0.203,0.207,47.6721,3.864346321,1.627753778,0.389,0.393,90.5079,4.50543714,1.661448389,0.206,0.21,96.726,4.571882239,1.409030892,0.288,0.292,67.2476,4.20838133,1.176077312,0.134,0.138,63.5628,4.152028394,1.232600362,0.357,0.361,83.1383,4.420505486,1.512773039,0.177,0.181,83.3686,4.42327174,1.485292378,0.244,0.248,57.1144,4.045056274,1.304067051,0.113,0.117,53.8902,3.986948643,1.340099594,0.197,0.201,46.2903,3.834932436,1.6897173
193,-0.004,0.192,0.196,45.1388,3.809742187,,0.368,0.372,85.6716,4.450521382,,0.196,0.2,92.12,4.523092075,,0.266,0.27,62.181,4.130049487,,0.124,0.128,58.9568,4.076804972,,0.34,0.344,79.2232,4.372269185,,0.17,0.174,80.1444,4.383830008,,0.227,0.231,53.1993,3.974045238,,0.106,0.11,50.666,3.925255074,,0.176,0.18,41.454,3.724584379,
194,-0.006,0.182,0.188,43.2964,3.768069491,,0.351,0.357,82.2171,4.40936331,,0.187,0.193,88.8958,4.487464897,,0.25,0.256,58.9568,4.076804972,,0.115,0.121,55.7326,4.020565254,,0.326,0.332,76.4596,4.336762497,,0.163,0.169,77.8414,4.354673423,,0.214,0.22,50.666,3.925255074,,0.1,0.106,48.8236,3.888213803,,0.16,0.166,38.2298,3.643615316,
195,-0.006,0.173,0.179,41.2237,3.719013334,,0.334,0.34,78.302,4.360573145,,0.179,0.185,85.211,4.445130533,,0.235,0.241,55.5023,4.016424461,,0.108,0.114,52.5084,3.960973157,,0.312,0.318,73.2354,4.293678911,,0.157,0.163,75.0778,4.318524909,,0.202,0.208,47.9024,3.869165608,,0.095,0.101,46.5206,3.839895225,,0.147,0.153,35.2359,3.562065449,
196,-0.006,0.166,0.172,39.6116,3.679122005,,0.319,0.325,74.8475,4.31545271,,0.171,0.177,81.5262,4.400924441,,0.223,0.229,52.7387,3.965349531,,0.103,0.109,50.2054,3.916122591,,0.301,0.307,70.7021,4.258475275,,0.151,0.157,72.3142,4.281020514,,0.192,0.198,45.5994,3.819894559,,0.09,0.096,44.2176,3.7891229,,0.135,0.141,32.4723,3.480387418,
197,-0.006,0.159,0.165,37.9995,3.637573002,,0.304,0.31,71.393,4.268199825,,0.163,0.169,77.8414,4.354673423,,0.213,0.219,50.4357,3.920699258,,0.097,0.103,47.4418,3.859503697,,0.289,0.295,67.9385,4.218602884,,0.146,0.152,70.0112,4.248655229,,0.183,0.189,43.5267,3.773374543,,0.086,0.092,42.3752,3.746563285,,0.124,0.13,29.939,3.399161978,
198,-0.006,0.153,0.159,36.6177,3.60053173,,0.29,0.296,68.1688,4.221986982,,0.155,0.161,74.1566,4.306179073,,0.203,0.209,48.1327,3.87396178,,0.091,0.097,44.6782,3.799485687,,0.278,0.284,65.4052,4.180601766,,0.139,0.145,66.787,4.201508451,,0.175,0.181,41.6843,3.730124559,,0.082,0.088,40.5328,3.702111523,,0.115,0.121,27.8663,3.327418073,
199,-0.006,0.148,0.154,35.4662,3.56858013,,0.277,0.283,65.1749,4.177074425,,0.148,0.154,70.9324,4.261727311,,0.196,0.202,46.5206,3.839895225,,0.087,0.093,42.8358,3.757374202,,0.267,0.273,62.8719,4.141099323,,0.135,0.141,64.9446,4.173534599,,0.168,0.174,40.0722,3.690682827,,0.079,0.085,39.151,3.667425965,,0.108,0.114,26.2542,3.267825976,
