,Blank,F8Jul19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F1Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr
190,0.005,0.22,0.215,49.5145,3.902265556,2.411532673,0.229,0.224,51.5872,3.94327358,2.417177396,0.205,0.2,46.06,3.829944894,2.317558801,0.59,0.585,134.7255,4.903239375,2.783112706,0.148,0.143,65.8658,4.187619339,2.065265977,0.298,0.293,67.4779,4.211800137,2.301731634,0.143,0.138,63.5628,4.152028394,2.251026412,0.199,0.194,44.6782,3.799485687,2.00418809
191,0.002,0.209,0.207,47.6721,3.864346321,1.931242587,0.217,0.215,49.5145,3.902265556,1.876438474,0.193,0.191,43.9873,3.783900956,1.701864502,0.559,0.557,128.2771,4.854192768,1.787998989,0.14,0.138,63.5628,4.152028394,1.047177548,0.281,0.279,64.2537,4.16283931,1.069852767,0.135,0.133,61.2598,4.115123837,1.011053561,0.182,0.18,41.454,3.724584379,1.191274824
192,0.001,0.198,0.197,45.3691,3.814831257,1.248694851,0.206,0.205,47.2115,3.854637507,1.288173009,0.182,0.181,41.6843,3.730124559,1.361776333,0.528,0.527,121.3681,4.798828076,1.556551611,0.133,0.132,60.7992,4.107576631,1.972221407,0.266,0.265,61.0295,4.111357354,2.151447102,0.128,0.127,58.4962,4.068961795,2.22641658,0.169,0.168,38.6904,3.655591507,1.682389361
193,0.001,0.186,0.185,42.6055,3.751983353,,0.194,0.193,44.4479,3.794317717,,0.17,0.169,38.9207,3.661526243,,0.496,0.495,113.9985,4.73618529,,0.127,0.126,58.0356,4.061056615,,0.25,0.249,57.3447,4.049080424,,0.12,0.119,54.8114,4.003898202,,0.155,0.154,35.4662,3.56858013,
194,0,0.175,0.175,40.3025,3.696413502,,0.183,0.183,42.1449,3.741113681,,0.16,0.16,36.848,3.606801343,,0.47,0.47,108.241,4.684360223,,0.12,0.12,55.272,4.012266451,,0.237,0.237,54.5811,3.999687669,,0.114,0.114,52.5084,3.960973157,,0.143,0.143,32.9329,3.494472158,
195,0,0.165,0.165,37.9995,3.637573002,,0.174,0.174,40.0722,3.690682827,,0.151,0.151,34.7753,3.548907365,,0.445,0.445,102.4835,4.62970181,,0.115,0.115,52.969,3.969706837,,0.224,0.224,51.5872,3.94327358,,0.108,0.108,49.7448,3.906905936,,0.133,0.133,30.6299,3.421976656,
196,0,0.155,0.155,35.6965,3.575052645,,0.164,0.164,37.7692,3.631493956,,0.142,0.142,32.7026,3.487454585,,0.422,0.422,97.1866,4.576632842,,0.11,0.11,50.666,3.925255074,,0.213,0.213,49.0539,3.892919694,,0.102,0.102,46.9812,3.849747522,,0.124,0.124,28.5572,3.351909093,
197,-0.001,0.147,0.148,34.0844,3.528839802,,0.156,0.157,36.1571,3.587873333,,0.135,0.136,31.3208,3.444282414,,0.4,0.401,92.3503,4.525588955,,0.104,0.105,48.363,3.878735059,,0.202,0.203,46.7509,3.844833507,,0.097,0.098,45.1388,3.809742187,,0.116,0.117,26.9451,3.293801463,
198,-0.001,0.139,0.14,32.242,3.47326995,,0.149,0.15,34.545,3.542262822,,0.128,0.129,29.7087,3.391439932,,0.38,0.381,87.7443,4.474426903,,0.099,0.1,46.06,3.829944894,,0.193,0.194,44.6782,3.799485687,,0.091,0.092,42.3752,3.746563285,,0.11,0.111,25.5633,3.241157729,
199,-0.001,0.132,0.133,30.6299,3.421976656,,0.142,0.143,32.9329,3.494472158,,0.123,0.124,28.5572,3.351909093,,0.361,0.362,83.3686,4.42327174,,0.095,0.096,44.2176,3.7891229,,0.184,0.185,42.6055,3.751983353,,0.087,0.088,40.5328,3.702111523,,0.104,0.105,24.1815,3.185587878,
200,-0.001,0.126,0.127,29.2481,3.375814614,,0.136,0.137,31.5511,3.451608454,,0.118,0.119,27.4057,3.310751021,,0.341,0.342,78.7626,4.366438265,,0.089,0.09,41.454,3.724584379,,0.176,0.177,40.7631,3.70777726,,0.083,0.084,38.6904,3.655591507,,0.099,0.1,23.03,3.136797714,
201,-0.002,0.12,0.122,28.0966,3.335648573,,0.129,0.131,30.1693,3.406824851,,0.112,0.114,26.2542,3.267825976,,0.321,0.323,74.3869,4.309279851,,0.082,0.084,38.6904,3.655591507,,0.168,0.17,39.151,3.667425965,,0.079,0.081,37.3086,3.619223863,,0.094,0.096,22.1088,3.095975719,
