,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
190,0.043,0.277,0.234,53.8902,3.986948643,2.418657864,0.249,0.206,47.4418,3.859503697,2.224323361,0.136,0.093,42.8358,3.757374202,2.173676211,0.228,0.185,42.6055,3.751983353,1.982470374,0.62,0.577,132.8831,4.889469794,3.918590876,0.177,0.134,61.7204,4.122614508,3.187240857,0.348,0.305,70.2415,4.251939304,2.562347006,0.196,0.153,70.4718,4.25521263,2.462828393,0.348,0.305,70.2415,4.251939304,2.599992794,0.169,0.126,58.0356,4.061056615,2.336808575,0.484,0.441,101.5623,4.620672403,3.864777616,0.125,0.082,37.7692,3.631493956,3.07444481
191,0.043,0.266,0.223,51.3569,3.938799299,1.666419452,0.234,0.191,43.9873,3.783900956,1.292576325,0.129,0.086,39.6116,3.679122005,1.163273351,0.217,0.174,40.0722,3.690682827,1.36193084,0.589,0.546,125.7438,4.834246504,3.395145555,0.167,0.124,57.1144,4.045056274,2.607371755,0.328,0.285,65.6355,4.184116708,1.409642935,0.183,0.14,64.484,4.166417131,0.994374665,0.331,0.288,66.3264,4.194588008,1.304024339,0.16,0.117,53.8902,3.986948643,#NUM!,0.462,0.419,96.4957,4.569498448,3.355759094,0.12,0.077,35.4662,3.56858013,2.528304511
192,0.044,0.255,0.211,48.5933,3.883485661,1.451410004,0.22,0.176,40.5328,3.702111523,1.720844888,0.121,0.077,35.4662,3.56858013,1.868585925,0.209,0.165,37.9995,3.637573002,1.455632191,0.562,0.518,119.2954,4.78160277,1.154174633,0.161,0.117,53.8902,3.986948643,1.222396021,0.311,0.267,61.4901,4.118876186,1.817727696,0.173,0.129,59.4174,4.084587113,2.476761003,0.316,0.272,62.6416,4.137429594,1.99382229,0.154,0.11,50.666,3.925255074,#NUM!,0.444,0.4,92.12,4.523092075,1.151685061,0.116,0.072,33.1632,3.501440827,1.216010491
193,0.045,0.242,0.197,45.3691,3.814831257,,0.206,0.161,37.0783,3.613031893,,0.114,0.069,31.7814,3.458881213,,0.197,0.152,35.0056,3.555508049,,0.533,0.488,112.3864,4.721942934,,0.153,0.108,49.7448,3.906905936,,0.294,0.249,57.3447,4.049080424,,0.162,0.117,53.8902,3.986948643,,0.3,0.255,58.7265,4.072891073,,0.148,0.103,47.4418,3.859503697,,0.425,0.38,87.514,4.471798781,,0.112,0.067,30.8602,3.429467328,
194,0.044,0.231,0.187,43.0661,3.762736145,,0.194,0.15,34.545,3.542262822,,0.108,0.064,29.4784,3.383657792,,0.188,0.144,33.1632,3.501440827,,0.51,0.466,107.3198,4.675813162,,0.147,0.103,47.4418,3.859503697,,0.279,0.235,54.1205,3.991213042,,0.153,0.109,50.2054,3.916122591,,0.288,0.244,56.1932,4.028795753,,0.142,0.098,45.1388,3.809742187,,0.409,0.365,84.0595,4.431524881,,0.108,0.064,29.4784,3.383657792,
195,0.045,0.221,0.176,40.5328,3.702111523,,0.183,0.138,31.7814,3.458881213,,0.102,0.057,26.2542,3.267825976,,0.178,0.133,30.6299,3.421976656,,0.49,0.445,102.4835,4.62970181,,0.142,0.097,44.6782,3.799485687,,0.266,0.221,50.8963,3.929790229,,0.145,0.1,46.06,3.829944894,,0.275,0.23,52.969,3.969706837,,0.137,0.092,42.3752,3.746563285,,0.394,0.349,80.3747,4.38669945,,0.105,0.06,27.636,3.319119271,
196,0.045,0.212,0.167,38.4601,3.64962134,,0.173,0.128,29.4784,3.383657792,,0.097,0.052,23.9512,3.176018427,,0.17,0.125,28.7875,3.359941265,,0.473,0.428,98.5684,4.590750723,,0.138,0.093,42.8358,3.757374202,,0.253,0.208,47.9024,3.869165608,,0.139,0.094,43.2964,3.768069491,,0.264,0.219,50.4357,3.920699258,,0.131,0.086,39.6116,3.679122005,,0.381,0.336,77.3808,4.348738688,,0.102,0.057,26.2542,3.267825976,
197,0.045,0.203,0.158,36.3874,3.594222561,,0.165,0.12,27.636,3.319119271,,0.092,0.047,21.6482,3.07492231,,0.161,0.116,26.7148,3.285217719,,0.458,0.413,95.1139,4.555075121,,0.134,0.089,40.9934,3.713411078,,0.242,0.197,45.3691,3.814831257,,0.132,0.087,40.0722,3.690682827,,0.253,0.208,47.9024,3.869165608,,0.126,0.081,37.3086,3.619223863,,0.369,0.324,74.6172,4.312371044,,0.099,0.054,24.8724,3.213758755,
198,0.043,0.194,0.151,34.7753,3.548907365,,0.156,0.113,26.0239,3.259015347,,0.087,0.044,20.2664,3.008964342,,0.153,0.11,25.333,3.232107894,,0.445,0.402,92.5806,4.528079616,,0.13,0.087,40.0722,3.690682827,,0.232,0.189,43.5267,3.773374543,,0.125,0.082,37.7692,3.631493956,,0.243,0.2,46.06,3.829944894,,0.121,0.078,35.9268,3.581483535,,0.359,0.316,72.7748,4.287369741,,0.096,0.053,24.4118,3.195066622,
199,0.043,0.187,0.144,33.1632,3.501440827,,0.15,0.107,24.6421,3.204456362,,0.084,0.041,18.8846,2.938346775,,0.147,0.104,23.9512,3.176018427,,0.434,0.391,90.0473,4.500335088,,0.127,0.084,38.6904,3.655591507,,0.222,0.179,41.2237,3.719013334,,0.12,0.077,35.4662,3.56858013,,0.234,0.191,43.9873,3.783900956,,0.116,0.073,33.6238,3.51523415,,0.35,0.307,70.7021,4.258475275,,0.094,0.051,23.4906,3.156600341,
