,Blank,F27Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
190,-0.062,0.387,0.449,103.4047,4.638650416,2.681483205,0.168,0.23,105.938,4.662854017,2.665728257,0.354,0.416,95.8048,4.562312788,3.590946915,0.147,0.209,96.2654,4.56710896,3.640405129,0.18,0.242,55.7326,4.020565254,2.236932146,0.36,0.422,97.1866,4.576632842,2.737362728,0.13,0.192,88.4352,4.48227008,2.700989393,0.415,0.477,109.8531,4.699144019,3.706903036,0.157,0.219,100.8714,4.613846438,3.635892818,0.596,0.658,151.5374,5.020832459,4.013272107,0.101,0.163,75.0778,4.318524909,3.405381521
191,-0.068,0.365,0.433,99.7199,4.602365256,1.517368616,0.156,0.224,103.1744,4.63642076,1.47619275,0.327,0.395,90.9685,4.510513293,2.956090943,0.134,0.202,93.0412,4.533042406,2.916289881,0.161,0.229,52.7387,3.965349531,1.632009489,0.343,0.411,94.6533,4.550220742,1.676426351,0.12,0.188,86.5928,4.461216671,1.643515827,0.385,0.453,104.3259,4.647519653,2.969033829,0.143,0.211,97.1866,4.576632842,2.880381588,0.557,0.625,143.9375,4.969379178,3.701672664,0.089,0.157,72.3142,4.281020514,3.077010505
192,-0.072,0.345,0.417,96.0351,4.56471375,1.767193006,0.146,0.218,100.4108,4.609269771,1.805813135,0.306,0.378,87.0534,4.466521723,1.214761989,0.124,0.196,90.2776,4.502889368,1.248300161,0.143,0.215,49.5145,3.902265556,1.370661237,0.326,0.398,91.6594,4.518079533,1.632855942,0.112,0.184,84.7504,4.439710466,1.64342159,0.362,0.434,99.9502,4.604672062,1.248521657,0.131,0.203,93.5018,4.537980687,1.262295535,0.522,0.594,136.7982,4.918506847,1.084178011,0.081,0.153,70.4718,4.25521263,1.106717548
193,-0.075,0.322,0.397,91.4291,4.515563809,,0.133,0.208,95.8048,4.562312788,,0.281,0.356,81.9868,4.406558259,,0.112,0.187,86.1322,4.455883325,,0.123,0.198,45.5994,3.819894559,,0.307,0.382,87.9746,4.477048136,,0.101,0.176,81.0656,4.395258703,,0.334,0.409,94.1927,4.545342684,,0.117,0.192,88.4352,4.48227008,,0.484,0.559,128.7377,4.857777001,,0.07,0.145,66.787,4.201508451,
194,-0.077,0.302,0.379,87.2837,4.469163733,,0.124,0.201,92.5806,4.528079616,,0.263,0.34,78.302,4.360573145,,0.102,0.179,82.4474,4.412160514,,0.107,0.184,42.3752,3.746563285,,0.291,0.368,84.7504,4.439710466,,0.093,0.17,78.302,4.360573145,,0.314,0.391,90.0473,4.500335088,,0.106,0.183,84.2898,4.434260861,,0.454,0.531,122.2893,4.806389549,,0.062,0.139,64.0234,4.159248642,
195,-0.077,0.285,0.362,83.3686,4.42327174,,0.116,0.193,88.8958,4.487464897,,0.248,0.325,74.8475,4.31545271,,0.095,0.172,79.2232,4.372269185,,0.094,0.171,39.3813,3.673291084,,0.277,0.354,81.5262,4.400924441,,0.086,0.163,75.0778,4.318524909,,0.296,0.373,85.9019,4.453205947,,0.099,0.176,81.0656,4.395258703,,0.428,0.505,116.3015,4.756185957,,0.056,0.133,61.2598,4.115123837,
196,-0.076,0.271,0.347,79.9141,4.380952308,,0.109,0.185,85.211,4.445130533,,0.236,0.312,71.8536,4.274630716,,0.09,0.166,76.4596,4.336762497,,0.083,0.159,36.6177,3.60053173,,0.264,0.34,78.302,4.360573145,,0.081,0.157,72.3142,4.281020514,,0.283,0.359,82.6777,4.414949916,,0.093,0.169,77.8414,4.354673423,,0.406,0.482,111.0046,4.709571642,,0.051,0.127,58.4962,4.068961795,
197,-0.075,0.257,0.332,76.4596,4.336762497,,0.103,0.178,81.9868,4.406558259,,0.225,0.3,69.09,4.235410003,,0.085,0.16,73.696,4.299948524,,0.074,0.149,34.3147,3.535573834,,0.252,0.327,75.3081,4.321587699,,0.076,0.151,69.5506,4.242054545,,0.271,0.346,79.6838,4.378066303,,0.089,0.164,75.5384,4.324641136,,0.386,0.461,106.1683,4.665025571,,0.047,0.122,56.1932,4.028795753,
198,-0.073,0.245,0.318,73.2354,4.293678911,,0.098,0.171,78.7626,4.366438265,,0.218,0.291,67.0173,4.204950795,,0.083,0.156,71.8536,4.274630716,,0.068,0.141,32.4723,3.480387418,,0.241,0.314,72.3142,4.281020514,,0.073,0.146,67.2476,4.20838133,,0.263,0.336,77.3808,4.348738688,,0.086,0.159,73.2354,4.293678911,,0.37,0.443,102.0229,4.625197298,,0.045,0.118,54.3508,3.995459333,
199,-0.066,0.237,0.303,69.7809,4.245360333,,0.096,0.162,74.6172,4.312371044,,0.214,0.28,64.484,4.166417131,,0.084,0.15,69.09,4.235410003,,0.066,0.132,30.3996,3.41442945,,0.233,0.299,68.8597,4.232071101,,0.073,0.139,64.0234,4.159248642,,0.259,0.325,74.8475,4.31545271,,0.087,0.153,70.4718,4.25521263,,0.36,0.426,98.1078,4.586066874,,0.047,0.113,52.0478,3.952162527,
200,-0.059,0.23,0.289,66.5567,4.198054216,,0.095,0.154,70.9324,4.261727311,,0.213,0.272,62.6416,4.137429594,,0.086,0.145,66.787,4.201508451,,0.065,0.124,28.5572,3.351909093,,0.227,0.286,65.8658,4.187619339,,0.074,0.133,61.2598,4.115123837,,0.257,0.316,72.7748,4.287369741,,0.09,0.149,68.6294,4.228721014,,0.353,0.412,94.8836,4.552650877,,0.051,0.11,50.666,3.925255074,
201,-0.054,0.223,0.277,63.7931,4.155645034,,0.092,0.146,67.2476,4.20838133,,0.211,0.265,61.0295,4.111357354,,0.088,0.142,65.4052,4.180601766,,0.065,0.119,27.4057,3.310751021,,0.22,0.274,63.1022,4.144755634,,0.074,0.128,58.9568,4.076804972,,0.255,0.309,71.1627,4.264968805,,0.091,0.145,66.787,4.201508451,,0.347,0.401,92.3503,4.525588955,,0.053,0.107,49.2842,3.897603543,
202,-0.049,0.215,0.264,60.7992,4.107576631,,0.088,0.137,63.1022,4.144755634,,0.21,0.259,59.6477,4.08845559,,0.089,0.138,63.5628,4.152028394,,0.064,0.113,26.0239,3.259015347,,0.213,0.262,60.3386,4.099972032,,0.073,0.122,56.1932,4.028795753,,0.253,0.302,69.5506,4.242054545,,0.093,0.142,65.4052,4.180601766,,0.341,0.39,89.817,4.497774267,,0.055,0.104,47.9024,3.869165608,
203,-0.045,0.207,0.252,58.0356,4.061056615,,0.085,0.13,59.878,4.092309159,,0.208,0.253,58.2659,4.065017017,,0.089,0.134,61.7204,4.122614508,,0.063,0.108,24.8724,3.213758755,,0.206,0.251,57.8053,4.057080467,,0.072,0.117,53.8902,3.986948643,,0.251,0.296,68.1688,4.221986982,,0.093,0.138,63.5628,4.152028394,,0.335,0.38,87.514,4.471798781,,0.056,0.101,46.5206,3.839895225,
204,-0.043,0.197,0.24,55.272,4.012266451,,0.081,0.124,57.1144,4.045056274,,0.205,0.248,57.1144,4.045056274,,0.089,0.132,60.7992,4.107576631,,0.06,0.103,23.7209,3.166356516,,0.198,0.241,55.5023,4.016424461,,0.069,0.112,51.5872,3.94327358,,0.248,0.291,67.0173,4.204950795,,0.093,0.136,62.6416,4.137429594,,0.329,0.372,85.6716,4.450521382,,0.057,0.1,46.06,3.829944894,
205,-0.042,0.188,0.23,52.969,3.969706837,,0.076,0.118,54.3508,3.995459333,,0.202,0.244,56.1932,4.028795753,,0.088,0.13,59.878,4.092309159,,0.058,0.1,23.03,3.136797714,,0.189,0.231,53.1993,3.974045238,,0.066,0.108,49.7448,3.906905936,,0.244,0.286,65.8658,4.187619339,,0.092,0.134,61.7204,4.122614508,,0.324,0.366,84.2898,4.434260861,,0.056,0.098,45.1388,3.809742187,
206,-0.041,0.18,0.221,50.8963,3.929790229,,0.072,0.113,52.0478,3.952162527,,0.199,0.24,55.272,4.012266451,,0.087,0.128,58.9568,4.076804972,,0.056,0.097,22.3391,3.106338506,,0.182,0.223,51.3569,3.938799299,,0.063,0.104,47.9024,3.869165608,,0.241,0.282,64.9446,4.173534599,,0.091,0.132,60.7992,4.107576631,,0.319,0.36,82.908,4.417731559,,0.056,0.097,44.6782,3.799485687,
