,Blank,F22Jul19_IN_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_INF_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_Surf_R2_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F27Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_R_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Jun19_9_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
190,0.002,0.267,0.265,61.0295,4.111357354,2.098570082,0.122,0.12,55.272,4.012266451,2.094862491,0.188,0.186,42.8358,3.757374202,2.099911552,0.278,0.276,63.5628,4.152028394,2.046494276,0.123,0.121,55.7326,4.020565254,2.017552946,0.486,0.484,111.4652,4.713712435,2.404577103,0.213,0.211,97.1866,4.576632842,2.213345881,0.103,0.101,93.0412,4.533042406,2.191366523,0.264,0.262,60.3386,4.099972032,2.178315318,0.138,0.136,62.6416,4.137429594,2.316123897,0.351,0.349,80.3747,4.38669945,2.323115031,0.175,0.173,79.6838,4.378066303,2.320455886,0.362,0.36,82.908,4.417731559,2.198106616,0.186,0.184,84.7504,4.439710466,2.281603814
191,-0.003,0.256,0.259,59.6477,4.08845559,1.143664083,0.117,0.12,55.272,4.012266451,1.120212644,0.175,0.178,40.9934,3.713411078,1.344513351,0.252,0.255,58.7265,4.072891073,0.993344384,0.111,0.114,52.5084,3.960973157,0.950426983,0.469,0.472,108.7016,4.688606513,1.172242143,0.206,0.209,96.2654,4.56710896,0.874277502,0.1,0.103,94.8836,4.552650877,0.578511709,0.245,0.248,57.1144,4.045056274,0.841639508,0.128,0.131,60.3386,4.099972032,1.037705561,0.327,0.33,75.999,4.330720182,1.199053648,0.163,0.166,76.4596,4.336762497,1.142554493,0.323,0.326,75.0778,4.318524909,1.111905725,0.166,0.169,77.8414,4.354673423,1.214401991
192,-0.004,0.247,0.251,57.8053,4.057080467,1.834953212,0.114,0.118,54.3508,3.995459333,1.870057888,0.163,0.167,38.4601,3.64962134,1.561837635,0.23,0.234,53.8902,3.986948643,2.060206218,0.102,0.106,48.8236,3.888213803,2.122785846,0.453,0.457,105.2471,4.656310919,2.051263144,0.199,0.203,93.5018,4.537980687,2.531628546,0.097,0.101,93.0412,4.533042406,3.787938066,0.228,0.232,53.4296,3.9783649,2.588180923,0.12,0.124,57.1144,4.045056274,2.231966353,0.306,0.31,71.393,4.268199825,1.937457123,0.152,0.156,71.8536,4.274630716,2.030936731,0.292,0.296,68.1688,4.221986982,1.976882181,0.15,0.154,70.9324,4.261727311,1.87878794
193,-0.006,0.237,0.243,55.9629,4.024688971,,0.11,0.116,53.4296,3.9783649,,0.149,0.155,35.6965,3.575052645,,0.209,0.215,49.5145,3.902265556,,0.092,0.098,45.1388,3.809742187,,0.435,0.441,101.5623,4.620672403,,0.193,0.199,91.6594,4.518079533,,0.095,0.101,93.0412,4.533042406,,0.21,0.216,49.7448,3.906905936,,0.111,0.117,53.8902,3.986948643,,0.281,0.287,66.0961,4.191109744,,0.14,0.146,67.2476,4.20838133,,0.259,0.265,61.0295,4.111357354,,0.133,0.139,64.0234,4.159248642,
194,-0.007,0.228,0.235,54.1205,3.991213042,,0.105,0.112,51.5872,3.94327358,,0.137,0.144,33.1632,3.501440827,,0.192,0.199,45.8297,3.824932353,,0.084,0.091,41.9146,3.735634215,,0.421,0.428,98.5684,4.590750723,,0.186,0.193,88.8958,4.487464897,,0.091,0.098,90.2776,4.502889368,,0.196,0.203,46.7509,3.844833507,,0.104,0.111,51.1266,3.93430491,,0.262,0.269,61.9507,4.126338907,,0.129,0.136,62.6416,4.137429594,,0.235,0.242,55.7326,4.020565254,,0.12,0.127,58.4962,4.068961795,
195,-0.007,0.221,0.228,52.5084,3.960973157,,0.102,0.109,50.2054,3.916122591,,0.127,0.134,30.8602,3.429467328,,0.177,0.184,42.3752,3.746563285,,0.077,0.084,38.6904,3.655591507,,0.407,0.414,95.3442,4.557493502,,0.18,0.187,86.1322,4.455883325,,0.089,0.096,88.4352,4.48227008,,0.184,0.191,43.9873,3.783900956,,0.097,0.104,47.9024,3.869165608,,0.244,0.251,57.8053,4.057080467,,0.12,0.127,58.4962,4.068961795,,0.214,0.221,50.8963,3.929790229,,0.109,0.116,53.4296,3.9783649,
196,-0.007,0.216,0.223,51.3569,3.938799299,,0.1,0.107,49.2842,3.897603543,,0.119,0.126,29.0178,3.367909435,,0.166,0.173,39.8419,3.684919122,,0.071,0.078,35.9268,3.581483535,,0.395,0.402,92.5806,4.528079616,,0.175,0.182,83.8292,4.428781395,,0.087,0.094,86.5928,4.461216671,,0.174,0.181,41.6843,3.730124559,,0.092,0.099,45.5994,3.819894559,,0.229,0.236,54.3508,3.995459333,,0.113,0.12,55.272,4.012266451,,0.197,0.204,46.9812,3.849747522,,0.101,0.108,49.7448,3.906905936,
197,-0.008,0.211,0.219,50.4357,3.920699258,,0.097,0.105,48.363,3.878735059,,0.112,0.12,27.636,3.319119271,,0.155,0.163,37.5389,3.625377729,,0.066,0.074,34.0844,3.528839802,,0.384,0.392,90.2776,4.502889368,,0.17,0.178,81.9868,4.406558259,,0.084,0.092,84.7504,4.439710466,,0.165,0.173,39.8419,3.684919122,,0.087,0.095,43.757,3.7786516,,0.215,0.223,51.3569,3.938799299,,0.106,0.114,52.5084,3.960973157,,0.183,0.191,43.9873,3.783900956,,0.093,0.101,46.5206,3.839895225,
198,-0.008,0.206,0.214,49.2842,3.897603543,,0.094,0.102,46.9812,3.849747522,,0.105,0.113,26.0239,3.259015347,,0.145,0.153,35.2359,3.562065449,,0.061,0.069,31.7814,3.458881213,,0.372,0.38,87.514,4.471798781,,0.165,0.173,79.6838,4.378066303,,0.081,0.089,81.9868,4.406558259,,0.156,0.164,37.7692,3.631493956,,0.082,0.09,41.454,3.724584379,,0.202,0.21,48.363,3.878735059,,0.099,0.107,49.2842,3.897603543,,0.169,0.177,40.7631,3.70777726,,0.086,0.094,43.2964,3.768069491,
199,-0.008,0.202,0.21,48.363,3.878735059,,0.093,0.101,46.5206,3.839895225,,0.1,0.108,24.8724,3.213758755,,0.138,0.146,33.6238,3.51523415,,0.058,0.066,30.3996,3.41442945,,0.362,0.37,85.211,4.445130533,,0.16,0.168,77.3808,4.348738688,,0.079,0.087,80.1444,4.383830008,,0.149,0.157,36.1571,3.587873333,,0.079,0.087,40.0722,3.690682827,,0.192,0.2,46.06,3.829944894,,0.094,0.102,46.9812,3.849747522,,0.159,0.167,38.4601,3.64962134,,0.081,0.089,40.9934,3.713411078,
200,-0.007,0.2,0.207,47.6721,3.864346321,,0.092,0.099,45.5994,3.819894559,,0.097,0.104,23.9512,3.176018427,,0.132,0.139,32.0117,3.466101461,,0.055,0.062,28.5572,3.351909093,,0.352,0.359,82.6777,4.414949916,,0.156,0.163,75.0778,4.318524909,,0.077,0.084,77.3808,4.348738688,,0.143,0.15,34.545,3.542262822,,0.076,0.083,38.2298,3.643615316,,0.183,0.19,43.757,3.7786516,,0.09,0.097,44.6782,3.799485687,,0.151,0.158,36.3874,3.594222561,,0.077,0.084,38.6904,3.655591507,
201,-0.007,0.197,0.204,46.9812,3.849747522,,0.091,0.098,45.1388,3.809742187,,0.093,0.1,23.03,3.136797714,,0.126,0.133,30.6299,3.421976656,,0.052,0.059,27.1754,3.302312152,,0.342,0.349,80.3747,4.38669945,,0.151,0.158,72.7748,4.287369741,,0.074,0.081,74.6172,4.312371044,,0.137,0.144,33.1632,3.501440827,,0.072,0.079,36.3874,3.594222561,,0.175,0.182,41.9146,3.735634215,,0.086,0.093,42.8358,3.757374202,,0.143,0.15,34.545,3.542262822,,0.073,0.08,36.848,3.606801343,
202,-0.007,0.195,0.202,46.5206,3.839895225,,0.09,0.097,44.6782,3.799485687,,0.09,0.097,22.3391,3.106338506,,0.121,0.128,29.4784,3.383657792,,0.05,0.057,26.2542,3.267825976,,0.333,0.34,78.302,4.360573145,,0.147,0.154,70.9324,4.261727311,,0.072,0.079,72.7748,4.287369741,,0.131,0.138,31.7814,3.458881213,,0.07,0.077,35.4662,3.56858013,,0.167,0.174,40.0722,3.690682827,,0.082,0.089,40.9934,3.713411078,,0.136,0.143,32.9329,3.494472158,,0.07,0.077,35.4662,3.56858013,
203,-0.006,0.193,0.199,45.8297,3.824932353,,0.09,0.096,44.2176,3.7891229,,0.087,0.093,21.4179,3.064227021,,0.117,0.123,28.3269,3.343811883,,0.049,0.055,25.333,3.232107894,,0.324,0.33,75.999,4.330720182,,0.144,0.15,69.09,4.235410003,,0.071,0.077,70.9324,4.261727311,,0.127,0.133,30.6299,3.421976656,,0.068,0.074,34.0844,3.528839802,,0.161,0.167,38.4601,3.64962134,,0.079,0.085,39.151,3.667425965,,0.131,0.137,31.5511,3.451608454,,0.067,0.073,33.6238,3.51523415,
204,-0.006,0.19,0.196,45.1388,3.809742187,,0.089,0.095,43.757,3.7786516,,0.085,0.091,20.9573,3.042487034,,0.113,0.119,27.4057,3.310751021,,0.047,0.053,24.4118,3.195066622,,0.315,0.321,73.9263,4.303068651,,0.14,0.146,67.2476,4.20838133,,0.069,0.075,69.09,4.235410003,,0.123,0.129,29.7087,3.391439932,,0.066,0.072,33.1632,3.501440827,,0.155,0.161,37.0783,3.613031893,,0.076,0.082,37.7692,3.631493956,,0.126,0.132,30.3996,3.41442945,,0.065,0.071,32.7026,3.487454585,
205,-0.006,0.186,0.192,44.2176,3.7891229,,0.087,0.093,42.8358,3.757374202,,0.082,0.088,20.2664,3.008964342,,0.109,0.115,26.4845,3.276559656,,0.045,0.051,23.4906,3.156600341,,0.306,0.312,71.8536,4.274630716,,0.136,0.142,65.4052,4.180601766,,0.067,0.073,67.2476,4.20838133,,0.118,0.124,28.5572,3.351909093,,0.063,0.069,31.7814,3.458881213,,0.149,0.155,35.6965,3.575052645,,0.073,0.079,36.3874,3.594222561,,0.121,0.127,29.2481,3.375814614,,0.062,0.068,31.3208,3.444282414,
206,-0.005,0.183,0.188,43.2964,3.768069491,,0.085,0.09,41.454,3.724584379,,0.08,0.085,19.5755,2.974278784,,0.105,0.11,25.333,3.232107894,,0.044,0.049,22.5694,3.116595007,,0.298,0.303,69.7809,4.245360333,,0.132,0.137,63.1022,4.144755634,,0.065,0.07,64.484,4.166417131,,0.114,0.119,27.4057,3.310751021,,0.062,0.067,30.8602,3.429467328,,0.143,0.148,34.0844,3.528839802,,0.071,0.076,35.0056,3.555508049,,0.117,0.122,28.0966,3.335648573,,0.06,0.065,29.939,3.399161978,
207,-0.005,0.179,0.184,42.3752,3.746563285,,0.084,0.089,40.9934,3.713411078,,0.078,0.083,19.1149,2.950468136,,0.103,0.108,24.8724,3.213758755,,0.043,0.048,22.1088,3.095975719,,0.289,0.294,67.7082,4.215207295,,0.128,0.133,61.2598,4.115123837,,0.063,0.068,62.6416,4.137429594,,0.111,0.116,26.7148,3.285217719,,0.06,0.065,29.939,3.399161978,,0.139,0.144,33.1632,3.501440827,,0.068,0.073,33.6238,3.51523415,,0.113,0.118,27.1754,3.302312152,,0.058,0.063,29.0178,3.367909435,
208,-0.005,0.174,0.179,41.2237,3.719013334,,0.082,0.087,40.0722,3.690682827,,0.077,0.082,18.8846,2.938346775,,0.1,0.105,24.1815,3.185587878,,0.041,0.046,21.1876,3.053416105,,0.28,0.285,65.6355,4.184116708,,0.124,0.129,59.4174,4.084587113,,0.061,0.066,60.7992,4.107576631,,0.108,0.113,26.0239,3.259015347,,0.058,0.063,29.0178,3.367909435,,0.134,0.139,32.0117,3.466101461,,0.066,0.071,32.7026,3.487454585,,0.109,0.114,26.2542,3.267825976,,0.056,0.061,28.0966,3.335648573,
209,-0.005,0.169,0.174,40.0722,3.690682827,,0.079,0.084,38.6904,3.655591507,,0.075,0.08,18.424,2.913654163,,0.097,0.102,23.4906,3.156600341,,0.04,0.045,20.727,3.031437198,,0.271,0.276,63.5628,4.152028394,,0.12,0.125,57.575,4.053088446,,0.059,0.064,58.9568,4.076804972,,0.105,0.11,25.333,3.232107894,,0.056,0.061,28.0966,3.335648573,,0.129,0.134,30.8602,3.429467328,,0.064,0.069,31.7814,3.458881213,,0.105,0.11,25.333,3.232107894,,0.054,0.059,27.1754,3.302312152,
210,-0.005,0.164,0.169,38.9207,3.661526243,,0.077,0.082,37.7692,3.631493956,,0.073,0.078,17.9634,2.888336355,,0.094,0.099,22.7997,3.126747378,,0.039,0.044,20.2664,3.008964342,,0.261,0.266,61.2598,4.115123837,,0.115,0.12,55.272,4.012266451,,0.056,0.061,56.1932,4.028795753,,0.102,0.107,24.6421,3.204456362,,0.055,0.06,27.636,3.319119271,,0.125,0.13,29.939,3.399161978,,0.062,0.067,30.8602,3.429467328,,0.102,0.107,24.6421,3.204456362,,0.053,0.058,26.7148,3.285217719,
