,Blank,F20Sep19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_Surf_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R1_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F22Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_WET_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
190,0.003,0.426,0.423,97.4169,4.578999707,2.728081348,0.175,0.172,79.2232,4.372269185,2.713854838,0.243,0.24,55.272,4.012266451,1.552872949,0.108,0.105,48.363,3.878735059,1.464421972,0.434,0.431,99.2593,4.597735618,3.63554099,0.214,0.211,97.1866,4.576632842,3.658454535,0.093,0.09,397.0372,5.984029979,5.021835351,0.332,0.329,75.7687,4.327685279,2.968483271,0.164,0.161,74.1566,4.306179073,2.915501423
191,0.001,0.414,0.413,95.1139,4.555075121,1.786779657,0.168,0.167,76.9202,4.342768521,1.786823861,0.215,0.214,49.2842,3.897603543,0.742609063,0.096,0.095,43.757,3.7786516,0.569409902,0.407,0.406,93.5018,4.537980687,2.977792145,0.202,0.201,92.5806,4.528079616,2.971228153,0.087,0.086,374.0072,5.924275049,4.364086507,0.316,0.315,72.5445,4.284200167,2.252290658,0.156,0.155,71.393,4.268199825,2.198636735
192,0,0.403,0.403,92.8109,4.53056409,1.526814645,0.163,0.163,75.0778,4.318524909,1.518814976,0.19,0.19,43.757,3.7786516,2.091104227,0.085,0.085,39.151,3.667425965,2.571823862,0.383,0.383,88.2049,4.479662517,1.22088474,0.192,0.192,88.4352,4.48227008,1.23129371,0.083,0.083,352.8196,5.865956878,1.150718562,0.302,0.302,69.5506,4.242054545,1.317984098,0.151,0.151,69.5506,4.242054545,1.326049627
193,0,0.39,0.39,89.817,4.497774267,,0.156,0.156,71.8536,4.274630716,,0.166,0.166,38.2298,3.643615316,,0.074,0.074,34.0844,3.528839802,,0.361,0.361,83.1383,4.420505486,,0.18,0.18,82.908,4.417731559,,0.079,0.079,332.5532,5.806799847,,0.286,0.286,65.8658,4.187619339,,0.145,0.145,66.787,4.201508451,
194,-0.002,0.378,0.38,87.514,4.471798781,,0.149,0.151,69.5506,4.242054545,,0.148,0.15,34.545,3.542262822,,0.064,0.066,30.3996,3.41442945,,0.342,0.344,79.2232,4.372269185,,0.17,0.172,79.2232,4.372269185,,0.075,0.077,316.8928,5.758563546,,0.275,0.277,63.7931,4.155645034,,0.139,0.141,64.9446,4.173534599,
195,-0.002,0.366,0.368,84.7504,4.439710466,,0.144,0.146,67.2476,4.20838133,,0.132,0.134,30.8602,3.429467328,,0.057,0.059,27.1754,3.302312152,,0.327,0.329,75.7687,4.327685279,,0.162,0.164,75.5384,4.324641136,,0.072,0.074,303.0748,5.71397964,,0.264,0.266,61.2598,4.115123837,,0.135,0.137,63.1022,4.144755634,
196,-0.001,0.355,0.356,81.9868,4.406558259,,0.138,0.139,64.0234,4.159248642,,0.12,0.121,27.8663,3.327418073,,0.052,0.053,24.4118,3.195066622,,0.313,0.314,72.3142,4.281020514,,0.156,0.157,72.3142,4.281020514,,0.069,0.07,289.2568,5.667314875,,0.256,0.257,59.1871,4.080703613,,0.131,0.132,60.7992,4.107576631,
197,-0.001,0.344,0.345,79.4535,4.375171945,,0.133,0.134,61.7204,4.122614508,,0.109,0.11,25.333,3.232107894,,0.047,0.048,22.1088,3.095975719,,0.301,0.302,69.5506,4.242054545,,0.149,0.15,69.09,4.235410003,,0.066,0.067,278.2024,5.628348906,,0.248,0.249,57.3447,4.049080424,,0.128,0.129,59.4174,4.084587113,
198,-0.002,0.333,0.335,77.1505,4.34575806,,0.127,0.129,59.4174,4.084587113,,0.1,0.102,23.4906,3.156600341,,0.042,0.044,20.2664,3.008964342,,0.29,0.292,67.2476,4.20838133,,0.143,0.145,66.787,4.201508451,,0.063,0.065,268.9904,5.594675691,,0.241,0.243,55.9629,4.024688971,,0.124,0.126,58.0356,4.061056615,
199,-0.001,0.322,0.323,74.3869,4.309279851,,0.122,0.123,56.6538,4.036959064,,0.093,0.094,21.6482,3.07492231,,0.039,0.04,18.424,2.913654163,,0.282,0.283,65.1749,4.177074425,,0.14,0.141,64.9446,4.173534599,,0.062,0.063,260.6996,5.563368787,,0.236,0.237,54.5811,3.999687669,,0.122,0.123,56.6538,4.036959064,
200,-0.001,0.311,0.312,71.8536,4.274630716,,0.118,0.119,54.8114,4.003898202,,0.088,0.089,20.4967,3.020263898,,0.037,0.038,17.5028,2.862360868,,0.275,0.276,63.5628,4.152028394,,0.137,0.138,63.5628,4.152028394,,0.061,0.062,254.2512,5.538322755,,0.232,0.233,53.6599,3.982665981,,0.12,0.121,55.7326,4.020565254,
201,-0.001,0.3,0.301,69.3203,4.238737793,,0.112,0.113,52.0478,3.952162527,,0.082,0.083,19.1149,2.950468136,,0.034,0.035,16.121,2.78012277,,0.268,0.269,61.9507,4.126338907,,0.134,0.135,62.181,4.130049487,,0.059,0.06,247.8028,5.512633269,,0.228,0.229,52.7387,3.965349531,,0.117,0.118,54.3508,3.995459333,
202,-0.001,0.29,0.291,67.0173,4.204950795,,0.108,0.109,50.2054,3.916122591,,0.078,0.079,18.1937,2.90107538,,0.032,0.033,15.1998,2.72128227,,0.263,0.264,60.7992,4.107576631,,0.131,0.132,60.7992,4.107576631,,0.058,0.059,243.1968,5.493870992,,0.224,0.225,51.8175,3.94772793,,0.115,0.116,53.4296,3.9783649,
203,0,0.282,0.282,64.9446,4.173534599,,0.104,0.104,47.9024,3.869165608,,0.074,0.074,17.0422,2.835692621,,0.031,0.031,14.2786,2.658761913,,0.259,0.259,59.6477,4.08845559,,0.129,0.129,59.4174,4.084587113,,0.057,0.057,238.5908,5.474749951,,0.221,0.221,50.8963,3.929790229,,0.113,0.113,52.0478,3.952162527,
204,0,0.273,0.273,62.8719,4.141099323,,0.1,0.1,46.06,3.829944894,,0.071,0.071,16.3513,2.794307405,,0.029,0.029,13.3574,2.592070538,,0.255,0.255,58.7265,4.072891073,,0.127,0.127,58.4962,4.068961795,,0.056,0.056,234.906,5.459185434,,0.217,0.217,49.9751,3.911524881,,0.111,0.111,51.1266,3.93430491,
205,0,0.264,0.264,60.7992,4.107576631,,0.097,0.097,44.6782,3.799485687,,0.068,0.068,15.6604,2.751135233,,0.028,0.028,12.8968,2.556979219,,0.251,0.251,57.8053,4.057080467,,0.125,0.125,57.575,4.053088446,,0.054,0.054,231.2212,5.443374828,,0.213,0.213,49.0539,3.892919694,,0.109,0.109,50.2054,3.916122591,
206,0,0.256,0.256,58.9568,4.076804972,,0.093,0.093,42.8358,3.757374202,,0.065,0.065,14.9695,2.706014798,,0.026,0.026,11.9756,2.482871246,,0.248,0.248,57.1144,4.045056274,,0.124,0.124,57.1144,4.045056274,,0.054,0.054,228.4576,5.431350635,,0.21,0.21,48.363,3.878735059,,0.108,0.108,49.7448,3.906905936,
207,0,0.249,0.249,57.3447,4.049080424,,0.091,0.091,41.9146,3.735634215,,0.063,0.063,14.5089,2.674762254,,0.025,0.025,11.515,2.443650533,,0.245,0.245,56.4235,4.032885738,,0.123,0.123,56.6538,4.036959064,,0.053,0.053,225.694,5.4191801,,0.207,0.207,47.6721,3.864346321,,0.106,0.106,48.8236,3.888213803,
208,0,0.242,0.242,55.7326,4.020565254,,0.088,0.088,40.5328,3.702111523,,0.061,0.061,14.0483,2.642501392,,0.025,0.025,11.515,2.443650533,,0.243,0.243,55.9629,4.024688971,,0.121,0.121,55.7326,4.020565254,,0.052,0.052,223.8516,5.410983332,,0.204,0.204,46.9812,3.849747522,,0.104,0.104,47.9024,3.869165608,
209,0,0.235,0.235,54.1205,3.991213042,,0.085,0.085,39.151,3.667425965,,0.059,0.059,13.5877,2.609164972,,0.024,0.024,11.0544,2.402828539,,0.24,0.24,55.272,4.012266451,,0.12,0.12,55.272,4.012266451,,0.051,0.051,221.088,5.398560812,,0.2,0.2,46.06,3.829944894,,0.102,0.102,46.9812,3.849747522,
210,0,0.228,0.228,52.5084,3.960973157,,0.083,0.083,38.2298,3.643615316,,0.057,0.057,13.1271,2.574678796,,0.023,0.023,10.5938,2.360268924,,0.238,0.238,54.8114,4.003898202,,0.119,0.119,54.8114,4.003898202,,0.051,0.051,219.2456,5.390192563,,0.197,0.197,45.3691,3.814831257,,0.1,0.1,46.06,3.829944894,
211,0,0.221,0.221,50.8963,3.929790229,,0.081,0.081,37.3086,3.619223863,,0.055,0.055,12.6665,2.538960713,,0.023,0.023,10.5938,2.360268924,,0.236,0.236,54.3508,3.995459333,,0.118,0.118,54.3508,3.995459333,,0.05,0.05,217.4032,5.381753694,,0.194,0.194,44.6782,3.799485687,,0.098,0.098,45.1388,3.809742187,
212,0,0.214,0.214,49.2842,3.897603543,,0.079,0.079,36.3874,3.594222561,,0.054,0.054,12.4362,2.520611574,,0.022,0.022,10.1332,2.315817162,,0.235,0.235,54.1205,3.991213042,,0.117,0.117,53.8902,3.986948643,,0.05,0.05,216.482,5.377507403,,0.19,0.19,43.757,3.7786516,,0.096,0.096,44.2176,3.7891229,
213,0,0.206,0.206,47.4418,3.859503697,,0.077,0.077,35.4662,3.56858013,,0.052,0.052,11.9756,2.482871246,,0.021,0.021,9.6726,2.269297146,,0.233,0.233,53.6599,3.982665981,,0.117,0.117,53.8902,3.986948643,,0.049,0.049,214.6396,5.368960343,,0.186,0.186,42.8358,3.757374202,,0.094,0.094,43.2964,3.768069491,
214,0,0.2,0.2,46.06,3.829944894,,0.076,0.076,35.0056,3.555508049,,0.051,0.051,11.7453,2.463453161,,0.021,0.021,9.6726,2.269297146,,0.231,0.231,53.1993,3.974045238,,0.116,0.116,53.4296,3.9783649,,0.049,0.049,212.7972,5.360339599,,0.182,0.182,41.9146,3.735634215,,0.092,0.092,42.3752,3.746563285,
215,0,0.193,0.193,44.4479,3.794317717,,0.074,0.074,34.0844,3.528839802,,0.05,0.05,11.515,2.443650533,,0.021,0.021,9.6726,2.269297146,,0.23,0.23,52.969,3.969706837,,0.115,0.115,52.969,3.969706837,,0.049,0.049,211.876,5.356001198,,0.178,0.178,40.9934,3.713411078,,0.09,0.09,41.454,3.724584379,
216,0,0.187,0.187,43.0661,3.762736145,,0.072,0.072,33.1632,3.501440827,,0.048,0.048,11.0544,2.402828539,,0.02,0.02,9.212,2.220506982,,0.228,0.228,52.5084,3.960973157,,0.114,0.114,52.5084,3.960973157,,0.049,0.049,210.0336,5.347267518,,0.174,0.174,40.0722,3.690682827,,0.088,0.088,40.5328,3.702111523,
217,0,0.181,0.181,41.6843,3.730124559,,0.071,0.071,32.7026,3.487454585,,0.047,0.047,10.8241,2.38177513,,0.02,0.02,9.212,2.220506982,,0.227,0.227,52.2781,3.956577545,,0.114,0.114,52.5084,3.960973157,,0.048,0.048,209.1124,5.342871906,,0.171,0.171,39.3813,3.673291084,,0.086,0.086,39.6116,3.679122005,
218,0,0.175,0.175,40.3025,3.696413502,,0.069,0.069,31.7814,3.458881213,,0.046,0.046,10.5938,2.360268924,,0.019,0.019,8.7514,2.169213688,,0.226,0.226,52.0478,3.952162527,,0.113,0.113,52.0478,3.952162527,,0.048,0.048,208.1912,5.338456888,,0.168,0.168,38.6904,3.655591507,,0.084,0.084,38.6904,3.655591507,
