,MilliQ,F19Mar20_99_R2,A(CDOM),a(CDOM),ln(a),Sr,B30mar20_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_101_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_20_R2,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_102_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B30mar20_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Mar20_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
190,-0.007,0.189,0.196,45.1388,3.809742187,2.36472019,0.197,0.204,46.9812,3.849747522,2.411832076,0.203,0.21,48.363,3.878735059,2.281052351,0.224,0.231,53.1993,3.974045238,2.530154111,0.202,0.209,48.1327,3.87396178,2.391378572,0.221,0.228,52.5084,3.960973157,1.4130978,0.233,0.24,55.272,4.012266451,2.480352188,0.257,0.264,60.7992,4.107576631,2.459720155,0.323,0.33,75.999,4.330720182,2.306216376,0.223,0.23,52.969,3.969706837,2.33726743,0.17,0.177,40.7631,3.70777726,2.202461096,0.254,0.261,60.1083,4.096147935,2.4499621,0.254,0.261,60.1083,4.096147935,1.604804908
191,-0.013,0.181,0.194,44.6782,3.799485687,1.543208029,0.189,0.202,46.5206,3.839895225,1.569899099,0.192,0.205,47.2115,3.854637507,1.401192658,0.218,0.231,53.1993,3.974045238,1.602853861,0.193,0.206,47.4418,3.859503697,1.503965973,0.21,0.223,51.3569,3.938799299,0.895395749,0.22,0.233,53.6599,3.982665981,1.695968441,0.239,0.252,58.0356,4.061056615,1.697183162,0.305,0.318,73.2354,4.293678911,1.137461617,0.207,0.22,50.666,3.925255074,1.287224146,0.155,0.168,38.6904,3.655591507,1.545648693,0.237,0.25,57.575,4.053088446,1.359827124,0.231,0.244,56.1932,4.028795753,0.759390943
192,-0.014,0.171,0.185,42.6055,3.751983353,1.532340517,0.182,0.196,45.1388,3.809742187,1.53629751,0.184,0.198,45.5994,3.819894559,1.627936271,0.212,0.226,52.0478,3.952162527,1.578530753,0.186,0.2,46.06,3.829944894,1.590048322,0.2,0.214,49.2842,3.897603543,1.578182387,0.208,0.222,51.1266,3.93430491,1.462499024,0.224,0.238,54.8114,4.003898202,1.449295638,0.29,0.304,70.0112,4.248655229,2.027511383,0.196,0.21,48.363,3.878735059,1.815742376,0.145,0.159,36.6177,3.60053173,1.424942877,0.224,0.238,54.8114,4.003898202,1.801671739,0.211,0.225,51.8175,3.94772793,2.113278966
193,-0.016,0.162,0.178,40.9934,3.713411078,,0.174,0.19,43.757,3.7786516,,0.175,0.191,43.9873,3.783900956,,0.203,0.219,50.4357,3.920699258,,0.176,0.192,44.2176,3.7891229,,0.189,0.205,47.2115,3.854637507,,0.197,0.213,49.0539,3.892919694,,0.21,0.226,52.0478,3.952162527,,0.272,0.288,66.3264,4.194588008,,0.184,0.2,46.06,3.829944894,,0.135,0.151,34.7753,3.548907365,,0.211,0.227,52.2781,3.956577545,,0.189,0.205,47.2115,3.854637507,
194,-0.018,0.154,0.172,39.6116,3.679122005,,0.166,0.184,42.3752,3.746563285,,0.167,0.185,42.6055,3.751983353,,0.195,0.213,49.0539,3.892919694,,0.169,0.187,43.0661,3.762736145,,0.18,0.198,45.5994,3.819894559,,0.187,0.205,47.2115,3.854637507,,0.198,0.216,49.7448,3.906905936,,0.259,0.277,63.7931,4.155645034,,0.175,0.193,44.4479,3.794317717,,0.126,0.144,33.1632,3.501440827,,0.199,0.217,49.9751,3.911524881,,0.172,0.19,43.757,3.7786516,
195,-0.018,0.146,0.164,37.7692,3.631493956,,0.159,0.177,40.7631,3.70777726,,0.161,0.179,41.2237,3.719013334,,0.187,0.205,47.2115,3.854637507,,0.161,0.179,41.2237,3.719013334,,0.171,0.189,43.5267,3.773374543,,0.179,0.197,45.3691,3.814831257,,0.187,0.205,47.2115,3.854637507,,0.247,0.265,61.0295,4.111357354,,0.166,0.184,42.3752,3.746563285,,0.12,0.138,31.7814,3.458881213,,0.188,0.206,47.4418,3.859503697,,0.156,0.174,40.0722,3.690682827,
196,-0.018,0.141,0.159,36.6177,3.60053173,,0.154,0.172,39.6116,3.679122005,,0.156,0.174,40.0722,3.690682827,,0.18,0.198,45.5994,3.819894559,,0.155,0.173,39.8419,3.684919122,,0.164,0.182,41.9146,3.735634215,,0.173,0.191,43.9873,3.783900956,,0.18,0.198,45.5994,3.819894559,,0.237,0.255,58.7265,4.072891073,,0.16,0.178,40.9934,3.713411078,,0.115,0.133,30.6299,3.421976656,,0.181,0.199,45.8297,3.824932353,,0.144,0.162,37.3086,3.619223863,
197,-0.018,0.136,0.154,35.4662,3.56858013,,0.148,0.166,38.2298,3.643615316,,0.151,0.169,38.9207,3.661526243,,0.173,0.191,43.9873,3.783900956,,0.149,0.167,38.4601,3.64962134,,0.158,0.176,40.5328,3.702111523,,0.167,0.185,42.6055,3.751983353,,0.172,0.19,43.757,3.7786516,,0.228,0.246,56.6538,4.036959064,,0.153,0.171,39.3813,3.673291084,,0.111,0.129,29.7087,3.391439932,,0.173,0.191,43.9873,3.783900956,,0.132,0.15,34.545,3.542262822,
198,-0.019,0.131,0.15,34.545,3.542262822,,0.143,0.162,37.3086,3.619223863,,0.146,0.165,37.9995,3.637573002,,0.166,0.185,42.6055,3.751983353,,0.143,0.162,37.3086,3.619223863,,0.151,0.17,39.151,3.667425965,,0.161,0.18,41.454,3.724584379,,0.165,0.184,42.3752,3.746563285,,0.219,0.238,54.8114,4.003898202,,0.147,0.166,38.2298,3.643615316,,0.106,0.125,28.7875,3.359941265,,0.165,0.184,42.3752,3.746563285,,0.122,0.141,32.4723,3.480387418,
199,-0.019,0.128,0.147,33.8541,3.522060115,,0.139,0.158,36.3874,3.594222561,,0.143,0.162,37.3086,3.619223863,,0.161,0.18,41.454,3.724584379,,0.139,0.158,36.3874,3.594222561,,0.147,0.166,38.2298,3.643615316,,0.158,0.177,40.7631,3.70777726,,0.16,0.179,41.2237,3.719013334,,0.212,0.231,53.1993,3.974045238,,0.142,0.161,37.0783,3.613031893,,0.104,0.123,28.3269,3.343811883,,0.159,0.178,40.9934,3.713411078,,0.114,0.133,30.6299,3.421976656,
