,MilliQ,F16Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
190,0.024,0.341,0.317,73.0051,4.290529302,2.688375593,0.403,0.379,87.2837,4.469163733,2.792948461,0.243,0.219,50.4357,3.920699258,2.041507464,0.558,0.534,122.9802,4.812023367,2.348368354,0.314,0.29,66.787,4.201508451,2.559118651,0.354,0.33,75.999,4.330720182,2.531062444,0.327,0.303,69.7809,4.245360333,2.580434192,0.199,0.175,40.3025,3.696413502,2.153367679,0.352,0.328,75.5384,4.324641136,2.447383157,0.35,0.326,75.0778,4.318524909,2.544220407,0.356,0.332,76.4596,4.336762497,2.565714136,0.346,0.322,74.1566,4.306179073,2.389920939,0.295,0.271,62.4113,4.133746349,2.207834091
191,0.019,0.331,0.312,71.8536,4.274630716,1.672369565,0.388,0.369,84.9807,4.442424172,1.82472277,0.229,0.21,48.363,3.878735059,1.393474872,0.471,0.452,104.0956,4.645309708,1.473057837,0.304,0.285,65.6355,4.184116708,1.676535702,0.341,0.322,74.1566,4.306179073,1.505797883,0.309,0.29,66.787,4.201508451,1.711622616,0.187,0.168,38.6904,3.655591507,1.233849559,0.337,0.318,73.2354,4.293678911,1.435305614,0.333,0.314,72.3142,4.281020514,1.571576599,0.338,0.319,73.4657,4.296818631,1.684859259,0.328,0.309,71.1627,4.264968805,1.341176602,0.275,0.256,58.9568,4.076804972,1.529763329
192,0.018,0.323,0.305,70.2415,4.251939304,1.607524826,0.376,0.358,82.4474,4.412160514,1.53061523,0.217,0.199,45.8297,3.824932353,1.465047921,0.393,0.375,86.3625,4.458553554,1.594213271,0.293,0.275,63.3325,4.148398626,1.52643254,0.329,0.311,71.6233,4.27142044,1.68087794,0.295,0.277,63.7931,4.155645034,1.507595289,0.178,0.16,36.848,3.606801343,1.745243303,0.322,0.304,70.0112,4.248655229,1.705130345,0.318,0.3,69.09,4.235410003,1.618896851,0.323,0.305,70.2415,4.251939304,1.522806206,0.312,0.294,67.7082,4.215207295,1.781958419,0.256,0.238,54.8114,4.003898202,1.44325207
193,0.017,0.31,0.293,67.4779,4.211800137,,0.362,0.345,79.4535,4.375171945,,0.201,0.184,42.3752,3.746563285,,0.324,0.307,70.7021,4.258475275,,0.28,0.263,60.5689,4.10378156,,0.314,0.297,68.3991,4.225359667,,0.276,0.259,59.6477,4.08845559,,0.167,0.15,34.545,3.542262822,,0.306,0.289,66.5567,4.198054216,,0.301,0.284,65.4052,4.180601766,,0.306,0.289,66.5567,4.198054216,,0.295,0.278,64.0234,4.159248642,,0.237,0.22,50.666,3.925255074,
194,0.016,0.298,0.282,64.9446,4.173534599,,0.348,0.332,76.4596,4.336762497,,0.187,0.171,39.3813,3.673291084,,0.278,0.262,60.3386,4.099972032,,0.268,0.252,58.0356,4.061056615,,0.301,0.285,65.6355,4.184116708,,0.263,0.247,56.8841,4.041015864,,0.158,0.142,32.7026,3.487454585,,0.291,0.275,63.3325,4.148398626,,0.288,0.272,62.6416,4.137429594,,0.291,0.275,63.3325,4.148398626,,0.28,0.264,60.7992,4.107576631,,0.22,0.204,46.9812,3.849747522,
195,0.015,0.285,0.27,62.181,4.130049487,,0.334,0.319,73.4657,4.296818631,,0.174,0.159,36.6177,3.60053173,,0.242,0.227,52.2781,3.956577545,,0.256,0.241,55.5023,4.016424461,,0.289,0.274,63.1022,4.144755634,,0.25,0.235,54.1205,3.991213042,,0.15,0.135,31.0905,3.436902306,,0.277,0.262,60.3386,4.099972032,,0.274,0.259,59.6477,4.08845559,,0.278,0.263,60.5689,4.10378156,,0.266,0.251,57.8053,4.057080467,,0.205,0.19,43.757,3.7786516,
196,0.015,0.274,0.259,59.6477,4.08845559,,0.321,0.306,70.4718,4.25521263,,0.163,0.148,34.0844,3.528839802,,0.217,0.202,46.5206,3.839895225,,0.246,0.231,53.1993,3.974045238,,0.277,0.262,60.3386,4.099972032,,0.239,0.224,51.5872,3.94327358,,0.143,0.128,29.4784,3.383657792,,0.265,0.25,57.575,4.053088446,,0.262,0.247,56.8841,4.041015864,,0.266,0.251,57.8053,4.057080467,,0.254,0.239,55.0417,4.00809108,,0.192,0.177,40.7631,3.70777726,
197,0.014,0.263,0.249,57.3447,4.049080424,,0.308,0.294,67.7082,4.215207295,,0.153,0.139,32.0117,3.466101461,,0.198,0.184,42.3752,3.746563285,,0.235,0.221,50.8963,3.929790229,,0.265,0.251,57.8053,4.057080467,,0.228,0.214,49.2842,3.897603543,,0.138,0.124,28.5572,3.351909093,,0.253,0.239,55.0417,4.00809108,,0.251,0.237,54.5811,3.999687669,,0.255,0.241,55.5023,4.016424461,,0.242,0.228,52.5084,3.960973157,,0.181,0.167,38.4601,3.64962134,
198,0.013,0.252,0.239,55.0417,4.00809108,,0.295,0.282,64.9446,4.173534599,,0.143,0.13,29.939,3.399161978,,0.183,0.17,39.151,3.667425965,,0.226,0.213,49.0539,3.892919694,,0.254,0.241,55.5023,4.016424461,,0.218,0.205,47.2115,3.854637507,,0.132,0.119,27.4057,3.310751021,,0.242,0.229,52.7387,3.965349531,,0.24,0.227,52.2781,3.956577545,,0.244,0.231,53.1993,3.974045238,,0.231,0.218,50.2054,3.916122591,,0.17,0.157,36.1571,3.587873333,
199,0.013,0.242,0.229,52.7387,3.965349531,,0.283,0.27,62.181,4.130049487,,0.136,0.123,28.3269,3.343811883,,0.173,0.16,36.848,3.606801343,,0.217,0.204,46.9812,3.849747522,,0.244,0.231,53.1993,3.974045238,,0.21,0.197,45.3691,3.814831257,,0.128,0.115,26.4845,3.276559656,,0.231,0.218,50.2054,3.916122591,,0.231,0.218,50.2054,3.916122591,,0.235,0.222,51.1266,3.93430491,,0.221,0.208,47.9024,3.869165608,,0.161,0.148,34.0844,3.528839802,
