Wavelength,MilliQ,C50_1jun23_9m_r1,C100_1jun23_0_1m_r1,C50_1jun23_6m_r1,C300cove_1jun23_bot_r1,C300_1jun23_0_1m_r2,C300pool_1jun23_0_1m_r2,C300cove_1jun23_surf_r1,C50_1jun23_20m_r2,C50_1jun23_6m_r2
190,-0.017,0.313,0.249,0.3,0.282,0.145,0.354,0.286,0.287,0.294
191,-0.021,0.287,0.241,0.276,0.262,0.134,0.316,0.262,0.261,0.271
192,-0.021,0.263,0.232,0.256,0.243,0.125,0.283,0.241,0.239,0.249
193,-0.021,0.238,0.224,0.234,0.221,0.117,0.248,0.218,0.215,0.225
194,-0.021,0.218,0.217,0.216,0.205,0.109,0.224,0.201,0.196,0.207
195,-0.021,0.199,0.21,0.198,0.19,0.103,0.202,0.186,0.179,0.19
196,-0.021,0.184,0.205,0.184,0.178,0.099,0.187,0.173,0.165,0.177
197,-0.02,0.171,0.201,0.171,0.166,0.095,0.174,0.161,0.153,0.164
198,-0.02,0.158,0.196,0.16,0.156,0.091,0.162,0.151,0.142,0.153
199,-0.02,0.148,0.192,0.15,0.148,0.088,0.154,0.142,0.133,0.144
200,-0.019,0.14,0.189,0.142,0.14,0.086,0.147,0.135,0.126,0.136
201,-0.019,0.132,0.184,0.134,0.133,0.083,0.14,0.128,0.12,0.129
202,-0.018,0.125,0.181,0.128,0.127,0.081,0.134,0.122,0.113,0.122
203,-0.017,0.12,0.179,0.123,0.122,0.079,0.129,0.117,0.109,0.118
204,-0.016,0.115,0.176,0.118,0.117,0.078,0.125,0.113,0.105,0.113
205,-0.017,0.11,0.173,0.113,0.113,0.076,0.12,0.108,0.1,0.108
206,-0.016,0.106,0.17,0.109,0.109,0.074,0.117,0.104,0.097,0.104
207,-0.016,0.102,0.167,0.105,0.106,0.073,0.114,0.101,0.094,0.101
208,-0.015,0.099,0.164,0.102,0.103,0.071,0.111,0.098,0.092,0.098
209,-0.015,0.096,0.161,0.099,0.099,0.07,0.108,0.095,0.089,0.095
210,-0.015,0.093,0.158,0.096,0.097,0.068,0.105,0.092,0.087,0.092
211,-0.014,0.09,0.154,0.094,0.094,0.067,0.103,0.09,0.084,0.09
212,-0.013,0.088,0.151,0.091,0.092,0.066,0.1,0.088,0.082,0.087
213,-0.013,0.085,0.147,0.089,0.089,0.064,0.098,0.086,0.079,0.085
214,-0.013,0.083,0.143,0.086,0.087,0.063,0.095,0.083,0.077,0.083
215,-0.013,0.08,0.139,0.084,0.084,0.061,0.093,0.081,0.075,0.08
216,-0.012,0.078,0.136,0.082,0.082,0.06,0.091,0.079,0.074,0.078
217,-0.012,0.076,0.133,0.08,0.08,0.058,0.089,0.077,0.072,0.077
218,-0.012,0.074,0.13,0.078,0.078,0.057,0.087,0.075,0.07,0.075
219,-0.012,0.072,0.126,0.076,0.076,0.055,0.085,0.074,0.068,0.073
220,-0.012,0.07,0.123,0.075,0.075,0.054,0.084,0.072,0.066,0.071
221,-0.012,0.069,0.12,0.073,0.073,0.053,0.082,0.071,0.065,0.07
222,-0.011,0.067,0.118,0.072,0.072,0.052,0.081,0.069,0.063,0.069
223,-0.011,0.066,0.115,0.07,0.07,0.051,0.079,0.068,0.062,0.067
224,-0.011,0.064,0.113,0.069,0.069,0.05,0.078,0.067,0.06,0.066
225,-0.011,0.063,0.11,0.068,0.068,0.049,0.076,0.065,0.059,0.065
226,-0.011,0.061,0.107,0.066,0.066,0.048,0.075,0.064,0.058,0.063
227,-0.011,0.059,0.105,0.065,0.065,0.047,0.073,0.063,0.056,0.062
228,-0.011,0.058,0.103,0.063,0.063,0.046,0.072,0.062,0.055,0.061
229,-0.011,0.057,0.101,0.062,0.062,0.045,0.071,0.06,0.054,0.059
230,-0.011,0.055,0.099,0.061,0.061,0.044,0.07,0.059,0.053,0.058
231,-0.01,0.054,0.097,0.06,0.06,0.043,0.069,0.058,0.052,0.057
232,-0.01,0.053,0.095,0.058,0.059,0.043,0.067,0.057,0.051,0.056
233,-0.01,0.052,0.093,0.057,0.057,0.042,0.066,0.056,0.05,0.055
234,-0.01,0.051,0.091,0.056,0.056,0.041,0.065,0.055,0.049,0.054
235,-0.01,0.05,0.09,0.055,0.055,0.041,0.064,0.054,0.048,0.053
236,-0.01,0.049,0.088,0.055,0.055,0.04,0.063,0.053,0.047,0.052
237,-0.01,0.048,0.087,0.054,0.054,0.039,0.062,0.052,0.046,0.051
238,-0.01,0.047,0.085,0.052,0.052,0.039,0.061,0.051,0.046,0.05
239,-0.01,0.047,0.084,0.052,0.052,0.038,0.06,0.051,0.045,0.05
240,-0.009,0.046,0.083,0.051,0.051,0.038,0.06,0.05,0.044,0.049
241,-0.009,0.045,0.081,0.051,0.05,0.037,0.059,0.049,0.044,0.048
242,-0.009,0.045,0.08,0.05,0.05,0.037,0.058,0.049,0.043,0.048
243,-0.009,0.045,0.079,0.049,0.049,0.036,0.058,0.048,0.043,0.047
244,-0.009,0.044,0.079,0.049,0.049,0.036,0.057,0.048,0.043,0.047
245,-0.009,0.043,0.078,0.049,0.048,0.036,0.056,0.047,0.042,0.046
246,-0.009,0.043,0.077,0.048,0.048,0.035,0.056,0.047,0.041,0.046
247,-0.009,0.043,0.076,0.048,0.047,0.035,0.055,0.046,0.041,0.046
248,-0.009,0.042,0.075,0.047,0.047,0.035,0.055,0.046,0.041,0.045
249,-0.009,0.042,0.074,0.047,0.047,0.034,0.054,0.046,0.04,0.045
250,-0.008,0.042,0.074,0.047,0.047,0.034,0.054,0.045,0.04,0.045
251,-0.008,0.041,0.073,0.046,0.046,0.034,0.054,0.045,0.04,0.044
252,-0.008,0.041,0.072,0.046,0.046,0.034,0.053,0.045,0.04,0.044
