Wavelength nm.,MilliQ,CC4_17dec24_9R2,CC3_17dec24_01R1,C50_17dec24_6R1,C50_17dec24_01R1,CC4_17dec24_9R1,CC2_17feb25_BOTR1,CP2_17feb25_BOTR1,CC4_17feb25_BOTR2,CS2_17feb25_01R1
190,0.008,0.417,0.429,0.423,0.427,0.398,0.518,0.486,0.475,0.143
191,0.006,0.383,0.392,0.386,0.395,0.363,0.471,0.449,0.439,0.137
192,0.006,0.352,0.36,0.353,0.362,0.331,0.431,0.414,0.405,0.131
193,0.005,0.317,0.326,0.319,0.327,0.298,0.39,0.38,0.37,0.125
194,0.004,0.291,0.3,0.292,0.301,0.272,0.358,0.352,0.342,0.12
195,0.004,0.265,0.276,0.267,0.275,0.249,0.331,0.327,0.318,0.116
196,0.004,0.244,0.257,0.246,0.254,0.23,0.308,0.305,0.297,0.112
197,0.003,0.226,0.24,0.228,0.236,0.214,0.288,0.287,0.28,0.109
198,0.002,0.21,0.225,0.213,0.22,0.199,0.271,0.271,0.265,0.106
199,0.003,0.197,0.213,0.2,0.207,0.188,0.257,0.258,0.253,0.104
200,0.003,0.186,0.202,0.188,0.195,0.178,0.245,0.247,0.242,0.102
201,0.002,0.176,0.191,0.178,0.184,0.168,0.234,0.236,0.232,0.1
202,0.002,0.167,0.182,0.169,0.175,0.16,0.225,0.228,0.224,0.098
203,0.002,0.16,0.175,0.162,0.167,0.153,0.217,0.22,0.216,0.096
204,0.001,0.153,0.168,0.155,0.159,0.147,0.209,0.212,0.209,0.094
205,0.001,0.147,0.162,0.149,0.153,0.141,0.203,0.206,0.202,0.093
206,0.001,0.141,0.158,0.144,0.148,0.136,0.197,0.2,0.197,0.091
207,0.001,0.137,0.153,0.139,0.142,0.132,0.191,0.194,0.191,0.089
208,0.001,0.132,0.148,0.135,0.138,0.129,0.186,0.189,0.186,0.088
209,0.001,0.128,0.144,0.131,0.133,0.124,0.18,0.183,0.181,0.086
210,0.001,0.124,0.14,0.126,0.129,0.121,0.175,0.178,0.176,0.084
211,0.001,0.12,0.136,0.122,0.125,0.117,0.169,0.172,0.17,0.082
212,0.001,0.116,0.132,0.119,0.121,0.113,0.164,0.167,0.164,0.081
213,0.001,0.113,0.128,0.115,0.117,0.11,0.158,0.161,0.158,0.079
214,0.001,0.109,0.124,0.111,0.113,0.107,0.152,0.155,0.152,0.077
215,0.001,0.106,0.121,0.108,0.11,0.103,0.147,0.15,0.147,0.075
216,0.001,0.102,0.117,0.104,0.106,0.1,0.141,0.145,0.141,0.073
217,0.001,0.099,0.114,0.101,0.103,0.097,0.136,0.139,0.136,0.071
218,0.001,0.096,0.111,0.098,0.1,0.094,0.131,0.135,0.131,0.07
219,0.001,0.094,0.108,0.095,0.097,0.092,0.126,0.13,0.126,0.068
220,0.001,0.091,0.106,0.093,0.094,0.089,0.121,0.126,0.121,0.067
221,0.001,0.088,0.103,0.09,0.091,0.086,0.117,0.121,0.116,0.065
222,0.001,0.086,0.1,0.088,0.088,0.084,0.113,0.117,0.112,0.064
223,0.001,0.083,0.098,0.085,0.086,0.082,0.109,0.113,0.108,0.063
224,0.001,0.081,0.096,0.083,0.084,0.08,0.105,0.11,0.104,0.062
225,0.001,0.079,0.094,0.08,0.081,0.078,0.102,0.106,0.101,0.061
226,0.001,0.077,0.092,0.078,0.079,0.076,0.098,0.103,0.097,0.059
227,0.001,0.075,0.09,0.076,0.077,0.074,0.095,0.1,0.094,0.058
228,0.001,0.073,0.088,0.074,0.075,0.072,0.092,0.097,0.091,0.057
229,0.001,0.072,0.086,0.073,0.074,0.07,0.089,0.095,0.088,0.056
230,0.001,0.07,0.084,0.071,0.072,0.068,0.087,0.092,0.086,0.055
231,0.001,0.068,0.082,0.069,0.07,0.067,0.085,0.09,0.083,0.054
232,0.001,0.067,0.081,0.068,0.069,0.066,0.082,0.088,0.081,0.053
233,0.001,0.065,0.079,0.067,0.067,0.064,0.08,0.086,0.079,0.052
234,0.001,0.064,0.078,0.065,0.066,0.063,0.079,0.084,0.078,0.051
235,0,0.063,0.076,0.064,0.065,0.062,0.077,0.082,0.076,0.05
236,0,0.062,0.075,0.063,0.063,0.061,0.075,0.08,0.074,0.049
237,0.001,0.06,0.074,0.061,0.062,0.06,0.074,0.079,0.073,0.049
238,0.001,0.059,0.073,0.06,0.061,0.059,0.073,0.077,0.071,0.048
239,0.001,0.058,0.072,0.059,0.06,0.058,0.071,0.076,0.07,0.047
240,0.001,0.058,0.07,0.059,0.059,0.057,0.07,0.075,0.069,0.047
241,0,0.057,0.069,0.058,0.058,0.056,0.069,0.074,0.068,0.046
242,0,0.056,0.068,0.057,0.057,0.055,0.068,0.073,0.067,0.045
243,0,0.055,0.068,0.056,0.056,0.055,0.067,0.072,0.066,0.045
244,0,0.054,0.067,0.055,0.056,0.054,0.066,0.071,0.065,0.044
245,0,0.054,0.066,0.055,0.055,0.053,0.065,0.07,0.065,0.044
246,0,0.053,0.065,0.054,0.054,0.053,0.065,0.069,0.064,0.043
247,0,0.052,0.064,0.053,0.054,0.052,0.064,0.069,0.063,0.042
248,0,0.052,0.064,0.053,0.053,0.052,0.063,0.068,0.062,0.042
249,0,0.051,0.063,0.053,0.052,0.051,0.062,0.067,0.062,0.041
250,0,0.051,0.063,0.052,0.052,0.051,0.062,0.067,0.061,0.041
251,0,0.051,0.062,0.052,0.052,0.05,0.061,0.066,0.061,0.041
252,0,0.05,0.062,0.051,0.051,0.05,0.061,0.065,0.06,0.04
253,0,0.05,0.061,0.051,0.051,0.05,0.06,0.065,0.06,0.04
254,0,0.049,0.061,0.05,0.05,0.049,0.06,0.064,0.059,0.04
255,0,0.049,0.06,0.05,0.05,0.049,0.059,0.064,0.058,0.039
256,0,0.048,0.06,0.05,0.05,0.049,0.059,0.064,0.058,0.039
257,0,0.048,0.059,0.049,0.049,0.048,0.058,0.063,0.057,0.038
258,0,0.047,0.058,0.049,0.048,0.048,0.058,0.062,0.057,0.038
259,0,0.047,0.058,0.048,0.048,0.047,0.057,0.062,0.057,0.038
260,0,0.047,0.057,0.048,0.048,0.047,0.056,0.061,0.056,0.037
261,0,0.046,0.057,0.048,0.047,0.046,0.056,0.061,0.055,0.037
262,0,0.046,0.056,0.047,0.047,0.046,0.055,0.06,0.055,0.037
263,0,0.045,0.056,0.047,0.046,0.045,0.055,0.06,0.054,0.036
264,0,0.045,0.055,0.046,0.046,0.045,0.054,0.059,0.053,0.036
265,0,0.044,0.054,0.045,0.045,0.044,0.053,0.058,0.053,0.035
266,0,0.044,0.054,0.045,0.044,0.044,0.053,0.058,0.052,0.035
267,0,0.043,0.053,0.044,0.044,0.043,0.052,0.057,0.052,0.035
268,0,0.042,0.053,0.044,0.043,0.043,0.052,0.056,0.051,0.034
269,0,0.042,0.052,0.043,0.043,0.042,0.051,0.056,0.05,0.034
270,0,0.041,0.051,0.042,0.042,0.041,0.05,0.055,0.05,0.033
271,0,0.041,0.051,0.042,0.041,0.041,0.049,0.054,0.049,0.033
272,0,0.04,0.05,0.041,0.041,0.04,0.049,0.054,0.048,0.033
273,0,0.039,0.049,0.04,0.04,0.04,0.048,0.053,0.048,0.032
274,0,0.039,0.049,0.04,0.04,0.039,0.047,0.052,0.047,0.032
275,0,0.038,0.048,0.039,0.039,0.038,0.047,0.052,0.046,0.032
276,0,0.037,0.047,0.038,0.038,0.038,0.046,0.051,0.046,0.031
277,0,0.037,0.047,0.038,0.037,0.037,0.046,0.051,0.045,0.031
278,0,0.036,0.046,0.037,0.037,0.036,0.045,0.049,0.044,0.03
279,0,0.035,0.045,0.036,0.036,0.035,0.044,0.049,0.043,0.03
280,0,0.034,0.044,0.035,0.035,0.034,0.043,0.048,0.042,0.029
281,0,0.034,0.043,0.035,0.035,0.034,0.042,0.047,0.042,0.029
282,0,0.033,0.043,0.034,0.034,0.033,0.041,0.046,0.041,0.028
283,0,0.033,0.042,0.033,0.033,0.033,0.041,0.046,0.04,0.028
284,0,0.032,0.042,0.033,0.033,0.032,0.04,0.045,0.04,0.028
285,0,0.031,0.041,0.032,0.032,0.032,0.039,0.044,0.039,0.028
286,0,0.03,0.04,0.031,0.031,0.031,0.039,0.043,0.038,0.027
287,0,0.03,0.04,0.03,0.031,0.03,0.038,0.043,0.037,0.027
288,0,0.029,0.039,0.03,0.03,0.029,0.037,0.042,0.037,0.026
289,0,0.028,0.038,0.029,0.029,0.029,0.036,0.041,0.036,0.026
290,0,0.028,0.037,0.029,0.029,0.028,0.036,0.041,0.036,0.025
291,0,0.027,0.037,0.028,0.028,0.027,0.035,0.04,0.035,0.025
292,0,0.026,0.036,0.027,0.027,0.027,0.034,0.039,0.034,0.025
