SIGNAL2,B,C,D
365,0.6159,1.141E4,1.85257E4
366,0.6157,1.126E4,1.82881E4
367,0.6158,1.078E4,1.75057E4
368,0.6154,1.032E4,1.67696E4
369,0.615,1.043E4,1.69593E4
370,0.6152,9550,1.55234E4
371,0.6155,9380,1.52396E4
372,0.6152,9740,1.58322E4
373,0.6153,9030,1.46758E4
374,0.6157,8770,1.42439E4
375,0.6157,8750,1.42115E4
376,0.6154,8140,1.32272E4
377,0.6157,7370,1.19701E4
378,0.6158,6970,1.13186E4
379,0.6152,6460,1.05007E4
380,0.6156,6550,1.064E4
381,0.6155,6320,1.02681E4
382,0.6159,6820,1.10732E4
383,0.6155,8360,1.35825E4
384,0.6156,1.125E4,1.82749E4
385,0.6157,1.665E4,2.70424E4
386,0.6152,2.473E4,4.01983E4
387,0.6159,3.788E4,6.15035E4
388,0.6155,5.487E4,8.9147E4
389,0.6155,7.923E4,1.28725E5
390,0.6151,1.0747E5,1.7472E5
391,0.6157,1.4071E5,2.28537E5
392,0.6162,1.8079E5,2.93395E5
393,0.6155,2.143E5,3.48172E5
394,0.616,2.4971E5,4.05373E5
395,0.6158,2.7677E5,4.49448E5
396,0.616,2.952E5,4.79221E5
397,0.616,3.0442E5,4.94188E5
398,0.6156,2.983E5,4.84568E5
399,0.6165,2.8075E5,4.55393E5
400,0.6161,2.5889E5,4.20208E5
401,0.6152,2.2435E5,3.64678E5
402,0.6161,1.8933E5,3.07304E5
403,0.6158,1.5519E5,2.52014E5
404,0.6162,1.2005E5,1.94823E5
405,0.6158,8.769E4,1.424E5
406,0.6158,6.416E4,1.0419E5
407,0.6161,4.312E4,6.99886E4
408,0.6155,2.922E4,4.74736E4
409,0.6161,1.886E4,3.06119E4
410,0.6158,1.325E4,2.15167E4
411,0.616,1.012E4,1.64286E4
412,0.6162,7010,1.13762E4
413,0.6158,6110,9922.05261
414,0.6152,4840,7867.36021
415,0.6153,4160,6760.92963
416,0.6157,3820,6204.32029
417,0.6156,2860,4645.87394
418,0.6157,2370,3849.27725
419,0.6153,2270,3689.25727
420,0.6158,2100,3410.19812
421,0.6157,1860,3020.95176
422,0.6156,1480,2404.15854
423,0.6164,1760,2855.28877
424,0.6157,1390,2257.59298
425,0.6159,1540,2500.40591
426,0.6164,1430,2319.92213
427,0.6162,1350,2190.84713
428,0.6159,1160,1883.42263
429,0.6157,1360,2208.86796
430,0.6158,1260,2046.11887
431,0.6157,1310,2127.65957
432,0.6158,1110,1802.53329
433,0.6159,1150,1867.18623
434,0.616,1080,1753.24675
435,0.6157,1090,1770.3427
436,0.6155,1020,1657.18928
437,0.6161,1060,1720.49992
438,0.6159,940,1526.22179
439,0.6158,980,1591.42579
440,0.6155,890,1445.97888
441,0.6155,1170,1900.89358
442,0.6156,1030,1673.16439
443,0.6158,1010,1640.1429
444,0.6158,1080,1753.81617
445,0.6161,1120,1817.88671
446,0.6155,920,1494.71974
447,0.6157,1130,1835.3094
448,0.6154,1080,1754.95613
449,0.6155,840,1364.74411
450,0.6156,1100,1786.87459
