SIGNAL2,B,C,D
270,0.00914,420,4.59318E4
272,0.00914,284,3.10722E4
274,0.00915,208,2.27422E4
276,0.00914,220,2.4069E4
278,0.00914,196,2.14376E4
280,0.00914,208,2.27531E4
282,0.00914,240,2.62502E4
284,0.00914,208,2.27511E4
286,0.00915,244,2.66713E4
288,0.00915,280,3.06091E4
290,0.00915,292,3.19223E4
292,0.00915,272,2.9719E4
294,0.00915,252,2.75374E4
296,0.00915,284,3.10423E4
298,0.00915,288,3.1463E4
300,0.00915,300,3.27883E4
302,0.00915,284,3.10355E4
304,0.00915,264,2.88676E4
306,0.00915,260,2.84203E4
308,0.00914,320,3.50033E4
310,0.00915,368,4.02239E4
312,0.00915,280,3.06064E4
314,0.00915,304,3.32255E4
316,0.00915,256,2.7972E4
318,0.00915,288,3.14603E4
320,0.00915,336,3.67085E4
322,0.00915,344,3.76121E4
324,0.00915,320,3.49696E4
326,0.00915,296,3.23526E4
328,0.00915,352,3.84599E4
330,0.00915,308,3.36627E4
332,0.00915,276,3.01771E4
334,0.00915,296,3.23554E4
336,0.00915,288,3.14837E4
338,0.00914,288,3.14933E4
340,0.00914,272,2.9745E4
342,0.00916,272,2.97086E4
344,0.00915,284,3.10315E4
346,0.00915,300,3.27826E4
348,0.00915,272,2.97203E4
350,0.00915,288,3.1474E4
352,0.00916,320,3.49375E4
354,0.00915,336,3.67085E4
356,0.00916,392,4.28097E4
358,0.00915,352,3.84834E4
360,0.00915,252,2.75398E4
362,0.00916,360,3.93047E4
364,0.00916,344,3.75497E4
366,0.00916,324,3.53804E4
368,0.00915,280,3.06024E4
370,0.00916,288,3.1426E4
372,0.00916,268,2.92576E4
374,0.00915,360,3.93305E4
376,0.00916,296,3.23158E4
378,0.00915,344,3.75825E4
380,0.00916,344,3.75579E4
382,0.00916,360,3.93168E4
384,0.00916,324,3.53774E4
386,0.00915,300,3.27726E4
388,0.00916,348,3.80079E4
390,0.00916,324,3.53573E4
392,0.00915,408,4.45726E4
394,0.00915,316,3.4531E4
396,0.00916,404,4.41279E4
398,0.00916,332,3.6262E4
400,0.00916,336,3.66924E4
402,0.00916,268,2.9264E4
404,0.00916,372,4.06007E4
406,0.00916,272,2.9706E4
408,0.00915,324,3.54145E4
410,0.00915,284,3.10518E4
412,0.00915,248,2.71074E4
414,0.00915,324,3.54129E4
416,0.00915,352,3.84733E4
418,0.00914,296,3.23724E4
420,0.00915,240,2.62261E4
422,0.00915,296,3.23398E4
424,0.00915,320,3.49696E4
426,0.00915,216,2.35983E4
428,0.00915,292,3.18958E4
430,0.00916,336,3.66828E4
