SIGNAL2,B,C,D
270,0.00898,364,4.05309E4
272,0.00899,208,2.3143E4
274,0.00899,288,3.20228E4
276,0.00899,204,2.26868E4
278,0.00899,228,2.53559E4
280,0.00899,264,2.93633E4
282,0.00899,244,2.71316E4
284,0.00899,268,2.98003E4
286,0.009,244,2.71015E4
288,0.00901,272,3.01927E4
290,0.00901,240,2.66406E4
292,0.009,304,3.37613E4
294,0.00901,352,3.90816E4
296,0.009,288,3.20085E4
298,0.00899,340,3.77996E4
300,0.009,352,3.90903E4
302,0.009,268,2.97659E4
304,0.00901,364,4.04193E4
306,0.00901,340,3.77476E4
308,0.009,296,3.28962E4
310,0.00901,316,3.50721E4
312,0.009,280,3.11249E4
314,0.009,256,2.84482E4
316,0.009,296,3.2883E4
318,0.00899,324,3.60256E4
320,0.00901,368,4.08562E4
322,0.00899,344,3.8263E4
324,0.00898,284,3.16188E4
326,0.00899,292,3.24964E4
328,0.00899,396,4.40705E4
330,0.00899,356,3.95872E4
332,0.00899,264,2.93529E4
334,0.00899,324,3.60288E4
336,0.009,328,3.64542E4
338,0.009,336,3.73433E4
340,0.00899,312,3.47006E4
342,0.009,252,2.80025E4
344,0.00899,328,3.64688E4
346,0.00899,376,4.18112E4
348,0.00899,288,3.20185E4
350,0.00899,280,3.11513E4
352,0.00899,268,2.97963E4
354,0.009,276,3.06817E4
356,0.009,332,3.69053E4
358,0.00899,300,3.33541E4
360,0.00901,312,3.4642E4
362,0.009,348,3.86804E4
364,0.009,272,3.02195E4
366,0.009,288,3.201E4
368,0.00899,336,3.73616E4
370,0.009,376,4.17982E4
372,0.009,372,4.13554E4
374,0.00899,372,4.13756E4
376,0.00899,380,4.22579E4
378,0.009,312,3.46744E4
380,0.00899,364,4.04678E4
382,0.009,416,4.62181E4
384,0.009,396,4.40098E4
386,0.009,332,3.69004E4
388,0.009,328,3.64444E4
390,0.009,304,3.37823E4
392,0.009,272,3.0237E4
394,0.00899,300,3.3366E4
396,0.00899,240,2.66856E4
398,0.009,276,3.06762E4
400,0.00898,292,3.25022E4
402,0.00899,292,3.2482E4
404,0.00899,344,3.82477E4
406,0.00899,320,3.55999E4
408,0.00899,316,3.51596E4
410,0.00898,288,3.20613E4
412,0.00898,388,4.31994E4
414,0.00899,344,3.82511E4
416,0.009,324,3.60064E4
418,0.00899,312,3.46913E4
420,0.009,280,3.11139E4
422,0.00899,296,3.29196E4
424,0.009,336,3.73516E4
426,0.00899,272,3.02478E4
428,0.00898,244,2.7157E4
430,0.009,344,3.82392E4
