SIGNAL2,B,C,D
270,0.02028,824,4.06304E4
272,0.02033,444,2.18422E4
274,0.0203,288,1.41861E4
276,0.02033,276,1.35789E4
278,0.02031,232,1.14211E4
280,0.02029,292,1.43939E4
282,0.02026,316,1.55969E4
284,0.02028,344,1.69645E4
286,0.0203,360,1.77375E4
288,0.02028,352,1.73591E4
290,0.0203,468,2.30496E4
292,0.0203,420,2.06909E4
294,0.0203,368,1.81238E4
296,0.02031,396,1.94955E4
298,0.02032,412,2.02732E4
300,0.02033,472,2.32133E4
302,0.02029,452,2.22752E4
304,0.02032,588,2.89421E4
306,0.02029,480,2.36546E4
308,0.02031,528,2.5997E4
310,0.02032,544,2.67664E4
312,0.02028,556,2.74189E4
314,0.02032,500,2.46034E4
316,0.02033,472,2.32192E4
318,0.02033,512,2.51899E4
320,0.02036,532,2.6125E4
322,0.02032,596,2.93353E4
324,0.02032,556,2.7359E4
326,0.02034,568,2.79236E4
328,0.02033,476,2.34178E4
330,0.02034,464,2.28144E4
332,0.02034,552,2.7144E4
334,0.02036,540,2.65288E4
336,0.02031,508,2.50098E4
338,0.0203,600,2.95572E4
340,0.02032,472,2.32251E4
342,0.02031,472,2.32425E4
344,0.02037,480,2.35641E4
346,0.02035,488,2.39747E4
348,0.02036,492,2.41641E4
350,0.02035,472,2.31968E4
352,0.02032,512,2.52023E4
354,0.02034,560,2.75282E4
356,0.02036,528,2.59358E4
358,0.02036,580,2.84906E4
360,0.02034,540,2.65487E4
362,0.02034,588,2.89068E4
364,0.02034,532,2.61559E4
366,0.0203,468,2.30515E4
368,0.02031,456,2.24511E4
370,0.02033,492,2.41983E4
372,0.02037,436,2.14019E4
374,0.02035,372,1.82776E4
376,0.02033,432,2.12465E4
378,0.02034,528,2.59561E4
380,0.02031,492,2.4224E4
382,0.02033,468,2.30161E4
384,0.02037,484,2.37614E4
386,0.02033,540,2.65591E4
388,0.02034,492,2.41888E4
390,0.02033,488,2.40049E4
392,0.02032,488,2.40157E4
394,0.02037,440,2.16004E4
396,0.02035,500,2.45662E4
398,0.02034,480,2.3603E4
400,0.02032,380,1.87048E4
402,0.02033,480,2.36146E4
404,0.02031,408,2.0093E4
406,0.0203,448,2.20672E4
408,0.02032,428,2.10647E4
410,0.02029,408,2.01049E4
412,0.02031,440,2.16642E4
414,0.02032,388,1.90956E4
416,0.02033,448,2.20347E4
418,0.02032,436,2.14558E4
420,0.02032,452,2.22393E4
422,0.02032,360,1.77172E4
424,0.02036,408,2.00436E4
426,0.02035,412,2.02505E4
428,0.02032,412,2.02716E4
430,0.02035,400,1.96514E4
