Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	-0.012	0.319	0.265	0.292	0.280	0.328	0.314	0.285	0.478	0.240	0.327	0.349	0.185
191.00	-0.014	0.297	0.250	0.273	0.263	0.312	0.292	0.266	0.446	0.225	0.297	0.318	0.173
192.00	-0.014	0.277	0.236	0.253	0.249	0.293	0.271	0.244	0.410	0.212	0.264	0.286	0.163
193.00	-0.014	0.255	0.220	0.232	0.233	0.273	0.249	0.221	0.372	0.197	0.231	0.252	0.153
194.00	-0.015	0.238	0.208	0.216	0.221	0.259	0.232	0.205	0.343	0.186	0.204	0.225	0.143
195.00	-0.014	0.222	0.196	0.201	0.209	0.244	0.215	0.188	0.314	0.175	0.177	0.198	0.136
196.00	-0.013	0.208	0.188	0.188	0.198	0.233	0.201	0.175	0.290	0.166	0.155	0.175	0.129
197.00	-0.013	0.195	0.179	0.177	0.188	0.221	0.188	0.163	0.269	0.158	0.135	0.156	0.123
198.00	-0.013	0.184	0.171	0.167	0.179	0.211	0.177	0.153	0.250	0.151	0.118	0.140	0.118
199.00	-0.012	0.174	0.164	0.158	0.171	0.202	0.167	0.144	0.234	0.145	0.104	0.126	0.113
200.00	-0.012	0.166	0.157	0.150	0.165	0.194	0.159	0.138	0.219	0.140	0.093	0.114	0.108
201.00	-0.013	0.157	0.151	0.143	0.159	0.186	0.151	0.130	0.206	0.135	0.084	0.103	0.103
202.00	-0.012	0.151	0.146	0.137	0.154	0.180	0.144	0.125	0.196	0.131	0.076	0.095	0.100
203.00	-0.012	0.145	0.142	0.132	0.149	0.174	0.139	0.120	0.187	0.127	0.070	0.089	0.097
204.00	-0.011	0.140	0.137	0.127	0.145	0.169	0.133	0.116	0.178	0.124	0.065	0.083	0.095
205.00	-0.011	0.135	0.133	0.123	0.141	0.164	0.128	0.112	0.171	0.121	0.060	0.078	0.092
206.00	-0.011	0.131	0.130	0.119	0.137	0.159	0.124	0.109	0.165	0.118	0.057	0.074	0.090
207.00	-0.011	0.127	0.127	0.116	0.135	0.155	0.120	0.106	0.159	0.116	0.054	0.071	0.088
208.00	-0.010	0.123	0.124	0.112	0.132	0.150	0.116	0.103	0.154	0.113	0.052	0.068	0.086
209.00	-0.010	0.119	0.121	0.109	0.129	0.145	0.113	0.100	0.148	0.110	0.050	0.065	0.084
210.00	-0.010	0.116	0.118	0.106	0.126	0.141	0.110	0.098	0.143	0.108	0.047	0.062	0.082
211.00	-0.010	0.112	0.115	0.104	0.123	0.137	0.107	0.096	0.139	0.106	0.045	0.059	0.080
212.00	-0.009	0.109	0.112	0.101	0.121	0.133	0.104	0.093	0.134	0.104	0.043	0.057	0.078
213.00	-0.009	0.105	0.109	0.099	0.118	0.128	0.101	0.091	0.130	0.101	0.041	0.054	0.076
214.00	-0.009	0.102	0.106	0.096	0.115	0.124	0.098	0.089	0.125	0.099	0.039	0.051	0.074
215.00	-0.009	0.098	0.104	0.094	0.113	0.120	0.096	0.087	0.121	0.097	0.037	0.048	0.072
216.00	-0.009	0.095	0.101	0.092	0.111	0.116	0.093	0.085	0.117	0.095	0.035	0.045	0.070
217.00	-0.008	0.092	0.098	0.089	0.109	0.111	0.091	0.083	0.114	0.093	0.033	0.043	0.068
218.00	-0.008	0.089	0.095	0.087	0.107	0.108	0.089	0.081	0.110	0.092	0.032	0.040	0.066
219.00	-0.008	0.086	0.093	0.085	0.105	0.104	0.087	0.079	0.107	0.090	0.030	0.038	0.064
220.00	-0.008	0.083	0.090	0.084	0.103	0.100	0.085	0.078	0.104	0.088	0.028	0.035	0.062
221.00	-0.008	0.080	0.088	0.082	0.101	0.097	0.082	0.076	0.100	0.086	0.026	0.033	0.061
222.00	-0.008	0.078	0.086	0.081	0.099	0.094	0.081	0.074	0.098	0.085	0.025	0.031	0.059
223.00	-0.008	0.076	0.084	0.079	0.097	0.091	0.079	0.073	0.095	0.083	0.024	0.029	0.058
224.00	-0.007	0.074	0.082	0.078	0.096	0.089	0.077	0.072	0.092	0.082	0.022	0.027	0.056
225.00	-0.007	0.071	0.080	0.076	0.094	0.086	0.075	0.070	0.089	0.081	0.021	0.026	0.055
226.00	-0.007	0.069	0.078	0.074	0.092	0.083	0.074	0.069	0.087	0.079	0.020	0.024	0.053
227.00	-0.007	0.067	0.076	0.073	0.091	0.081	0.072	0.068	0.084	0.078	0.019	0.023	0.052
228.00	-0.007	0.065	0.074	0.071	0.089	0.078	0.070	0.066	0.082	0.076	0.018	0.021	0.050
229.00	-0.007	0.063	0.072	0.070	0.088	0.076	0.069	0.065	0.079	0.075	0.017	0.020	0.049
230.00	-0.007	0.061	0.070	0.068	0.086	0.074	0.067	0.064	0.077	0.074	0.016	0.019	0.048
231.00	-0.007	0.060	0.069	0.067	0.084	0.072	0.066	0.063	0.075	0.073	0.016	0.018	0.047
232.00	-0.007	0.058	0.067	0.066	0.083	0.070	0.064	0.061	0.073	0.071	0.015	0.017	0.046
233.00	-0.007	0.057	0.065	0.065	0.082	0.068	0.063	0.060	0.071	0.070	0.015	0.016	0.044
234.00	-0.007	0.055	0.064	0.063	0.080	0.067	0.062	0.059	0.069	0.069	0.014	0.016	0.043
235.00	-0.007	0.054	0.063	0.062	0.079	0.065	0.061	0.058	0.068	0.068	0.014	0.015	0.042
236.00	-0.008	0.053	0.061	0.061	0.078	0.064	0.060	0.057	0.066	0.067	0.014	0.015	0.042
237.00	-0.007	0.052	0.060	0.060	0.077	0.063	0.059	0.056	0.065	0.066	0.013	0.014	0.041
238.00	-0.007	0.051	0.059	0.059	0.075	0.062	0.058	0.055	0.064	0.065	0.013	0.014	0.040
239.00	-0.007	0.050	0.059	0.059	0.074	0.061	0.057	0.055	0.063	0.064	0.013	0.014	0.039
240.00	-0.007	0.049	0.058	0.058	0.073	0.060	0.056	0.054	0.062	0.063	0.013	0.013	0.039
241.00	-0.007	0.048	0.057	0.057	0.072	0.059	0.055	0.053	0.061	0.062	0.012	0.013	0.038
242.00	-0.007	0.048	0.056	0.056	0.071	0.058	0.054	0.052	0.060	0.061	0.012	0.013	0.038
243.00	-0.007	0.047	0.055	0.055	0.070	0.058	0.054	0.052	0.059	0.061	0.012	0.013	0.037
244.00	-0.007	0.047	0.055	0.055	0.070	0.057	0.053	0.051	0.059	0.060	0.012	0.013	0.037
245.00	-0.007	0.046	0.055	0.055	0.069	0.057	0.053	0.051	0.058	0.060	0.012	0.013	0.037
246.00	-0.007	0.046	0.054	0.054	0.069	0.056	0.052	0.050	0.058	0.059	0.012	0.013	0.036
247.00	-0.007	0.045	0.053	0.053	0.068	0.055	0.052	0.050	0.057	0.058	0.012	0.012	0.036
248.00	-0.007	0.045	0.053	0.053	0.067	0.055	0.052	0.049	0.057	0.058	0.012	0.012	0.035
249.00	-0.007	0.044	0.053	0.052	0.067	0.054	0.051	0.049	0.056	0.057	0.012	0.012	0.035
250.00	-0.006	0.044	0.052	0.052	0.066	0.054	0.051	0.049	0.056	0.057	0.012	0.012	0.035
251.00	-0.006	0.044	0.052	0.052	0.066	0.054	0.051	0.048	0.055	0.056	0.012	0.012	0.034
252.00	-0.006	0.043	0.051	0.052	0.065	0.053	0.050	0.048	0.055	0.056	0.012	0.012	0.034
253.00	-0.006	0.043	0.051	0.051	0.065	0.053	0.050	0.048	0.055	0.056	0.012	0.012	0.034
254.00	-0.006	0.043	0.051	0.051	0.064	0.052	0.050	0.047	0.055	0.055	0.012	0.012	0.033
255.00	-0.006	0.042	0.050	0.050	0.064	0.052	0.049	0.047	0.054	0.055	0.012	0.012	0.033
256.00	-0.006	0.042	0.050	0.050	0.063	0.052	0.049	0.047	0.054	0.054	0.012	0.012	0.033
257.00	-0.006	0.042	0.050	0.050	0.063	0.051	0.049	0.046	0.054	0.054	0.012	0.012	0.032
258.00	-0.006	0.041	0.049	0.049	0.062	0.051	0.049	0.046	0.054	0.053	0.012	0.012	0.032
259.00	-0.006	0.041	0.049	0.049	0.062	0.051	0.048	0.046	0.053	0.053	0.012	0.012	0.032
260.00	-0.006	0.041	0.048	0.048	0.061	0.050	0.048	0.045	0.053	0.052	0.012	0.012	0.032
261.00	-0.005	0.040	0.048	0.048	0.061	0.050	0.047	0.044	0.053	0.052	0.012	0.012	0.031
262.00	-0.005	0.040	0.048	0.047	0.060	0.049	0.047	0.044	0.053	0.051	0.011	0.012	0.031
263.00	-0.005	0.040	0.047	0.047	0.059	0.049	0.047	0.044	0.052	0.051	0.012	0.012	0.030
264.00	-0.005	0.039	0.047	0.046	0.059	0.048	0.046	0.043	0.052	0.050	0.011	0.012	0.030
265.00	-0.006	0.038	0.046	0.046	0.058	0.048	0.046	0.043	0.052	0.050	0.011	0.012	0.030
266.00	-0.006	0.038	0.046	0.045	0.057	0.047	0.045	0.042	0.051	0.049	0.011	0.012	0.029
267.00	-0.006	0.038	0.046	0.045	0.057	0.047	0.045	0.041	0.051	0.049	0.011	0.011	0.029
268.00	-0.005	0.037	0.046	0.044	0.056	0.046	0.044	0.041	0.051	0.048	0.011	0.011	0.029
269.00	-0.005	0.037	0.045	0.044	0.056	0.046	0.044	0.040	0.050	0.048	0.011	0.011	0.028
270.00	-0.005	0.036	0.045	0.043	0.055	0.045	0.043	0.040	0.050	0.047	0.011	0.011	0.028
271.00	-0.005	0.035	0.044	0.042	0.054	0.044	0.042	0.039	0.049	0.046	0.011	0.011	0.028
272.00	-0.006	0.035	0.044	0.042	0.054	0.044	0.042	0.039	0.049	0.046	0.011	0.011	0.027
273.00	-0.005	0.034	0.043	0.041	0.053	0.043	0.041	0.038	0.049	0.045	0.011	0.011	0.027
274.00	-0.005	0.034	0.043	0.041	0.052	0.043	0.041	0.037	0.048	0.045	0.011	0.011	0.027
275.00	-0.005	0.033	0.043	0.040	0.052	0.042	0.040	0.037	0.048	0.044	0.010	0.011	0.026
276.00	-0.005	0.033	0.042	0.039	0.051	0.041	0.039	0.036	0.047	0.043	0.010	0.011	0.026
277.00	-0.005	0.032	0.042	0.038	0.050	0.041	0.039	0.036	0.047	0.043	0.010	0.011	0.025
278.00	-0.005	0.031	0.041	0.038	0.049	0.040	0.038	0.035	0.046	0.042	0.010	0.010	0.025
279.00	-0.005	0.031	0.041	0.037	0.049	0.039	0.037	0.034	0.046	0.041	0.010	0.010	0.025
280.00	-0.005	0.030	0.040	0.036	0.048	0.039	0.037	0.034	0.045	0.041	0.010	0.010	0.024
281.00	-0.005	0.030	0.040	0.036	0.047	0.038	0.036	0.033	0.045	0.040	0.010	0.010	0.024
282.00	-0.005	0.029	0.040	0.035	0.047	0.038	0.036	0.033	0.044	0.039	0.010	0.010	0.024
283.00	-0.005	0.029	0.040	0.034	0.046	0.037	0.035	0.032	0.043	0.039	0.010	0.010	0.023
284.00	-0.005	0.028	0.039	0.033	0.045	0.036	0.034	0.031	0.043	0.038	0.010	0.010	0.023
285.00	-0.005	0.028	0.039	0.033	0.045	0.036	0.033	0.031	0.042	0.038	0.010	0.010	0.023
286.00	-0.005	0.027	0.038	0.032	0.044	0.035	0.033	0.030	0.041	0.037	0.010	0.010	0.022
287.00	-0.005	0.026	0.038	0.032	0.044	0.035	0.032	0.030	0.041	0.036	0.010	0.010	0.022
288.00	-0.005	0.026	0.037	0.031	0.043	0.034	0.031	0.029	0.040	0.036	0.010	0.010	0.021
289.00	-0.005	0.025	0.037	0.030	0.042	0.033	0.031	0.028	0.039	0.035	0.010	0.010	0.021
290.00	-0.005	0.025	0.037	0.030	0.042	0.033	0.030	0.028	0.038	0.035	0.010	0.010	0.021
291.00	-0.005	0.024	0.036	0.029	0.041	0.032	0.029	0.027	0.038	0.034	0.009	0.010	0.020
292.00	-0.005	0.023	0.035	0.028	0.040	0.032	0.028	0.027	0.037	0.033	0.009	0.010	0.020
293.00	-0.005	0.023	0.035	0.028	0.039	0.031	0.028	0.026	0.036	0.033	0.009	0.010	0.020
294.00	-0.005	0.022	0.035	0.027	0.039	0.030	0.027	0.026	0.035	0.032	0.009	0.010	0.020
295.00	-0.005	0.022	0.034	0.027	0.038	0.030	0.026	0.025	0.034	0.032	0.010	0.010	0.019
296.00	-0.005	0.021	0.034	0.026	0.038	0.029	0.026	0.025	0.034	0.031	0.009	0.010	0.019
297.00	-0.005	0.021	0.034	0.026	0.037	0.029	0.025	0.024	0.033	0.031	0.009	0.010	0.019
298.00	-0.005	0.020	0.033	0.025	0.037	0.028	0.025	0.024	0.032	0.030	0.010	0.010	0.018
299.00	-0.005	0.020	0.033	0.025	0.037	0.028	0.024	0.023	0.031	0.030	0.009	0.009	0.018
300.00	-0.005	0.020	0.033	0.024	0.036	0.027	0.023	0.023	0.030	0.029	0.009	0.009	0.018
301.00	-0.004	0.019	0.032	0.024	0.035	0.027	0.023	0.022	0.030	0.029	0.009	0.009	0.018
302.00	-0.004	0.019	0.032	0.023	0.035	0.027	0.023	0.022	0.029	0.028	0.009	0.009	0.017
