SIGNAL1,B
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,2.1E-5
238,0.00013
239,0.00025
240,0.00037
241,0.0005
242,0.00064
243,0.00079
244,0.00093
245,0.00109
246,0.00124
247,0.0014
248,0.00156
249,0.00172
250,0.00188
251,0.00205
252,0.00222
253,0.00239
254,0.00257
255,0.00275
256,0.00293
257,0.00311
258,0.0033
259,0.00348
260,0.00366
261,0.00385
262,0.00402
263,0.0042
264,0.00438
265,0.00458
266,0.00477
267,0.00495
268,0.00515
269,0.00536
270,0.0056
271,0.00582
272,0.00607
273,0.00633
274,0.00661
275,0.00689
276,0.00718
277,0.00752
278,0.00786
279,0.0082
280,0.00859
281,0.00899
282,0.00945
283,0.0099
284,0.01039
285,0.01083
286,0.01135
287,0.01188
288,0.01247
289,0.01311
290,0.0139
291,0.01451
292,0.01497
293,0.01556
294,0.01616
295,0.01684
296,0.01744
297,0.0181
298,0.01866
299,0.01924
300,0.01984
301,0.02036
302,0.02098
303,0.02145
304,0.02199
305,0.02247
306,0.02294
307,0.02342
308,0.02392
309,0.0245
310,0.02495
311,0.0256
312,0.02622
313,0.02672
314,0.02721
315,0.02771
316,0.02833
317,0.02884
318,0.02951
319,0.03011
320,0.03079
321,0.0316
322,0.03229
323,0.03289
324,0.03324
325,0.03383
326,0.03434
327,0.03499
328,0.03556
329,0.03616
330,0.03681
331,0.03727
332,0.03786
333,0.03841
334,0.03905
335,0.03961
336,0.04007
337,0.04066
338,0.04098
339,0.04165
340,0.04203
341,0.04263
342,0.043
343,0.04356
344,0.04402
345,0.04431
346,0.04477
347,0.04516
348,0.04557
349,0.04577
350,0.0461
351,0.04638
352,0.04659
353,0.04687
354,0.04705
355,0.04726
356,0.04736
357,0.04752
358,0.04767
359,0.04771
360,0.04787
361,0.04787
362,0.04822
363,0.04823
364,0.04836
365,0.0487
366,0.04896
367,0.04923
368,0.04959
369,0.05006
370,0.05041
371,0.05091
372,0.05127
373,0.0518
374,0.05231
375,0.05299
376,0.0537
377,0.05435
378,0.05507
379,0.05564
380,0.05651
381,0.057
382,0.05736
383,0.05793
384,0.05832
385,0.05881
386,0.0594
387,0.06006
388,0.06092
389,0.06182
390,0.06281
391,0.06339
392,0.06442
393,0.06535
394,0.06668
395,0.06803
396,0.0693
397,0.06959
398,0.06916
399,0.06833
400,0.06772
401,0.06735
402,0.06713
403,0.06741
404,0.06758
405,0.06804
406,0.06828
407,0.06875
408,0.06948
409,0.06976
410,0.07022
411,0.07057
412,0.07105
413,0.0707
414,0.07037
415,0.07023
416,0.07018
417,0.07091
418,0.07301
419,0.07456
420,0.07319
421,0.07174
422,0.07124
423,0.0712
424,0.07109
425,0.07114
426,0.07117
427,0.07097
428,0.07111
429,0.07096
430,0.07096
431,0.07111
432,0.07107
433,0.07145
434,0.0714
435,0.07217
436,0.07315
437,0.07484
438,0.07505
439,0.07368
440,0.07341
441,0.0732
442,0.07314
443,0.07303
444,0.07287
445,0.07273
446,0.07243
447,0.07333
448,0.07837
449,0.08696
450,0.08546
451,0.08175
452,0.08058
453,0.07651
454,0.07585
455,0.07702
456,0.07979
457,0.08237
458,0.08191
459,0.08068
460,0.08251
461,0.08836
462,0.09326
463,0.09196
464,0.08738
465,0.08925
466,0.1029
467,0.11419
468,0.10792
469,0.09746
470,0.08908
471,0.08569
472,0.09423
473,0.09239
474,0.07946
475,0.07455
476,0.07308
477,0.07258
478,0.0741
479,0.07951
480,0.08499
481,0.08536
482,0.0839
483,0.08128
484,0.07751
485,0.07501
486,0.0736
487,0.07353
488,0.07383
489,0.0749
490,0.08096
491,0.08647
492,0.08477
493,0.0794
494,0.07623
495,0.07398
496,0.07323
497,0.07268
498,0.07244
499,0.07219
500,0.07221
501,0.07261
502,0.07291
503,0.07285
504,0.07206
505,0.07181
506,0.07136
507,0.07136
508,0.07111
509,0.07097
510,0.07087
511,0.07094
512,0.07125
513,0.0709
514,0.07052
515,0.07028
516,0.07008
517,0.06975
518,0.06974
519,0.06947
520,0.06909
521,0.06898
522,0.06868
523,0.06849
524,0.06808
525,0.068
526,0.06757
527,0.06744
528,0.06719
529,0.067
530,0.06642
531,0.06635
532,0.06597
533,0.06593
534,0.06556
535,0.0654
536,0.06495
537,0.06459
538,0.06444
539,0.0644
540,0.06446
541,0.0642
542,0.06399
543,0.06374
544,0.06355
545,0.06328
546,0.06314
547,0.06278
548,0.0625
549,0.0622
550,0.06199
551,0.06196
552,0.06163
553,0.06142
554,0.06108
555,0.06085
556,0.0606
557,0.0603
558,0.06006
559,0.05988
560,0.05952
561,0.05932
562,0.05902
563,0.05871
564,0.05848
565,0.05829
566,0.05827
567,0.05801
568,0.05781
569,0.05781
570,0.05754
571,0.05723
572,0.05706
573,0.05681
574,0.05661
575,0.05644
576,0.05615
577,0.05608
578,0.05571
579,0.05561
580,0.05533
581,0.05529
582,0.05517
583,0.05511
584,0.05498
585,0.05466
586,0.05441
587,0.05411
588,0.05388
589,0.05343
590,0.05309
591,0.0526
592,0.0521
593,0.05167
594,0.05118
595,0.05081
596,0.05026
597,0.04994
598,0.04948
599,0.04916
600,0.04877
