SIGNAL2,B,C,D
270,0.01284,664,5.17182E4
272,0.01284,340,2.64707E4
274,0.01283,256,1.99483E4
276,0.01285,248,1.9296E4
278,0.01284,200,1.5571E4
280,0.01287,280,2.17641E4
282,0.01285,288,2.24055E4
284,0.01286,224,1.74167E4
286,0.01285,252,1.96115E4
288,0.01285,292,2.27202E4
290,0.01285,336,2.61462E4
292,0.01284,360,2.8033E4
294,0.01285,256,1.99278E4
296,0.01285,400,3.11371E4
298,0.01286,376,2.92279E4
300,0.01285,372,2.8953E4
302,0.01286,324,2.51913E4
304,0.01287,372,2.89116E4
306,0.01286,384,2.98647E4
308,0.01286,344,2.67471E4
310,0.01286,392,3.04878E4
312,0.01285,352,2.73998E4
314,0.01285,348,2.708E4
316,0.01286,336,2.6134E4
318,0.01285,440,3.42455E4
320,0.01287,404,3.13908E4
322,0.01285,408,3.1745E4
324,0.01286,424,3.29705E4
326,0.01285,376,2.92643E4
328,0.01285,508,3.95478E4
330,0.01286,396,3.08037E4
332,0.01285,496,3.86136E4
334,0.01287,448,3.48215E4
336,0.01286,480,3.73204E4
338,0.01287,520,4.0394E4
340,0.01288,480,3.7281E4
342,0.01287,496,3.855E4
344,0.01286,448,3.48486E4
346,0.01285,464,3.61202E4
348,0.01287,520,4.04028E4
350,0.01285,508,3.95183E4
352,0.01286,552,4.29398E4
354,0.01287,528,4.10333E4
356,0.01287,492,3.82237E4
358,0.01288,508,3.94557E4
360,0.01287,536,4.16447E4
362,0.01286,560,4.35486E4
364,0.01285,376,2.92534E4
366,0.01286,548,4.26048E4
368,0.01286,456,3.54489E4
370,0.01287,540,4.19593E4
372,0.01286,424,3.29592E4
374,0.01287,508,3.94827E4
376,0.01287,476,3.69829E4
378,0.01285,464,3.61011E4
380,0.01285,452,3.51871E4
382,0.01286,476,3.70267E4
384,0.01285,404,3.14309E4
386,0.01285,424,3.2991E4
388,0.01286,488,3.79554E4
390,0.01286,472,3.6695E4
392,0.01287,496,3.8538E4
394,0.01287,384,2.98405E4
396,0.01287,416,3.23303E4
398,0.01286,396,3.07912E4
400,0.01286,376,2.92343E4
402,0.01286,424,3.29725E4
404,0.01285,464,3.61067E4
406,0.01286,352,2.7364E4
408,0.01287,388,3.0142E4
410,0.01287,396,3.07644E4
412,0.01287,464,3.60517E4
414,0.01287,400,3.10694E4
416,0.01286,316,2.45708E4
418,0.01288,368,2.8567E4
420,0.01287,364,2.82723E4
422,0.01287,388,3.01383E4
424,0.01288,404,3.13704E4
426,0.01287,312,2.425E4
428,0.01289,400,3.10424E4
430,0.01288,404,3.13743E4
