SIGNAL2,B,C,D
270,0.01284,516,4.01957E4
272,0.01284,344,2.67996E4
274,0.01283,252,1.96409E4
276,0.01284,300,2.33667E4
278,0.01283,208,1.6211E4
280,0.01283,236,1.83978E4
282,0.01283,204,1.58968E4
284,0.01282,320,2.49696E4
286,0.01283,288,2.24481E4
288,0.01283,260,2.0265E4
290,0.01284,348,2.71062E4
292,0.01285,308,2.39614E4
294,0.01284,260,2.02461E4
296,0.01282,344,2.68314E4
298,0.01283,356,2.7757E4
300,0.01284,288,2.24376E4
302,0.01284,356,2.77181E4
304,0.01285,416,3.23675E4
306,0.01284,396,3.08527E4
308,0.01284,308,2.39868E4
310,0.01285,392,3.05172E4
312,0.01285,428,3.33178E4
314,0.01285,372,2.89539E4
316,0.01285,452,3.51839E4
318,0.01284,384,2.98991E4
320,0.01284,392,3.05344E4
322,0.01285,396,3.08123E4
324,0.01284,352,2.74118E4
326,0.01286,448,3.48291E4
328,0.01285,476,3.70555E4
330,0.01284,496,3.86329E4
332,0.01287,484,3.75998E4
334,0.01286,416,3.23453E4
336,0.01287,560,4.35147E4
338,0.01287,480,3.72844E4
340,0.01285,480,3.73564E4
342,0.01285,440,3.4237E4
344,0.01285,476,3.70382E4
346,0.01284,492,3.83154E4
348,0.01286,480,3.73285E4
350,0.01288,568,4.40884E4
352,0.01288,512,3.97392E4
354,0.01285,496,3.85896E4
356,0.01286,416,3.23514E4
358,0.01287,428,3.32453E4
360,0.01288,488,3.78882E4
362,0.01286,452,3.51423E4
364,0.01286,520,4.0443E4
366,0.01286,536,4.16706E4
368,0.01286,460,3.57743E4
370,0.01287,444,3.44956E4
372,0.01285,448,3.48519E4
374,0.01286,496,3.85596E4
376,0.01285,424,3.2993E4
378,0.01285,480,3.73576E4
380,0.01287,472,3.66653E4
382,0.01286,436,3.3911E4
384,0.01285,468,3.64078E4
386,0.01285,448,3.48736E4
388,0.01285,436,3.393E4
390,0.01288,408,3.16741E4
392,0.01286,432,3.36019E4
394,0.01284,452,3.5197E4
396,0.01285,408,3.17411E4
398,0.01286,416,3.23413E4
400,0.01286,352,2.73751E4
402,0.01287,412,3.20184E4
404,0.01285,360,2.80217E4
406,0.01285,348,2.70834E4
408,0.01287,412,3.20184E4
410,0.01286,324,2.51991E4
412,0.01286,284,2.20909E4
414,0.01287,364,2.8289E4
416,0.01287,336,2.61088E4
418,0.01287,360,2.79799E4
420,0.01286,412,3.20453E4
422,0.01286,388,3.01711E4
424,0.01286,328,2.55039E4
426,0.01287,356,2.76715E4
428,0.01286,352,2.73708E4
430,0.01287,300,2.33173E4
