SIGNAL1,B
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,6.5E-5
238,0.00017
239,0.00029
240,0.00042
241,0.00055
242,0.00069
243,0.00084
244,0.001
245,0.00116
246,0.00132
247,0.00148
248,0.00165
249,0.00181
250,0.00198
251,0.00215
252,0.00233
253,0.00252
254,0.00269
255,0.00289
256,0.00307
257,0.00326
258,0.00346
259,0.00365
260,0.00383
261,0.00402
262,0.00421
263,0.0044
264,0.00459
265,0.0048
266,0.00499
267,0.00519
268,0.0054
269,0.00563
270,0.00586
271,0.0061
272,0.00634
273,0.00661
274,0.00693
275,0.00722
276,0.00752
277,0.00786
278,0.00823
279,0.0086
280,0.009
281,0.00942
282,0.0099
283,0.01036
284,0.01084
285,0.01136
286,0.01188
287,0.01245
288,0.013
289,0.01376
290,0.01451
291,0.01518
292,0.01567
293,0.01629
294,0.01692
295,0.01758
296,0.01832
297,0.0189
298,0.01953
299,0.02017
300,0.02078
301,0.02132
302,0.02195
303,0.02249
304,0.02299
305,0.02353
306,0.02402
307,0.02457
308,0.02506
309,0.02563
310,0.02619
311,0.0268
312,0.02747
313,0.02797
314,0.02851
315,0.02902
316,0.02959
317,0.03018
318,0.03085
319,0.03158
320,0.03228
321,0.03315
322,0.03389
323,0.03438
324,0.0349
325,0.03549
326,0.03606
327,0.03671
328,0.03732
329,0.03785
330,0.03861
331,0.03907
332,0.03977
333,0.04025
334,0.04095
335,0.04147
336,0.04204
337,0.04252
338,0.04297
339,0.04372
340,0.04407
341,0.04468
342,0.04507
343,0.04561
344,0.04608
345,0.04643
346,0.04697
347,0.04727
348,0.04767
349,0.048
350,0.04833
351,0.0486
352,0.04882
353,0.04924
354,0.0493
355,0.04955
356,0.04965
357,0.04978
358,0.04989
359,0.04999
360,0.05028
361,0.05019
362,0.05044
363,0.05054
364,0.05082
365,0.051
366,0.05133
367,0.05177
368,0.05201
369,0.05257
370,0.0529
371,0.05344
372,0.0538
373,0.05437
374,0.05505
375,0.05546
376,0.05637
377,0.05697
378,0.05779
379,0.05841
380,0.05923
381,0.05985
382,0.0602
383,0.0608
384,0.06121
385,0.06178
386,0.06232
387,0.06298
388,0.06403
389,0.06484
390,0.06587
391,0.06663
392,0.06766
393,0.06852
394,0.06986
395,0.07145
396,0.07255
397,0.07303
398,0.07258
399,0.07191
400,0.07094
401,0.07073
402,0.07047
403,0.07061
404,0.07095
405,0.0713
406,0.07188
407,0.07213
408,0.07289
409,0.07319
410,0.07366
411,0.07413
412,0.07454
413,0.07437
414,0.07379
415,0.07374
416,0.07372
417,0.07453
418,0.07647
419,0.07812
420,0.0769
421,0.07529
422,0.07473
423,0.07454
424,0.07456
425,0.07454
426,0.07459
427,0.07448
428,0.07444
429,0.07444
430,0.07444
431,0.07464
432,0.07455
433,0.07479
434,0.07505
435,0.07557
436,0.07681
437,0.07838
438,0.07882
439,0.07721
440,0.0769
441,0.07682
442,0.07683
443,0.07655
444,0.0766
445,0.07637
446,0.07605
447,0.07679
448,0.08189
449,0.09098
450,0.08981
451,0.08599
452,0.08446
453,0.08031
454,0.07968
455,0.08097
456,0.08373
457,0.08627
458,0.08619
459,0.08464
460,0.08684
461,0.0926
462,0.09817
463,0.0966
464,0.09183
465,0.09361
466,0.10767
467,0.11988
468,0.11345
469,0.10277
470,0.09353
471,0.09007
472,0.09848
473,0.09716
474,0.08367
475,0.07822
476,0.07656
477,0.07613
478,0.07771
479,0.08331
480,0.08915
481,0.08959
482,0.08804
483,0.08522
484,0.08148
485,0.07889
486,0.07739
487,0.07725
488,0.07747
489,0.07873
490,0.08505
491,0.09095
492,0.08915
493,0.0835
494,0.07989
495,0.07775
496,0.07681
497,0.07637
498,0.076
499,0.07587
500,0.07571
501,0.07605
502,0.07639
503,0.07627
504,0.07565
505,0.0752
506,0.07492
507,0.07477
508,0.07466
509,0.07454
510,0.07439
511,0.07458
512,0.07464
513,0.07437
514,0.07395
515,0.07384
516,0.07344
517,0.07333
518,0.07306
519,0.07294
520,0.07265
521,0.07235
522,0.07214
523,0.07179
524,0.07148
525,0.07115
526,0.07102
527,0.07069
528,0.07057
529,0.0701
530,0.06976
531,0.06949
532,0.06944
533,0.06919
534,0.06885
535,0.06857
536,0.06811
537,0.06776
538,0.06755
539,0.06766
540,0.06751
541,0.06754
542,0.06706
543,0.06702
544,0.06664
545,0.06647
546,0.06606
547,0.06584
548,0.0655
549,0.06536
550,0.06511
551,0.06493
552,0.06481
553,0.06434
554,0.06408
555,0.06374
556,0.06364
557,0.06321
558,0.06308
559,0.06277
560,0.06249
561,0.06224
562,0.06195
563,0.0617
564,0.06139
565,0.0613
566,0.06099
567,0.06092
568,0.06074
569,0.06069
570,0.06047
571,0.06013
572,0.0598
573,0.05961
574,0.05936
575,0.05923
576,0.05899
577,0.05884
578,0.05856
579,0.05841
580,0.05812
581,0.05806
582,0.05801
583,0.05778
584,0.05767
585,0.05738
586,0.05718
587,0.05692
588,0.05654
589,0.05621
590,0.05574
591,0.05515
592,0.05465
593,0.05429
594,0.05369
595,0.0532
596,0.05277
597,0.05232
598,0.0519
599,0.05152
600,0.05124
