Wavelength nm.,milliQ,CC4_16SEP24_01R2,CS1_16SEP24_01R2,CC3_16SEP24_15R1,CC2_16SEP24_01R2,CC4_16SEP24_15R2,CC4_16SEP24_15R1,CC2_16SEP24_01R1,CC4_16SEP24_9R1,CC3_16SEP24_01R1,CC4_16SEP24_6R1,CC3_16SEP24_BOTR2,CC4_16SEP24_BOTR1
190,0.004,0.423,0.35,0.395,0.493,0.39,0.406,0.468,0.442,0.408,0.456,0.405,0.446
191,0.004,0.386,0.334,0.364,0.464,0.359,0.372,0.435,0.409,0.38,0.422,0.369,0.417
192,0.002,0.351,0.321,0.332,0.434,0.33,0.339,0.401,0.378,0.352,0.39,0.341,0.39
193,0.003,0.315,0.306,0.299,0.402,0.296,0.305,0.368,0.345,0.323,0.36,0.31,0.361
194,0.003,0.285,0.293,0.273,0.377,0.268,0.278,0.34,0.318,0.301,0.335,0.284,0.335
195,0.004,0.258,0.281,0.248,0.352,0.243,0.252,0.314,0.294,0.278,0.311,0.261,0.312
196,0.004,0.235,0.27,0.227,0.33,0.222,0.232,0.291,0.274,0.258,0.291,0.24,0.293
197,0.004,0.215,0.26,0.21,0.311,0.203,0.213,0.272,0.256,0.241,0.274,0.223,0.277
198,0.004,0.196,0.251,0.193,0.293,0.187,0.196,0.254,0.241,0.225,0.258,0.206,0.262
199,0.004,0.181,0.243,0.179,0.276,0.173,0.181,0.24,0.228,0.209,0.244,0.192,0.25
200,0.004,0.168,0.236,0.168,0.262,0.161,0.169,0.228,0.217,0.195,0.231,0.181,0.239
201,0.003,0.156,0.228,0.157,0.249,0.15,0.157,0.216,0.206,0.183,0.219,0.17,0.229
202,0.004,0.145,0.222,0.147,0.238,0.14,0.148,0.207,0.197,0.172,0.208,0.16,0.22
203,0.004,0.137,0.216,0.139,0.23,0.133,0.14,0.199,0.19,0.163,0.2,0.152,0.213
204,0.004,0.129,0.211,0.132,0.221,0.126,0.132,0.191,0.183,0.155,0.191,0.145,0.206
205,0.003,0.123,0.205,0.126,0.214,0.12,0.126,0.184,0.176,0.148,0.184,0.139,0.2
206,0.003,0.117,0.2,0.12,0.208,0.114,0.12,0.179,0.171,0.142,0.177,0.133,0.193
207,0.003,0.112,0.195,0.116,0.202,0.11,0.115,0.174,0.165,0.137,0.171,0.128,0.188
208,0.003,0.108,0.191,0.112,0.197,0.106,0.111,0.169,0.16,0.133,0.165,0.123,0.182
209,0.003,0.103,0.185,0.107,0.192,0.102,0.107,0.164,0.155,0.128,0.159,0.119,0.176
210,0.003,0.1,0.18,0.104,0.187,0.098,0.103,0.161,0.15,0.123,0.154,0.115,0.17
