"Reservoir","Site_code","Site_number","Depth_m","Date","Rep","Dilution","SampleName","Max Fl Ex","Max Fl Em","Max Fl","B:","T:","A:","C:","M:","N:","FI:","BIX:","HIX:","T/B","T/M:","T/N:","T/C:","A/T:","A/C:","A/M:","M/C:","C/N:","A254","a254","A350","a350"
"CCR","C50",50,"0.1",2024-06-19,2,1,"20241118_C50_19JUN24_01R2.csv",300,300,23.841004682678,0.142213999072542,0.11934339118741,0.202716531573983,0.0770559210298306,0.100269830847881,0.108017536713231,1.42472071853692,0.769480817146862,1.72887522096797,0.839181739953282,1.1902223248832,1.10485199735898,1.5487893674155,1.69859872052444,2.63077163785384,2.02171011818623,1.30126055866705,0.713364916239494,0.069,15.4301,0.021,4.606
"CCR","C50",50,"1.5",2024-06-19,2,1,"20241118_C50_19JUN24_15R2.csv",300,300,3.12719000735027,0.111616265466904,0.0940492870596674,0.168427438674533,0.0682801064261384,0.0893483386992969,0.0927642080750501,1.51118963869026,0.733206040242959,2.41591182970063,0.842612738083007,1.0526137187194,1.01385317690178,1.3774039318671,1.79084226941219,2.46671318324216,1.88506514084585,1.30855593782574,0.736060899381548,0.051,11.2847,0.009,1.8424
"CCR","C50",50,"20",2024-06-19,2,1,"20241118_C50_19JUN24_20R2.csv",300,300,10.3428842508494,0.0457091424069965,0.0688507937791693,0.25960809032161,0.126461466064059,0.114339686350287,0.0956001640295,1.469982641367,0.662804256647192,4.9440380517355,1.50628058531745,0.602160072122645,0.720195351944412,0.544440895096796,3.77058964859973,2.05286320332635,2.27049853474571,0.904146455904347,1.3228164130036,0.055,12.2059,0.014,2.9939
"CCR","C50",50,"6",2024-06-19,1,1,"20241118_C50_19JUN24_6R1.csv",300,300,3.54221464175457,0.046503185916527,0.0669082979039606,0.239804300205439,0.121721922895654,0.108913986245552,0.090007721961609,1.5478599825304,0.675247703705139,4.99286178678949,1.43878954925928,0.61432236768116,0.743361752144988,0.54968157183417,3.58407413905001,1.97009950632321,2.20177691104602,0.8947770759333,1.35234977891754,0.053,11.7453,0.011,2.303
"CCR","C50",50,"9",2024-06-19,2,1,"20241118_C50_19JUN24_9R2.csv",300,300,3.80378698770127,0.0843951691344328,0.0957705877051764,0.254592470714727,0.123941628712424,0.123803264132568,0.105714355502388,1.5027807276532,0.677721930742007,4.13572169052533,1.13478755582116,0.773570780836812,0.905937393744156,0.772707190474222,2.65835761077789,2.05413204069995,2.05642777271293,0.998883631098818,1.17242003816241,0.052,11.515,0.011,2.303
"CCR","C50",50,"0.1",2024-05-22,2,1,"20241118_C50_22MAY24_01R2.csv",305,306,4.47773248078743,0.0764316970818015,0.121023478631221,0.188459540394606,0.0777628432671525,0.086699186112369,0.0942772802920315,1.47305889858519,0.707169378694615,2.37513107705639,1.58342001096345,1.39590097736749,1.28369717769055,1.55631498986538,1.55721470351115,2.42351658551318,2.17371752660224,1.11491790255811,0.824831210937309,0.055,12.2059,0.011,2.303
"CCR","C50",50,"1.5",2024-05-22,2,1,"20241118_C50_22MAY24_15R2.csv",300,300,4.83003746902746,0.0595417543701139,0.0697566742137929,0.190048785356161,0.0820131773213179,0.086747602984017,0.0778634605678528,1.46894789289348,0.712686985551232,3.14322312085057,1.17155893291593,0.804133737581722,0.895884587007338,0.850554465662201,2.7244530720271,2.31729572689975,2.19082463167515,1.05772762155221,1.05329478966388,0.057,12.6665,0.011,2.303
"CCR","C50",50,"20",2024-05-22,1,1,"20241118_C50_22MAY24_20R1.csv",300,300,1.34607467868725,0.0314706444610659,0.0561002568060107,0.240330354115834,0.117868053241154,0.104452030812568,0.0819695643310532,1.481236698191,0.656928973571676,6.47440505827629,1.78262179776507,0.537091106506857,0.684403501029196,0.475958118110524,4.28394392109244,2.03897788677418,2.30086818079286,0.886177619298276,1.43794900220668,0.049,10.8241,0.01,2.0727
"CCR","C50",50,"6",2024-05-22,1,1,"20241118_C50_22MAY24_6R1.csv",300,300,6.12159542695434,0.0603583784397901,0.0727718197703749,0.225347401994649,0.109532485333069,0.0995239270631521,0.0829123365439462,1.4919188298993,0.666203795057052,4.1355486362197,1.20566227343181,0.731199239396955,0.877695923233372,0.664385725833651,3.09663002389817,2.05735678606586,2.26425351816812,0.908624749639499,1.32106378735345,0.058,12.8968,0.013,2.7636
"CCR","C50",50,"9",2024-05-22,2,1,"20241118_C50_22MAY24_9R2.csv",240,482,1.3201773049909,0.0369910993054521,0.0557789884023411,0.235049055787221,0.115542239959329,0.100167678645047,0.0785735702131231,1.48606823001871,0.655319589954271,6.19219366270429,1.50790296719081,0.556856155167567,0.70989504805555,0.482758413044227,4.21393543554037,2.0343127835323,2.34655588475938,0.866935578540847,1.47049751775225,0.051,11.2847,0.011,2.303
