Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	-0.003	0.502	0.463	0.176	0.457	0.424	0.393	0.452	0.179	0.455	0.449	0.441	0.417	0.450	0.186	0.191
191.00	-0.004	0.464	0.417	0.165	0.415	0.389	0.362	0.413	0.163	0.418	0.413	0.402	0.381	0.408	0.171	0.178
192.00	-0.005	0.425	0.376	0.157	0.381	0.356	0.333	0.378	0.152	0.385	0.378	0.366	0.350	0.371	0.159	0.166
193.00	-0.007	0.382	0.333	0.148	0.341	0.322	0.302	0.339	0.139	0.352	0.340	0.328	0.314	0.330	0.147	0.154
194.00	-0.008	0.352	0.300	0.140	0.311	0.294	0.278	0.309	0.128	0.325	0.310	0.298	0.285	0.298	0.137	0.144
195.00	-0.008	0.323	0.272	0.133	0.283	0.268	0.256	0.280	0.119	0.300	0.282	0.271	0.260	0.271	0.129	0.136
196.00	-0.008	0.298	0.250	0.128	0.260	0.246	0.238	0.255	0.112	0.279	0.260	0.249	0.238	0.247	0.121	0.129
197.00	-0.008	0.276	0.230	0.123	0.240	0.227	0.223	0.234	0.105	0.260	0.239	0.228	0.218	0.227	0.115	0.122
198.00	-0.008	0.256	0.213	0.118	0.222	0.210	0.208	0.217	0.099	0.244	0.222	0.211	0.201	0.210	0.108	0.116
199.00	-0.008	0.241	0.199	0.115	0.207	0.197	0.197	0.202	0.095	0.231	0.208	0.195	0.188	0.195	0.104	0.112
200.00	-0.007	0.228	0.187	0.112	0.195	0.185	0.187	0.189	0.091	0.220	0.196	0.183	0.177	0.183	0.100	0.108
201.00	-0.007	0.215	0.176	0.109	0.183	0.174	0.177	0.178	0.088	0.210	0.185	0.171	0.166	0.172	0.097	0.103
202.00	-0.007	0.204	0.166	0.106	0.172	0.165	0.169	0.167	0.084	0.200	0.175	0.161	0.157	0.162	0.093	0.100
203.00	-0.007	0.196	0.158	0.104	0.164	0.157	0.162	0.159	0.082	0.193	0.167	0.153	0.149	0.154	0.091	0.097
204.00	-0.006	0.187	0.152	0.102	0.156	0.150	0.156	0.151	0.080	0.186	0.160	0.146	0.143	0.147	0.089	0.094
205.00	-0.006	0.180	0.145	0.099	0.150	0.143	0.150	0.144	0.078	0.180	0.154	0.140	0.136	0.141	0.086	0.091
206.00	-0.006	0.174	0.140	0.097	0.144	0.138	0.146	0.139	0.076	0.174	0.148	0.135	0.131	0.136	0.084	0.089
207.00	-0.006	0.169	0.135	0.095	0.139	0.133	0.142	0.134	0.075	0.169	0.143	0.130	0.127	0.131	0.083	0.088
