"Reservoir","Site_code","Site_number","Depth_m","Date","Rep","Dilution","SampleName","Max Fl Ex","Max Fl Em","Max Fl","B:","T:","A:","C:","M:","N:","FI:","BIX:","HIX:","T/B","T/M:","T/N:","T/C:","A/T:","A/C:","A/M:","M/C:","C/N:","A254","a254","A350","a350"
"CCR","CC2",92,"0.1",2024-10-28,1,1,"20241219_CC2_28oct24_01R1.csv",300,300,5.07614201781322,0.0782914084956861,0.0979365924069941,0.256321207412833,0.114518597952801,0.114036020302183,0.104577692268031,1.44873267467936,0.701071090363489,4.17699276829945,1.25092387898974,0.858821556096689,0.936496018251999,0.855202509965748,2.6172159058551,2.23824961180956,2.24772143690748,0.995786032493887,1.09505761189769,0.06,13.818,0.011,2.5333
"CCR","CC2",92,"BOT",2024-10-28,2,1,"20241219_CC2_28oct24_BOTR2.csv",305,304,7.85691649542279,0.070839006600635,0.0829461479279913,0.257284630551472,0.112847032668673,0.112381503908055,0.0997420090028392,1.44383425131509,0.705837924519077,3.59709981424849,1.17091065937178,0.738076507641805,0.831606950343563,0.735031714759636,3.10182735399395,2.27994147889452,2.28938590074368,0.995874692053407,1.13138920898877,0.061,14.0483,0.015,3.4545
"CCR","CC3",90,"0.1",2024-10-28,2,1,"20241219_CC3_28oct24_01R2.csv",320,320,6.31689448454045,0.0801168749858553,0.0901593253271926,0.261082806068156,0.114919627507975,0.115191845047503,0.105356682909307,1.45889662348177,0.699574403463791,3.8668379369929,1.12534750441914,0.782688438491569,0.855753264411362,0.784542443116915,2.89579369766437,2.27187306232817,2.26650424741865,1.00236876454815,1.09076732803841,0.061,14.0483,0.012,2.7636
"CCR","CC3",90,"1.5",2024-10-28,2,1,"20241219_CC3_28oct24_15R2.csv",300,300,2.59217450064599,0.0632443265046319,0.0821100530916906,0.264856574115566,0.11859377544126,0.116628335406488,0.104046610067917,1.4419908482069,0.692894610739698,4.47421464137226,1.29829911439846,0.704031767284599,0.789166057770579,0.692363935511606,3.22562906907155,2.23330923676302,2.27094533410302,0.983427123156679,1.13981392919815,0.06,13.818,0.01,2.303
"CCR","CC3",90,"BOT",2024-10-28,1,1,"20241219_CC3_28oct24_BOTR1.csv",300,300,5.25888769623126,0.0718412886458627,0.0893376156035602,0.255375352927119,0.114835955196977,0.112724591350626,0.102020973315346,1.46009599862304,0.695925005761434,4.07382380305829,1.24354138528813,0.792529957599747,0.875678918759361,0.777958570992162,2.85854229712554,2.22382748059244,2.26548040553799,0.981614087306283,1.12561124899308,0.059,13.5877,0.011,2.5333
"CCR","CC4",88,"0.1",2024-10-28,1,1,"20241219_CC4_28oct24_01R1.csv",300,300,2.0075135206618,0.0693205935626991,0.085327405598941,0.252392530860149,0.114850071003961,0.11181688115856,0.100470446239993,1.45475943452215,0.686335676427591,4.28543446676856,1.23090991022407,0.763099495486231,0.849278656482924,0.742946041330685,2.95793044554119,2.19758271504634,2.25719523067584,0.973590004613088,1.14312293119132,0.056,12.8968,0.01,2.303
"CCR","CC4",88,"1.5",2024-10-28,1,1,"20241219_CC4_28oct24_15R1.csv",300,300,6.6204816952015,0.0659374556443831,0.0801588031015324,0.240984053414596,0.110237078357495,0.10853113909059,0.0943731266158383,1.4649737520009,0.708473625106509,4.00520946518123,1.21567934822733,0.738578842654775,0.849381661665532,0.727149197855013,3.00633298016384,2.18605261501121,2.22041393312429,0.984524814224736,1.16809818971277,0.059,13.5877,0.012,2.7636
"CCR","CC4",88,"9",2024-10-28,2,1,"20241219_CC4_28oct24_9R2.csv",300,300,2.34252724645599,0.0573298395005573,0.0783848341245609,0.262212664876947,0.121862840270175,0.115150606555682,0.0994419346411881,1.46464541166277,0.67687435181143,4.94458702079649,1.36726065880228,0.680715772753285,0.788247276236061,0.643221788945496,3.34519639934769,2.15170321236245,2.27712795199347,0.944919766356907,1.22546731124939,0.057,13.1271,0.011,2.5333
"CCR","CC4",88,"BOT",2024-10-28,1,1,"20241219_CC4_28oct24_BOTR1.csv",300,300,7.51062929359279,0.065635156045893,0.0808941363803656,0.27200861995357,0.129564852866196,0.119530533768415,0.100479289898127,1.48677658207887,0.692099937173305,4.90382528834171,1.23248181696717,0.676765457578349,0.805082683828496,0.624352473613402,3.36252579141931,2.0994012954615,2.27564130584889,0.922553695112491,1.2894682376593,0.058,13.3574,0.014,3.2242
"CCR","CC4",88,"6",2024-09-30,1,1,"20241219_CC4_30sep24_6R1.csv",300,300,9.41728069308607,0.0746667641428601,0.0822540973097288,0.244001392482384,0.120937507007002,0.0996772887343321,0.0879649813863446,1.42850099740404,0.614171421085214,4.31544509627657,1.10161593654108,0.825203999367991,0.935077754958722,0.680137199330283,2.96643450554924,2.01758245660097,2.44791361784244,0.824204923693037,1.37483695330806,0.065,14.9695,0.014,3.2242
"CCR","CP1",98,"0.1",2024-10-28,1,1,"20241219_CP1_28oct24_01R1.csv",300,300,8.25610720209947,0.0309411930011087,0.0353628960260647,0.148822901933681,0.0858827866849873,0.0603400927511258,0.0486701984503511,1.47980382558273,0.572741442070837,5.50194626124306,1.14290667540833,0.586059689565276,0.726582121133915,0.411757668690626,4.2084477986189,1.73286065436552,2.46640161041026,0.702586572702274,1.76458673725354,0.034,7.8302,0.011,2.5333
"CCR","CP2",96,"0.1",2024-10-28,2,1,"20241219_CP2_28oct24_01R2.csv",300,300,8.14944605408949,0.0691714275574159,0.0894066115737751,0.303019593522587,0.144898314335053,0.129054215375773,0.108625604784145,1.42948208152495,0.621832272569282,4.69116637464473,1.2925367414105,0.692783349334586,0.823071243206782,0.617030032295872,3.38923026148403,2.09125685770164,2.34800229221704,0.89065366956138,1.3339241205882,0.081,18.6543,0.019,4.3757
"CCR","CS1",101,"0.1",2024-10-28,1,1,"20241219_CS1_28oct24_01R1.csv",320,320,3.18121453457304,0.0460453931119772,0.0752392955304503,0.170053783182271,0.104387376403467,0.0687143305887915,0.0621877968889816,1.48804727451955,0.538515146240276,6.70977286592795,1.63402439300446,1.09495784774076,1.20987234303811,0.720770059778526,2.26017245354787,1.62906463445348,2.47479356525973,0.658262837483378,1.67858296362903,0.046,10.5938,0.014,3.2242
"CCR","CS1",101,"0.1",2024-10-28,2,1,"20241219_CS1_28oct24_01R2.csv",325,324,2.27507485007545,0.0382924794983382,0.0387762503230434,0.166945852678797,0.104130372519378,0.0668330831728505,0.0502414285249127,1.50044688528116,0.527029518256016,7.32681048049869,1.01263357272872,0.580195443366817,0.771798323843753,0.372381749770723,4.30536349667588,1.60323879229116,2.49795228280917,0.641821224258207,2.07259975634937,0.044,10.1332,0.013,2.9939
"CCR","CS2",100,"0.1",2024-10-28,1,1,"20241219_CS2_28oct24_01R1.csv",315,316,3.15748589976644,0.0164029892227075,0.0226107130691927,0.146287388443348,0.0893028790794958,0.0580488994743473,0.0412037186609523,1.44461788291273,0.561019239660125,10.5452297138604,1.37845076663779,0.38951148555684,0.548754185398811,0.2531913114365,6.46982640466416,1.63810383216341,2.52007169417561,0.650022710048052,2.16734998640124,0.038,8.7514,0.012,2.7636
