Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.002	0.475	0.429	0.439	0.474	0.182	0.428	0.183
191.00	0.000	0.434	0.388	0.401	0.437	0.168	0.389	0.173
192.00	0.001	0.399	0.352	0.368	0.404	0.159	0.356	0.162
193.00	0.001	0.358	0.315	0.328	0.369	0.149	0.320	0.150
194.00	0.000	0.326	0.286	0.298	0.342	0.142	0.293	0.141
195.00	0.001	0.296	0.261	0.271	0.317	0.135	0.268	0.134
196.00	0.001	0.272	0.239	0.249	0.295	0.130	0.247	0.128
197.00	0.001	0.250	0.220	0.230	0.276	0.126	0.229	0.122
198.00	0.000	0.231	0.202	0.213	0.260	0.122	0.213	0.117
199.00	0.001	0.216	0.189	0.199	0.247	0.119	0.199	0.113
200.00	0.001	0.202	0.178	0.186	0.236	0.116	0.188	0.110
201.00	0.000	0.190	0.167	0.175	0.225	0.113	0.177	0.106
202.00	0.000	0.179	0.159	0.165	0.216	0.110	0.169	0.103
203.00	0.001	0.170	0.152	0.158	0.209	0.108	0.162	0.101
204.00	0.001	0.162	0.145	0.151	0.201	0.106	0.155	0.099
205.00	0.001	0.154	0.139	0.145	0.194	0.104	0.149	0.096
206.00	0.001	0.148	0.134	0.139	0.188	0.102	0.144	0.094
207.00	0.001	0.143	0.130	0.135	0.183	0.100	0.140	0.093
208.00	0.001	0.139	0.126	0.131	0.178	0.099	0.136	0.091
209.00	0.001	0.134	0.122	0.127	0.172	0.096	0.131	0.089
210.00	0.000	0.130	0.119	0.123	0.166	0.095	0.128	0.087
211.00	0.000	0.126	0.116	0.120	0.161	0.093	0.125	0.085
212.00	0.001	0.122	0.113	0.117	0.155	0.091	0.122	0.083
213.00	0.000	0.118	0.110	0.114	0.150	0.089	0.119	0.081
214.00	0.000	0.115	0.108	0.111	0.145	0.088	0.116	0.080
215.00	0.001	0.113	0.105	0.109	0.139	0.086	0.113	0.079
216.00	0.001	0.110	0.103	0.106	0.134	0.085	0.111	0.077
217.00	0.001	0.107	0.100	0.104	0.129	0.083	0.108	0.075
218.00	0.001	0.104	0.098	0.101	0.124	0.082	0.106	0.074
219.00	0.001	0.102	0.096	0.099	0.119	0.081	0.104	0.073
220.00	0.001	0.100	0.094	0.097	0.115	0.079	0.102	0.071
221.00	0.001	0.097	0.093	0.095	0.110	0.078	0.100	0.070
222.00	0.001	0.095	0.091	0.093	0.106	0.077	0.098	0.069
223.00	0.001	0.093	0.089	0.092	0.102	0.076	0.097	0.068
224.00	0.001	0.091	0.087	0.090	0.099	0.075	0.095	0.067
225.00	0.001	0.090	0.086	0.088	0.095	0.074	0.093	0.066
226.00	0.001	0.088	0.084	0.086	0.092	0.072	0.091	0.065
227.00	0.001	0.086	0.083	0.085	0.089	0.071	0.090	0.064
228.00	0.001	0.084	0.081	0.083	0.086	0.070	0.088	0.062
229.00	0.001	0.083	0.080	0.082	0.084	0.069	0.087	0.061
230.00	0.001	0.081	0.078	0.080	0.082	0.068	0.085	0.060
231.00	0.000	0.079	0.077	0.079	0.079	0.067	0.084	0.059
232.00	0.000	0.078	0.076	0.077	0.077	0.066	0.082	0.058
233.00	0.001	0.077	0.074	0.076	0.076	0.065	0.081	0.057
234.00	0.001	0.075	0.073	0.074	0.074	0.064	0.080	0.057
235.00	0.001	0.074	0.072	0.073	0.073	0.063	0.078	0.056
236.00	0.001	0.073	0.071	0.072	0.071	0.063	0.077	0.055
237.00	0.000	0.071	0.070	0.071	0.070	0.062	0.076	0.054
238.00	0.000	0.070	0.069	0.070	0.068	0.061	0.075	0.053
239.00	0.000	0.069	0.068	0.069	0.067	0.060	0.073	0.053
240.00	0.000	0.068	0.067	0.068	0.066	0.059	0.072	0.052
241.00	0.000	0.067	0.066	0.067	0.065	0.059	0.071	0.051
242.00	0.000	0.066	0.065	0.066	0.064	0.058	0.070	0.050
243.00	0.000	0.066	0.065	0.065	0.063	0.057	0.070	0.050
244.00	0.000	0.065	0.064	0.065	0.063	0.056	0.069	0.049
245.00	0.000	0.064	0.063	0.064	0.062	0.056	0.068	0.048
246.00	0.000	0.063	0.062	0.063	0.061	0.055	0.067	0.048
247.00	0.000	0.063	0.062	0.063	0.061	0.054	0.067	0.047
248.00	0.000	0.062	0.061	0.062	0.060	0.054	0.066	0.047
249.00	0.000	0.062	0.061	0.062	0.059	0.053	0.065	0.046
250.00	0.000	0.061	0.060	0.061	0.059	0.053	0.065	0.046
