SIGNAL2,B,C,D
270,0.01197,468,3.91082E4
272,0.01195,244,2.04246E4
274,0.01195,260,2.17602E4
276,0.01195,236,1.9741E4
278,0.01195,196,1.64044E4
280,0.01196,240,2.00622E4
282,0.01195,208,1.74024E4
284,0.01196,260,2.17428E4
286,0.01196,268,2.24103E4
288,0.01196,220,1.83959E4
290,0.01195,272,2.27539E4
292,0.01197,260,2.1729E4
294,0.01196,332,2.77546E4
296,0.01196,256,2.1399E4
298,0.01197,260,2.17297E4
300,0.01198,224,1.87053E4
302,0.01197,280,2.33973E4
304,0.01196,276,2.30762E4
306,0.01198,236,1.97008E4
308,0.01197,280,2.33942E4
310,0.01196,368,3.07631E4
312,0.01197,384,3.20856E4
314,0.01196,300,2.50819E4
316,0.01196,260,2.17435E4
318,0.01196,312,2.60774E4
320,0.01196,280,2.34176E4
322,0.01197,328,2.7411E4
324,0.01198,336,2.80402E4
326,0.01197,356,2.9738E4
328,0.01199,336,2.80121E4
330,0.01196,308,2.57551E4
332,0.01198,312,2.60373E4
334,0.01198,344,2.87222E4
336,0.01198,388,3.23787E4
338,0.01197,296,2.47343E4
340,0.01198,336,2.8057E4
342,0.01199,328,2.73671E4
344,0.01198,348,2.90436E4
346,0.01199,328,2.73543E4
348,0.01199,312,2.60278E4
350,0.01198,292,2.43797E4
352,0.01198,368,3.07158E4
354,0.01198,336,2.80561E4
356,0.01198,284,2.36991E4
358,0.01199,392,3.27026E4
360,0.012,340,2.83428E4
362,0.01198,300,2.50384E4
364,0.01199,408,3.40227E4
366,0.01199,296,2.46914E4
368,0.01199,296,2.46815E4
370,0.01199,280,2.33575E4
372,0.01198,348,2.90552E4
374,0.01198,336,2.80458E4
376,0.01199,352,2.93696E4
378,0.012,368,3.06769E4
380,0.01198,324,2.70415E4
382,0.01197,348,2.90678E4
384,0.01196,316,2.64143E4
386,0.01198,336,2.8058E4
388,0.01198,360,3.0038E4
390,0.01198,300,2.50392E4
392,0.01199,220,1.83517E4
394,0.01196,336,2.80918E4
396,0.01197,308,2.57215E4
398,0.01198,284,2.37101E4
400,0.01198,356,2.97182E4
402,0.01198,244,2.03618E4
404,0.01198,372,3.10404E4
406,0.01198,380,3.17269E4
408,0.01199,308,2.56906E4
410,0.01198,312,2.60356E4
412,0.01198,284,2.37054E4
414,0.01198,316,2.63694E4
416,0.01198,364,3.03728E4
418,0.01199,304,2.53638E4
420,0.01198,308,2.57129E4
422,0.01198,288,2.40489E4
424,0.01198,368,3.07302E4
426,0.01199,280,2.3359E4
428,0.012,356,2.96627E4
430,0.01198,324,2.70379E4
