Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.001	0.354	0.163	0.178	0.418	0.144	0.432	0.430	0.232	0.429	0.434	0.461	0.411
191.00	-0.000	0.326	0.154	0.165	0.383	0.136	0.394	0.391	0.219	0.390	0.398	0.420	0.375
192.00	0.001	0.303	0.146	0.155	0.350	0.128	0.364	0.356	0.202	0.354	0.364	0.386	0.343
193.00	0.002	0.274	0.137	0.143	0.314	0.121	0.329	0.320	0.181	0.315	0.326	0.351	0.307
194.00	0.001	0.250	0.130	0.135	0.285	0.115	0.301	0.292	0.161	0.286	0.295	0.323	0.280
195.00	0.001	0.229	0.123	0.127	0.259	0.109	0.276	0.266	0.145	0.259	0.266	0.298	0.254
196.00	0.001	0.212	0.118	0.122	0.238	0.104	0.255	0.246	0.133	0.238	0.243	0.277	0.232
197.00	0.001	0.197	0.114	0.116	0.219	0.101	0.238	0.226	0.126	0.218	0.224	0.260	0.214
198.00	0.001	0.184	0.109	0.111	0.203	0.097	0.222	0.211	0.120	0.201	0.206	0.245	0.197
199.00	0.002	0.174	0.105	0.108	0.188	0.094	0.209	0.197	0.116	0.187	0.192	0.232	0.184
200.00	0.002	0.165	0.103	0.105	0.177	0.093	0.198	0.186	0.113	0.175	0.180	0.221	0.174
201.00	0.001	0.156	0.100	0.102	0.167	0.090	0.187	0.175	0.110	0.164	0.170	0.211	0.164
202.00	0.001	0.149	0.097	0.099	0.158	0.088	0.179	0.166	0.108	0.155	0.161	0.203	0.155
203.00	0.002	0.144	0.095	0.097	0.151	0.087	0.171	0.159	0.106	0.148	0.153	0.196	0.148
204.00	0.002	0.138	0.093	0.095	0.144	0.085	0.164	0.153	0.104	0.141	0.146	0.189	0.141
205.00	0.001	0.133	0.091	0.093	0.138	0.083	0.157	0.146	0.102	0.136	0.139	0.183	0.136
206.00	0.001	0.129	0.089	0.091	0.133	0.082	0.152	0.141	0.100	0.131	0.135	0.177	0.131
207.00	0.001	0.126	0.088	0.089	0.129	0.080	0.147	0.137	0.098	0.127	0.130	0.173	0.127
208.00	0.001	0.122	0.087	0.088	0.125	0.079	0.143	0.133	0.097	0.123	0.126	0.168	0.123
209.00	0.001	0.119	0.084	0.086	0.122	0.077	0.138	0.128	0.094	0.119	0.122	0.163	0.119
210.00	0.001	0.116	0.083	0.084	0.118	0.076	0.134	0.125	0.091	0.116	0.119	0.157	0.116
211.00	0.001	0.113	0.081	0.082	0.115	0.075	0.130	0.121	0.089	0.113	0.116	0.152	0.113
212.00	0.001	0.111	0.079	0.081	0.112	0.073	0.126	0.118	0.087	0.110	0.113	0.147	0.110
213.00	0.001	0.108	0.078	0.079	0.110	0.072	0.123	0.115	0.084	0.107	0.110	0.142	0.107
214.00	0.001	0.106	0.077	0.077	0.107	0.070	0.120	0.113	0.082	0.105	0.107	0.137	0.104
215.00	0.001	0.103	0.075	0.076	0.104	0.069	0.117	0.110	0.080	0.103	0.105	0.133	0.102
216.00	0.001	0.101	0.074	0.075	0.102	0.068	0.114	0.107	0.078	0.100	0.102	0.128	0.100
217.00	0.001	0.099	0.072	0.073	0.100	0.067	0.112	0.105	0.076	0.098	0.100	0.123	0.098
218.00	0.001	0.097	0.071	0.072	0.097	0.065	0.109	0.102	0.073	0.096	0.098	0.119	0.095
219.00	0.001	0.095	0.070	0.071	0.096	0.064	0.107	0.100	0.070	0.094	0.097	0.115	0.094
220.00	0.001	0.094	0.069	0.070	0.094	0.064	0.105	0.099	0.067	0.092	0.095	0.111	0.092
221.00	0.001	0.092	0.068	0.069	0.092	0.063	0.103	0.096	0.064	0.091	0.093	0.107	0.090
222.00	0.001	0.090	0.067	0.068	0.090	0.062	0.101	0.095	0.063	0.089	0.091	0.103	0.089
223.00	0.001	0.089	0.066	0.066	0.089	0.061	0.099	0.093	0.062	0.087	0.090	0.100	0.087
224.00	0.001	0.087	0.065	0.065	0.087	0.060	0.097	0.091	0.060	0.086	0.088	0.096	0.085
225.00	0.001	0.086	0.064	0.064	0.086	0.059	0.095	0.090	0.059	0.084	0.087	0.093	0.084
226.00	0.001	0.084	0.063	0.063	0.084	0.058	0.093	0.088	0.058	0.083	0.085	0.090	0.082
227.00	0.001	0.083	0.062	0.062	0.083	0.057	0.092	0.086	0.057	0.081	0.084	0.087	0.081
228.00	0.001	0.082	0.061	0.061	0.081	0.057	0.090	0.085	0.056	0.080	0.082	0.085	0.079
229.00	0.000	0.080	0.060	0.060	0.080	0.055	0.088	0.083	0.055	0.078	0.081	0.082	0.078
230.00	0.000	0.079	0.059	0.059	0.078	0.055	0.086	0.081	0.054	0.077	0.079	0.080	0.076
231.00	0.000	0.077	0.058	0.058	0.077	0.054	0.085	0.080	0.053	0.076	0.078	0.078	0.075
232.00	0.000	0.076	0.057	0.057	0.076	0.053	0.083	0.078	0.052	0.074	0.076	0.076	0.074
233.00	0.000	0.075	0.056	0.057	0.074	0.052	0.082	0.077	0.052	0.073	0.075	0.074	0.073
234.00	0.000	0.074	0.056	0.056	0.073	0.052	0.081	0.076	0.051	0.072	0.074	0.073	0.072
235.00	0.000	0.072	0.055	0.055	0.072	0.051	0.079	0.074	0.050	0.071	0.073	0.071	0.070
236.00	0.000	0.071	0.054	0.054	0.071	0.050	0.078	0.073	0.049	0.070	0.072	0.070	0.069
237.00	0.000	0.070	0.053	0.053	0.070	0.049	0.076	0.072	0.049	0.069	0.071	0.068	0.068
238.00	0.000	0.069	0.053	0.053	0.069	0.049	0.075	0.071	0.048	0.068	0.070	0.067	0.067
239.00	0.000	0.068	0.052	0.052	0.068	0.048	0.074	0.070	0.047	0.067	0.069	0.066	0.066
240.00	0.000	0.067	0.051	0.051	0.067	0.047	0.073	0.069	0.046	0.066	0.068	0.065	0.065
241.00	0.000	0.067	0.050	0.051	0.066	0.047	0.072	0.068	0.046	0.065	0.067	0.064	0.064
242.00	0.000	0.066	0.050	0.050	0.065	0.046	0.071	0.067	0.045	0.064	0.066	0.063	0.064
243.00	0.000	0.065	0.049	0.049	0.065	0.045	0.070	0.066	0.045	0.063	0.065	0.062	0.063
244.00	0.000	0.064	0.048	0.049	0.064	0.045	0.069	0.065	0.044	0.062	0.065	0.061	0.062
245.00	0.000	0.063	0.048	0.048	0.063	0.044	0.068	0.065	0.044	0.062	0.064	0.060	0.061
246.00	0.000	0.063	0.047	0.048	0.063	0.044	0.067	0.064	0.043	0.061	0.063	0.060	0.061
247.00	0.000	0.062	0.047	0.047	0.062	0.043	0.066	0.063	0.043	0.060	0.063	0.059	0.060
248.00	0.000	0.061	0.046	0.046	0.061	0.043	0.065	0.063	0.042	0.060	0.062	0.058	0.059
249.00	0.000	0.061	0.046	0.046	0.061	0.042	0.065	0.062	0.041	0.059	0.061	0.058	0.059
250.00	0.000	0.060	0.045	0.046	0.060	0.042	0.064	0.061	0.041	0.059	0.061	0.057	0.058
251.00	0.000	0.060	0.045	0.045	0.060	0.042	0.064	0.061	0.041	0.058	0.061	0.057	0.058
252.00	0.000	0.059	0.044	0.045	0.060	0.041	0.063	0.060	0.040	0.058	0.060	0.056	0.057
253.00	0.000	0.059	0.044	0.044	0.059	0.041	0.063	0.060	0.040	0.057	0.060	0.056	0.057
254.00	0.000	0.058	0.044	0.044	0.058	0.040	0.062	0.059	0.039	0.057	0.059	0.055	0.056
255.00	0.000	0.058	0.043	0.044	0.058	0.040	0.062	0.059	0.039	0.056	0.058	0.055	0.056
256.00	-0.000	0.057	0.043	0.043	0.058	0.039	0.061	0.059	0.039	0.056	0.058	0.054	0.055
257.00	-0.000	0.057	0.042	0.043	0.057	0.039	0.061	0.058	0.038	0.055	0.057	0.054	0.055
258.00	-0.000	0.056	0.042	0.043	0.057	0.039	0.060	0.058	0.038	0.055	0.057	0.053	0.054
259.00	0.000	0.056	0.042	0.042	0.056	0.038	0.060	0.057	0.038	0.055	0.057	0.053	0.054
260.00	0.000	0.056	0.041	0.042	0.056	0.038	0.059	0.057	0.038	0.054	0.056	0.052	0.054
261.00	0.001	0.055	0.041	0.042	0.055	0.038	0.059	0.056	0.037	0.054	0.056	0.052	0.053
262.00	0.001	0.055	0.041	0.041	0.055	0.038	0.058	0.056	0.037	0.053	0.055	0.052	0.053
263.00	0.000	0.054	0.040	0.041	0.054	0.037	0.058	0.055	0.036	0.053	0.054	0.051	0.052
264.00	0.000	0.053	0.040	0.040	0.053	0.037	0.057	0.055	0.036	0.052	0.054	0.050	0.052
265.00	0.000	0.053	0.040	0.040	0.053	0.036	0.057	0.054	0.036	0.051	0.053	0.050	0.051
266.00	0.000	0.052	0.039	0.040	0.052	0.036	0.056	0.053	0.035	0.051	0.053	0.049	0.050
267.00	0.000	0.052	0.039	0.039	0.052	0.036	0.055	0.053	0.035	0.050	0.052	0.049	0.050
268.00	0.001	0.051	0.039	0.039	0.051	0.035	0.055	0.052	0.034	0.049	0.052	0.048	0.049
269.00	0.000	0.050	0.038	0.038	0.050	0.035	0.054	0.051	0.034	0.049	0.051	0.047	0.048
270.00	0.000	0.050	0.038	0.038	0.050	0.035	0.053	0.051	0.034	0.048	0.050	0.047	0.048
271.00	0.000	0.049	0.037	0.038	0.049	0.034	0.053	0.050	0.033	0.047	0.049	0.046	0.047
272.00	0.000	0.049	0.037	0.037	0.048	0.034	0.052	0.050	0.033	0.047	0.049	0.045	0.046
273.00	0.000	0.048	0.036	0.037	0.048	0.033	0.051	0.049	0.032	0.046	0.048	0.044	0.045
274.00	0.000	0.047	0.036	0.037	0.047	0.033	0.050	0.048	0.032	0.045	0.047	0.044	0.045
275.00	0.000	0.047	0.035	0.036	0.046	0.033	0.050	0.047	0.032	0.044	0.046	0.043	0.044
276.00	0.000	0.046	0.035	0.035	0.045	0.032	0.049	0.046	0.031	0.044	0.046	0.042	0.043
277.00	0.000	0.045	0.035	0.035	0.044	0.032	0.048	0.046	0.031	0.043	0.045	0.042	0.043
278.00	0.000	0.044	0.034	0.035	0.044	0.031	0.048	0.045	0.030	0.042	0.044	0.041	0.042
279.00	0.000	0.044	0.034	0.035	0.043	0.031	0.047	0.044	0.030	0.041	0.043	0.041	0.041
280.00	0.000	0.043	0.033	0.034	0.042	0.031	0.046	0.043	0.029	0.040	0.043	0.040	0.040
281.00	0.000	0.042	0.033	0.033	0.041	0.030	0.045	0.042	0.029	0.040	0.042	0.039	0.039
282.00	0.000	0.042	0.033	0.033	0.040	0.030	0.044	0.042	0.029	0.039	0.041	0.038	0.039
283.00	0.000	0.041	0.032	0.032	0.040	0.029	0.044	0.041	0.028	0.038	0.040	0.037	0.038
284.00	-0.000	0.040	0.032	0.032	0.039	0.029	0.043	0.040	0.028	0.037	0.039	0.036	0.037
285.00	0.000	0.040	0.031	0.032	0.038	0.028	0.042	0.039	0.027	0.037	0.039	0.036	0.036
286.00	0.000	0.039	0.031	0.031	0.037	0.028	0.041	0.039	0.027	0.036	0.038	0.035	0.035
287.00	0.000	0.038	0.031	0.031	0.036	0.028	0.040	0.038	0.027	0.035	0.037	0.034	0.034
288.00	0.000	0.037	0.030	0.031	0.036	0.027	0.040	0.037	0.026	0.034	0.036	0.034	0.034
289.00	0.000	0.037	0.030	0.030	0.035	0.027	0.039	0.036	0.026	0.034	0.036	0.033	0.033
290.00	0.000	0.036	0.029	0.030	0.034	0.027	0.038	0.035	0.025	0.033	0.035	0.032	0.033
291.00	0.000	0.035	0.029	0.029	0.034	0.026	0.037	0.035	0.025	0.032	0.034	0.032	0.032
292.00	0.000	0.035	0.028	0.029	0.033	0.026	0.037	0.034	0.025	0.032	0.033	0.031	0.031
293.00	0.000	0.034	0.028	0.028	0.032	0.025	0.036	0.033	0.024	0.031	0.032	0.030	0.030
294.00	0.000	0.033	0.028	0.028	0.031	0.025	0.035	0.033	0.024	0.030	0.032	0.030	0.030
295.00	0.000	0.033	0.027	0.027	0.031	0.025	0.034	0.032	0.023	0.029	0.031	0.029	0.029
296.00	0.000	0.032	0.027	0.027	0.030	0.024	0.033	0.031	0.023	0.029	0.030	0.029	0.028
297.00	0.000	0.032	0.027	0.027	0.029	0.024	0.033	0.030	0.023	0.028	0.030	0.028	0.028
298.00	0.000	0.031	0.026	0.026	0.028	0.024	0.032	0.030	0.023	0.028	0.029	0.027	0.027
299.00	0.000	0.031	0.026	0.026	0.028	0.023	0.032	0.029	0.022	0.027	0.029	0.027	0.026
300.00	0.000	0.030	0.025	0.025	0.027	0.023	0.031	0.029	0.022	0.027	0.028	0.026	0.026
301.00	0.000	0.030	0.025	0.025	0.027	0.023	0.030	0.028	0.021	0.026	0.028	0.026	0.025
302.00	0.000	0.029	0.025	0.025	0.026	0.022	0.030	0.028	0.021	0.026	0.027	0.025	0.025
303.00	0.000	0.028	0.024	0.025	0.026	0.022	0.029	0.027	0.021	0.025	0.026	0.025	0.024
304.00	0.000	0.028	0.024	0.024	0.025	0.022	0.029	0.026	0.020	0.024	0.026	0.024	0.024
305.00	0.000	0.028	0.024	0.024	0.025	0.021	0.028	0.026	0.020	0.024	0.025	0.024	0.023
306.00	0.000	0.027	0.024	0.023	0.024	0.021	0.028	0.025	0.020	0.023	0.025	0.023	0.023
307.00	0.000	0.026	0.023	0.023	0.023	0.021	0.027	0.024	0.020	0.023	0.024	0.022	0.022
308.00	0.000	0.026	0.023	0.023	0.023	0.020	0.026	0.024	0.019	0.022	0.024	0.022	0.022
309.00	0.000	0.025	0.022	0.023	0.022	0.020	0.026	0.024	0.019	0.022	0.023	0.022	0.021
310.00	0.000	0.025	0.022	0.022	0.022	0.020	0.025	0.023	0.019	0.022	0.023	0.021	0.021
311.00	0.000	0.025	0.022	0.022	0.022	0.020	0.025	0.023	0.018	0.021	0.022	0.021	0.020
312.00	0.001	0.025	0.022	0.022	0.021	0.019	0.025	0.022	0.018	0.021	0.022	0.021	0.020
313.00	0.000	0.024	0.021	0.021	0.021	0.019	0.024	0.022	0.018	0.020	0.021	0.020	0.020
314.00	0.000	0.024	0.021	0.021	0.020	0.019	0.024	0.021	0.018	0.020	0.021	0.020	0.019
315.00	0.000	0.023	0.021	0.021	0.020	0.018	0.023	0.021	0.017	0.019	0.021	0.020	0.019
316.00	0.000	0.023	0.020	0.020	0.019	0.018	0.023	0.020	0.017	0.019	0.020	0.019	0.019
317.00	0.000	0.023	0.020	0.020	0.019	0.018	0.022	0.020	0.017	0.019	0.020	0.019	0.018
318.00	-0.000	0.022	0.020	0.019	0.018	0.018	0.022	0.019	0.016	0.018	0.019	0.018	0.018
319.00	0.000	0.021	0.020	0.019	0.018	0.017	0.021	0.019	0.016	0.018	0.019	0.018	0.017
320.00	0.000	0.021	0.020	0.019	0.018	0.017	0.021	0.019	0.016	0.018	0.019	0.018	0.017
321.00	0.000	0.021	0.019	0.019	0.018	0.017	0.021	0.019	0.016	0.017	0.018	0.017	0.017
322.00	0.000	0.021	0.019	0.019	0.017	0.017	0.020	0.018	0.016	0.017	0.018	0.017	0.016
323.00	0.000	0.020	0.019	0.019	0.017	0.016	0.020	0.018	0.015	0.017	0.018	0.017	0.016
324.00	0.000	0.020	0.019	0.018	0.017	0.017	0.020	0.018	0.016	0.016	0.017	0.017	0.016
325.00	0.000	0.020	0.019	0.018	0.017	0.016	0.020	0.018	0.015	0.016	0.017	0.016	0.016
326.00	0.001	0.019	0.018	0.018	0.016	0.016	0.019	0.017	0.015	0.016	0.017	0.016	0.015
327.00	0.000	0.019	0.018	0.018	0.016	0.016	0.019	0.017	0.015	0.016	0.017	0.016	0.015
328.00	0.001	0.019	0.018	0.017	0.016	0.016	0.018	0.017	0.015	0.015	0.016	0.015	0.015
329.00	0.001	0.019	0.018	0.017	0.016	0.015	0.018	0.017	0.015	0.015	0.016	0.015	0.015
330.00	0.000	0.019	0.017	0.017	0.015	0.015	0.018	0.016	0.014	0.015	0.016	0.015	0.014
331.00	0.000	0.018	0.017	0.017	0.015	0.015	0.018	0.016	0.014	0.014	0.015	0.015	0.014
332.00	0.000	0.018	0.017	0.016	0.014	0.015	0.017	0.015	0.014	0.014	0.015	0.014	0.014
333.00	0.000	0.018	0.017	0.016	0.014	0.015	0.017	0.015	0.014	0.014	0.015	0.014	0.013
334.00	0.001	0.018	0.017	0.016	0.014	0.014	0.017	0.015	0.014	0.014	0.015	0.014	0.014
335.00	0.000	0.017	0.016	0.016	0.014	0.014	0.016	0.015	0.013	0.013	0.014	0.014	0.013
336.00	0.001	0.017	0.016	0.016	0.013	0.014	0.016	0.014	0.013	0.013	0.014	0.013	0.013
337.00	0.001	0.017	0.016	0.015	0.013	0.014	0.016	0.014	0.013	0.013	0.014	0.013	0.012
338.00	0.001	0.016	0.016	0.015	0.013	0.014	0.016	0.014	0.013	0.013	0.014	0.013	0.012
339.00	0.001	0.016	0.016	0.015	0.013	0.014	0.015	0.014	0.013	0.013	0.013	0.013	0.012
340.00	0.002	0.017	0.017	0.016	0.014	0.015	0.016	0.015	0.014	0.014	0.015	0.014	0.013
341.00	0.001	0.016	0.015	0.015	0.012	0.013	0.015	0.013	0.012	0.012	0.013	0.013	0.012
342.00	0.001	0.015	0.015	0.014	0.012	0.013	0.014	0.012	0.011	0.012	0.012	0.012	0.011
343.00	0.001	0.015	0.015	0.014	0.011	0.012	0.014	0.012	0.011	0.012	0.012	0.012	0.011
344.00	0.001	0.014	0.014	0.014	0.011	0.012	0.014	0.012	0.011	0.011	0.012	0.011	0.011
345.00	0.001	0.014	0.014	0.014	0.011	0.012	0.013	0.012	0.011	0.011	0.012	0.011	0.010
346.00	0.001	0.014	0.014	0.013	0.011	0.012	0.013	0.011	0.011	0.010	0.011	0.011	0.010
347.00	0.001	0.013	0.013	0.013	0.010	0.011	0.013	0.011	0.011	0.010	0.011	0.010	0.010
