SIGNAL1,B
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0.00011
239,0.00022
240,0.00034
241,0.00046
242,0.00059
243,0.00073
244,0.00088
245,0.00103
246,0.00118
247,0.00134
248,0.00149
249,0.00166
250,0.00181
251,0.00198
252,0.00215
253,0.00233
254,0.0025
255,0.00269
256,0.00288
257,0.00307
258,0.00325
259,0.00344
260,0.00363
261,0.00381
262,0.004
263,0.00417
264,0.00438
265,0.00458
266,0.00478
267,0.00498
268,0.00517
269,0.00541
270,0.00563
271,0.00589
272,0.00613
273,0.00639
274,0.00672
275,0.00699
276,0.00731
277,0.00765
278,0.00801
279,0.00839
280,0.00877
281,0.0092
282,0.00966
283,0.01014
284,0.01061
285,0.01113
286,0.01164
287,0.01222
288,0.01278
289,0.0135
290,0.01429
291,0.01493
292,0.01542
293,0.01606
294,0.01665
295,0.01739
296,0.01803
297,0.0187
298,0.01931
299,0.01995
300,0.02056
301,0.0211
302,0.02175
303,0.02227
304,0.02282
305,0.02337
306,0.02387
307,0.02441
308,0.02491
309,0.02552
310,0.02603
311,0.0267
312,0.02737
313,0.02788
314,0.02841
315,0.02896
316,0.02958
317,0.03017
318,0.03083
319,0.03155
320,0.03225
321,0.03315
322,0.03392
323,0.03447
324,0.0349
325,0.03562
326,0.03618
327,0.03686
328,0.03741
329,0.03811
330,0.03873
331,0.03933
332,0.03997
333,0.04048
334,0.04127
335,0.04172
336,0.0424
337,0.04285
338,0.04337
339,0.04399
340,0.04449
341,0.04512
342,0.04551
343,0.04604
344,0.04661
345,0.04686
346,0.04737
347,0.04787
348,0.04821
349,0.04856
350,0.04889
351,0.04923
352,0.0495
353,0.04972
354,0.05001
355,0.05017
356,0.05026
357,0.05052
358,0.05066
359,0.0507
360,0.05096
361,0.05094
362,0.0512
363,0.0513
364,0.0515
365,0.05179
366,0.0521
367,0.05258
368,0.05291
369,0.05344
370,0.05378
371,0.05431
372,0.05477
373,0.05525
374,0.05583
375,0.05653
376,0.0572
377,0.05812
378,0.05882
379,0.05968
380,0.06029
381,0.06098
382,0.0614
383,0.06201
384,0.06237
385,0.06284
386,0.06365
387,0.06417
388,0.06516
389,0.06603
390,0.06734
391,0.06805
392,0.06901
393,0.07016
394,0.07134
395,0.07313
396,0.0744
397,0.0749
398,0.07452
399,0.07353
400,0.07276
401,0.07215
402,0.07211
403,0.07214
404,0.07261
405,0.07294
406,0.07323
407,0.07402
408,0.07457
409,0.07508
410,0.0755
411,0.076
412,0.07641
413,0.07616
414,0.07572
415,0.07544
416,0.07561
417,0.07627
418,0.07842
419,0.07971
420,0.07861
421,0.07693
422,0.07628
423,0.0761
424,0.07617
425,0.07599
426,0.07611
427,0.0759
428,0.07605
429,0.07592
430,0.07601
431,0.07601
432,0.07625
433,0.07627
434,0.07664
435,0.07739
436,0.07847
437,0.08024
438,0.08045
439,0.07931
440,0.07854
441,0.07861
442,0.07852
443,0.07822
444,0.07821
445,0.07786
446,0.07791
447,0.07841
448,0.0841
449,0.09347
450,0.09266
451,0.0886
452,0.08708
453,0.08304
454,0.08182
455,0.08319
456,0.08617
457,0.08921
458,0.08884
459,0.08761
460,0.0894
461,0.09584
462,0.1017
463,0.10024
464,0.09532
465,0.09671
466,0.11168
467,0.12481
468,0.11915
469,0.10706
470,0.09724
471,0.09314
472,0.10108
473,0.10056
474,0.08714
475,0.08087
476,0.0789
477,0.07853
478,0.08003
479,0.08608
480,0.0922
481,0.09314
482,0.09128
483,0.08843
484,0.08438
485,0.08166
486,0.08006
487,0.07972
488,0.08009
489,0.08142
490,0.08805
491,0.09419
492,0.09263
493,0.0866
494,0.08256
495,0.08046
496,0.07946
497,0.079
498,0.07857
499,0.07851
500,0.0784
501,0.07876
502,0.07916
503,0.07904
504,0.07843
505,0.07805
506,0.07764
507,0.07754
508,0.0773
509,0.07714
510,0.07709
511,0.07724
512,0.07736
513,0.07721
514,0.07672
515,0.07638
516,0.07622
517,0.076
518,0.07584
519,0.07558
520,0.07544
521,0.07498
522,0.07495
523,0.07448
524,0.07417
525,0.07378
526,0.07358
527,0.07355
528,0.07301
529,0.07277
530,0.0722
531,0.07222
532,0.07172
533,0.0718
534,0.07133
535,0.07126
536,0.07071
537,0.07035
538,0.07023
539,0.0701
540,0.07021
541,0.06998
542,0.06975
543,0.06948
544,0.06918
545,0.06904
546,0.06861
547,0.06837
548,0.06812
549,0.06783
550,0.06753
551,0.06737
552,0.06725
553,0.06687
554,0.06659
555,0.0662
556,0.06609
557,0.06565
558,0.0655
559,0.06507
560,0.06493
561,0.06448
562,0.0643
563,0.06401
564,0.06367
565,0.06355
566,0.06326
567,0.06332
568,0.06309
569,0.06312
570,0.06268
571,0.06244
572,0.06211
573,0.06192
574,0.06177
575,0.06142
576,0.06129
577,0.061
578,0.06097
579,0.06057
580,0.06052
581,0.06026
582,0.06032
583,0.06016
584,0.06007
585,0.05984
586,0.05951
587,0.0592
588,0.05881
589,0.05852
590,0.05791
591,0.05744
592,0.0569
593,0.05638
594,0.05584
595,0.05543
596,0.05489
597,0.05437
598,0.05396
599,0.05356
600,0.05324
