Wavelenght,MilliQ,C14oct22_6m_r1,C14oct22_1_5m_r1,C29sep22_1_5m_r2,C14oct22_6m_r2,C29sep22_SMB_r1,C14oct22_SMB_r1,C14oct22_9m_r1,C29sep22_CCS_r2,C29sep22_0_1m_r2
190,0.039,0.503,0.474,0.341,0.45,0.156,0.2,0.418,0.38,0.346
191,0.033,0.473,0.449,0.316,0.424,0.146,0.191,0.389,0.343,0.321
192,0.032,0.445,0.423,0.293,0.396,0.138,0.185,0.36,0.305,0.298
193,0.031,0.418,0.395,0.267,0.367,0.129,0.176,0.329,0.268,0.272
194,0.028,0.4,0.375,0.246,0.343,0.121,0.169,0.304,0.238,0.252
195,0.027,0.383,0.355,0.228,0.322,0.115,0.163,0.282,0.21,0.232
196,0.026,0.372,0.342,0.212,0.306,0.11,0.158,0.265,0.189,0.216
197,0.025,0.362,0.328,0.198,0.29,0.105,0.152,0.249,0.169,0.201
198,0.023,0.353,0.317,0.184,0.277,0.099,0.147,0.234,0.151,0.188
199,0.022,0.345,0.307,0.173,0.265,0.095,0.143,0.222,0.137,0.177
200,0.022,0.337,0.299,0.163,0.254,0.092,0.139,0.212,0.125,0.167
201,0.02,0.327,0.289,0.154,0.243,0.087,0.135,0.201,0.114,0.158
202,0.019,0.316,0.279,0.146,0.233,0.084,0.131,0.193,0.106,0.15
203,0.019,0.304,0.268,0.14,0.223,0.082,0.128,0.186,0.099,0.143
204,0.018,0.288,0.255,0.134,0.212,0.079,0.124,0.179,0.093,0.136
205,0.017,0.271,0.241,0.128,0.201,0.076,0.121,0.173,0.088,0.131
206,0.016,0.253,0.225,0.123,0.19,0.074,0.118,0.168,0.083,0.126
207,0.016,0.234,0.211,0.119,0.18,0.073,0.115,0.163,0.08,0.121
208,0.015,0.217,0.197,0.115,0.171,0.071,0.113,0.159,0.077,0.117
209,0.015,0.199,0.183,0.111,0.161,0.069,0.11,0.154,0.074,0.113
210,0.014,0.184,0.171,0.108,0.153,0.067,0.107,0.151,0.071,0.11
211,0.014,0.17,0.16,0.104,0.145,0.066,0.105,0.147,0.069,0.107
212,0.013,0.157,0.15,0.101,0.138,0.064,0.103,0.144,0.067,0.104
213,0.013,0.147,0.141,0.098,0.131,0.063,0.1,0.141,0.065,0.101
214,0.012,0.138,0.134,0.096,0.125,0.061,0.098,0.138,0.063,0.098
215,0.012,0.132,0.128,0.093,0.121,0.059,0.096,0.135,0.061,0.095
216,0.012,0.126,0.123,0.091,0.117,0.058,0.094,0.132,0.059,0.093
217,0.012,0.122,0.119,0.089,0.113,0.057,0.092,0.129,0.058,0.09
218,0.012,0.119,0.116,0.087,0.11,0.056,0.091,0.127,0.057,0.089
219,0.011,0.116,0.113,0.085,0.107,0.055,0.089,0.125,0.055,0.086
220,0.011,0.113,0.11,0.083,0.104,0.053,0.088,0.123,0.054,0.084
221,0.011,0.111,0.108,0.081,0.102,0.052,0.086,0.121,0.053,0.083
222,0.011,0.11,0.106,0.08,0.099,0.051,0.085,0.119,0.052,0.081
223,0.011,0.108,0.104,0.078,0.097,0.051,0.084,0.117,0.051,0.08
224,0.011,0.107,0.102,0.077,0.095,0.05,0.083,0.115,0.05,0.078
