wavelenght,MilliQ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
190,0.042,0.44,0.334,0.327,0.328,0.346,0.241,0.318,0.326,0.213,0.363,0.377
191,0.04,0.418,0.312,0.304,0.305,0.323,0.228,0.308,0.303,0.203,0.346,0.354
192,0.04,0.393,0.289,0.283,0.283,0.3,0.217,0.3,0.283,0.195,0.334,0.333
193,0.038,0.367,0.264,0.262,0.26,0.275,0.207,0.291,0.26,0.185,0.316,0.309
194,0.037,0.345,0.244,0.245,0.241,0.256,0.198,0.284,0.243,0.178,0.304,0.291
195,0.036,0.325,0.226,0.228,0.224,0.238,0.19,0.277,0.226,0.17,0.291,0.275
196,0.035,0.307,0.21,0.214,0.209,0.223,0.184,0.272,0.211,0.165,0.28,0.26
197,0.034,0.291,0.196,0.201,0.195,0.21,0.177,0.266,0.199,0.159,0.27,0.247
198,0.032,0.277,0.183,0.19,0.182,0.197,0.171,0.26,0.187,0.154,0.261,0.235
199,0.032,0.265,0.173,0.18,0.172,0.188,0.168,0.257,0.178,0.15,0.253,0.226
200,0.032,0.255,0.164,0.173,0.164,0.18,0.164,0.253,0.171,0.147,0.247,0.218
201,0.032,0.245,0.155,0.165,0.156,0.173,0.161,0.249,0.163,0.144,0.241,0.21
202,0.033,0.237,0.148,0.16,0.149,0.167,0.158,0.246,0.158,0.142,0.235,0.204
203,0.032,0.229,0.142,0.155,0.143,0.162,0.155,0.243,0.153,0.14,0.23,0.198
204,0.032,0.222,0.136,0.149,0.137,0.156,0.152,0.239,0.148,0.137,0.224,0.192
205,0.031,0.214,0.13,0.144,0.131,0.151,0.148,0.233,0.142,0.134,0.218,0.186
206,0.03,0.207,0.125,0.139,0.127,0.146,0.145,0.229,0.138,0.131,0.213,0.181
207,0.03,0.201,0.121,0.135,0.122,0.142,0.141,0.224,0.134,0.128,0.207,0.177
208,0.029,0.195,0.117,0.131,0.118,0.138,0.138,0.218,0.13,0.124,0.202,0.172
209,0.028,0.188,0.113,0.127,0.114,0.133,0.134,0.213,0.125,0.12,0.196,0.167
210,0.027,0.182,0.108,0.123,0.11,0.129,0.13,0.206,0.122,0.117,0.189,0.163
211,0.025,0.176,0.105,0.119,0.106,0.125,0.126,0.199,0.118,0.113,0.183,0.158
212,0.024,0.169,0.101,0.116,0.103,0.121,0.122,0.192,0.115,0.109,0.176,0.154
213,0.023,0.163,0.098,0.113,0.099,0.117,0.118,0.185,0.111,0.105,0.17,0.15
214,0.023,0.157,0.095,0.11,0.096,0.114,0.114,0.177,0.108,0.102,0.163,0.147
215,0.022,0.15,0.092,0.107,0.093,0.11,0.109,0.17,0.106,0.098,0.156,0.143
